,vehicle_number,2022_2_27,2022_2_28,2022_3_1,2022_3_2,2022_3_3,2022_3_4,2022_3_5,2022_3_6,2022_3_7,2022_3_8,2022_3_9,2022_3_10,2022_3_11,2022_3_12,2022_3_13,2022_3_14,2022_3_15,2022_3_16,2022_3_17,2022_3_18,2022_3_19,2022_3_20,2022_3_21,2022_3_22
0,NL01AC4181,81.11,84.38,80.0,76.32,77.85,74.86,76.11,88.61,80.9,78.26,75.21,78.61,73.68,75.14,84.65,85.62,77.92,73.4,84.93,75.14,84.44,92.36,84.24,85.0
1,NL01AB0371,88.33,89.17,86.46,88.26,38.96,82.78,82.78,86.39,80.97,85.07,84.44,66.67,97.57,79.17,79.44,80.35,75.76,79.44,78.75,81.18,88.47,82.5,83.19,85.49
2,HR55Y1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.83,76.94,84.31,79.17,84.24,68.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NL01AC2617,85.07,83.47,78.06,85.28,76.32,85.97,70.0,82.15,82.43,73.75,82.43,78.06,79.24,71.11,79.79,81.94,76.53,78.19,67.5,89.65,92.43,81.74,83.75,75.97
