,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
20,2021-12-13,1608069,HR38AC8427,WECX01,97.57,89.79,82.36,0.0,66
27,2021-12-13,1678279,HR038AC8427,WEYE01,65.97,61.88,71.33,2.0,25
0,2021-12-13,6046,NL01AA4912,WETRACK2,99.24,99.24,100.0,0.0,1265
28,2021-12-13,1678163,NL001AA4912,WEYE01,99.1,92.22,68.72,0.0,25
25,2021-12-13,1612282,HR38AC4399,WECX01,99.93,92.57,58.19,0.0,64
29,2021-12-13,1678510,HR038AC4399,WEYE01,99.58,88.54,69.13,0.0,25
4,2021-12-13,8764,HR55AD2198,WETRACK2,96.11,96.11,99.56,0.0,1221
30,2021-12-13,1677917,HR055AD2198,WEYE01,99.93,93.33,58.38,0.0,25
3,2021-12-13,8259,NL01AA6688,WETRACK2,98.96,84.86,74.59,0.0,1229
31,2021-12-13,1678413,NL001AA6688,WEYE01,72.5,56.67,75.25,2.0,25
22,2021-12-13,1611839,HR38AC9564,WECX01,99.93,94.44,95.09,0.0,64
32,2021-12-13,1682191,HR038AC9564,WEYE01,99.58,88.75,74.35,0.0,23
33,2021-12-13,1681662,HR055X2249,WEYE01,96.46,81.6,60.32,0.0,23
5,2021-12-13,8775,HR55AD5041,WETRACK2,100.0,100.0,99.98,0.0,1221
34,2021-12-13,1682513,HR055AD5041,WEYE01,100.0,92.64,67.21,0.0,23
7,2021-12-13,11774,NL01AB1652,WETRACK2,100.0,100.0,99.62,0.0,1177
35,2021-12-13,1681792,NL001AB1652,WEYE01,50.97,50.14,88.94,1.0,23
24,2021-12-13,1611816,HR38AC7975,WECX01,98.12,80.28,48.53,0.0,64
36,2021-12-13,1682332,HR138AC7975,WEYE01,75.28,61.88,58.34,1.0,23
16,2021-12-13,861716,NL01AB1894,WETRACK2,89.51,79.44,92.53,0.0,494
37,2021-12-13,1682062,NL011AB1894,WEYE01,98.19,84.03,63.13,0.0,23
10,2021-12-13,5738,NL01AA4762,WETRACK2,95.9,86.18,74.76,0.0,1160
38,2021-12-13,1681968,NL011AA4762,WEYE01,100.0,90.69,73.42,0.0,23
21,2021-12-13,1607556,HR38AC5450,WECX01,99.03,92.5,99.94,0.0,66
39,2021-12-13,1682478,HR038AC5450,WEYE01,100.0,92.99,86.53,0.0,23
9,2021-12-13,12826,NL01AC2882,WETRACK2,96.88,90.07,86.04,0.0,1161
40,2021-12-13,1682411,NL001AC2882,WEYE01,96.88,83.96,71.84,0.0,23
12,2021-12-13,12844,NL01AC4180,C100,80.56,29.44,43.98,0.0,896
41,2021-12-13,1696506,NL001AC4180,TMG,97.78,85.69,65.21,0.0,16
15,2021-12-13,794015,HR55X2602,WETRACK2,96.46,89.93,98.84,0.0,536
42,2021-12-13,1696471,HR055X2602,TMG,98.26,84.58,83.96,0.0,16
8,2021-12-13,12208,NL01AC2624,GT06N,100.0,99.17,96.73,0.0,1170
43,2021-12-13,1696544,NL010AC2624,TMG,94.65,86.53,76.45,1.0,16
17,2021-12-13,887012,HR55Y1278,WETRACK2,100.0,96.67,85.97,0.0,477
44,2021-12-13,1696574,HR055Y1278,TMG,99.86,91.32,67.3,0.0,16
1,2021-12-13,7242,HR55Y8651,WETRACK2,99.93,99.44,99.12,0.0,1242
45,2021-12-13,1696606,HR055Y8651,TMG,95.76,87.64,68.16,0.0,16
18,2021-12-13,1025419,NL01AC2881,WETRACK2,99.72,99.72,98.2,0.0,384
46,2021-12-13,1697622,NL001AC2881,TMG,95.9,92.64,74.14,0.0,15
19,2021-12-13,1520558,NL01AF0483,WECX01,99.93,94.58,99.72,0.0,92
47,2021-12-13,1697119,NL001AF0483,TMG,100.0,88.68,86.28,0.0,15
23,2021-12-13,1611286,HR38AC0788,WECX01,97.64,96.18,78.8,0.0,64
48,2021-12-13,1697533,HR0038AC0788,TMG,100.0,91.6,85.02,0.0,15
26,2021-12-13,1613938,HR38AC9561,WECX01,99.38,94.03,99.77,0.0,63
49,2021-12-13,1697202,HR038AC9561,TMG,55.21,52.5,84.74,1.0,15
6,2021-12-13,8859,NL01AC0798,WETRACK2,99.44,95.62,91.85,0.0,1218
50,2021-12-13,1697499,NL001AC0798,TMG,100.0,87.5,77.42,0.0,15
11,2021-12-13,19748,NL01AC4193,WETRACK2,99.58,99.58,100.0,0.0,1061
51,2021-12-13,1697468,NL001AC4193,TMG,100.0,91.18,77.93,0.0,15
13,2021-12-13,136609,NL01AD9861,FMB920,100.0,0.0,81.49,0.0,812
52,2021-12-13,1697276,NL001AD9861,TMG,99.1,87.99,82.62,0.0,15
2,2021-12-13,7753,NL01AC0284,WETRACK2,99.79,92.99,81.38,0.0,1234
53,2021-12-13,1697575,NL001AC0284,TMG,98.96,88.19,78.29,0.0,15
14,2021-12-13,456375,HR55W0408,WETRACK2,97.15,89.44,87.45,1.0,700
54,2021-12-13,1697339,HR055W0408,TMG,81.81,67.92,56.39,2.0,12
