,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
4,2021-12-24,8764,HR55AD2198,WETRACK2,94.79,92.29,75.72,0.0,1232
27,2021-12-24,1677917,HR055AD2198,WEYE01,99.93,90.76,56.89,0.0,36
22,2021-12-24,1612282,HR38AC4399,WECX01,90.97,77.78,78.21,1.0,75
28,2021-12-24,1678510,HR038AC4399,WEYE01,100.0,89.1,74.59,0.0,36
20,2021-12-24,1608069,HR38AC8427,WECX01,98.47,65.28,56.22,2.0,77
29,2021-12-24,1678279,HR038AC8427,WEYE01,63.26,42.71,66.78,3.0,36
0,2021-12-24,6046,NL01AA4912,WETRACK2,93.68,81.11,77.88,0.0,1276
30,2021-12-24,1678163,NL001AA4912,WEYE01,99.65,87.43,59.43,0.0,36
3,2021-12-24,8259,NL01AA6688,WETRACK2,99.86,99.93,100.0,0.0,1240
31,2021-12-24,1678413,NL001AA6688,WEYE01,94.03,84.58,98.19,1.0,36
7,2021-12-24,11774,NL01AB1652,WETRACK2,98.75,98.26,96.09,0.0,1188
32,2021-12-24,1681792,NL001AB1652,WEYE01,95.21,85.0,75.12,0.0,34
33,2021-12-24,1681662,HR055X2249,WEYE01,89.79,67.43,68.89,1.0,34
23,2021-12-24,1611839,HR38AC9564,WECX01,98.33,89.17,82.51,0.0,75
34,2021-12-24,1682191,HR038AC9564,WEYE01,98.89,87.92,86.06,0.0,34
21,2021-12-24,1607556,HR38AC5450,WECX01,98.26,82.08,79.18,0.0,77
35,2021-12-24,1682478,HR038AC5450,WEYE01,100.0,85.69,72.94,0.0,34
24,2021-12-24,1611816,HR38AC7975,WECX01,99.24,92.5,94.36,0.0,75
36,2021-12-24,1682332,HR138AC7975,WEYE01,68.12,60.83,89.71,1.0,34
5,2021-12-24,8775,HR55AD5041,WETRACK2,99.58,96.32,97.0,0.0,1232
37,2021-12-24,1682513,HR055AD5041,WEYE01,99.93,89.72,65.32,0.0,34
10,2021-12-24,5738,NL01AA4762,WETRACK2,86.18,85.97,29.43,0.0,1171
38,2021-12-24,1681968,NL011AA4762,WEYE01,100.0,80.76,40.01,0.0,34
16,2021-12-24,861716,NL01AB1894,WETRACK2,99.58,98.4,98.77,0.0,505
39,2021-12-24,1682062,NL011AB1894,WEYE01,99.44,88.19,56.21,0.0,34
9,2021-12-24,12826,NL01AC2882,WETRACK2,99.31,97.99,97.03,1.0,1172
40,2021-12-24,1682411,NL001AC2882,WEYE01,98.26,91.53,77.87,0.0,34
8,2021-12-24,12208,NL01AC2624,GT06N,99.24,92.5,91.36,0.0,1181
41,2021-12-24,1696544,NL010AC2624,TMG,98.61,84.79,67.52,0.0,27
1,2021-12-24,7242,HR55Y8651,WETRACK2,99.72,96.39,95.95,0.0,1253
42,2021-12-24,1696606,HR055Y8651,TMG,90.76,84.38,72.86,0.0,27
17,2021-12-24,887012,HR55Y1278,WETRACK2,98.89,96.74,98.49,0.0,488
43,2021-12-24,1696574,HR055Y1278,TMG,100.0,90.69,82.67,0.0,27
15,2021-12-24,794015,HR55X2602,WETRACK2,88.68,78.82,98.85,1.0,547
44,2021-12-24,1696471,HR055X2602,TMG,96.39,77.78,75.72,0.0,27
12,2021-12-24,12844,NL01AC4180,C100,86.11,71.11,59.49,1.0,907
45,2021-12-24,1696506,NL001AC4180,TMG,86.6,81.04,84.01,1.0,27
19,2021-12-24,1520558,NL01AF0483,WECX01,99.24,83.96,78.63,0.0,103
46,2021-12-24,1697119,NL001AF0483,TMG,100.0,83.19,72.96,0.0,26
25,2021-12-24,1611286,HR38AC0788,WECX01,99.38,98.06,67.96,0.0,75
47,2021-12-24,1697533,HR0038AC0788,TMG,100.0,90.49,78.58,0.0,26
13,2021-12-24,136609,NL01AD9861,FMB920,100.0,0.0,67.32,0.0,823
48,2021-12-24,1697276,NL001AD9861,TMG,94.58,81.6,70.18,1.0,26
26,2021-12-24,1613938,HR38AC9561,WECX01,98.54,81.46,90.15,0.0,74
49,2021-12-24,1697202,HR038AC9561,TMG,82.22,61.04,73.9,2.0,26
11,2021-12-24,19748,NL01AC4193,WETRACK2,99.58,99.58,100.0,0.0,1072
50,2021-12-24,1697468,NL001AC4193,TMG,100.0,91.11,85.52,0.0,26
18,2021-12-24,1025419,NL01AC2881,WETRACK2,99.17,92.71,92.87,0.0,395
51,2021-12-24,1697622,NL001AC2881,TMG,100.0,85.56,73.13,0.0,26
2,2021-12-24,7753,NL01AC0284,WETRACK2,99.03,90.69,72.32,0.0,1245
52,2021-12-24,1697575,NL001AC0284,TMG,100.0,89.44,74.7,0.0,26
6,2021-12-24,8859,NL01AC0798,WETRACK2,99.31,93.19,90.51,0.0,1229
53,2021-12-24,1697499,NL001AC0798,TMG,100.0,85.14,72.11,0.0,26
14,2021-12-24,456375,HR55W0408,WETRACK2,98.82,98.19,97.57,0.0,711
54,2021-12-24,1697339,HR055W0408,TMG,94.65,82.85,65.32,1.0,23
