,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
4,2021-12-29,8764,HR55AD2198,WETRACK2,98.82,90.21,91.98,0.0,1237
27,2021-12-29,1677917,HR055AD2198,WEYE01,100.0,83.12,59.12,0.0,41
3,2021-12-29,8259,NL01AA6688,WETRACK2,95.42,70.35,74.98,0.0,1245
28,2021-12-29,1678413,NL001AA6688,WEYE01,49.72,38.54,70.01,3.0,41
25,2021-12-29,1612282,HR38AC4399,WECX01,98.68,84.03,55.49,0.0,80
29,2021-12-29,1678510,HR038AC4399,WEYE01,98.26,82.78,56.41,0.0,41
0,2021-12-29,6046,NL01AA4912,WETRACK2,97.64,93.54,85.96,0.0,1281
30,2021-12-29,1678163,NL001AA4912,WEYE01,97.22,87.64,63.39,0.0,41
21,2021-12-29,1608069,HR38AC8427,WECX01,91.74,78.82,86.13,1.0,82
31,2021-12-29,1678279,HR038AC8427,WEYE01,49.1,47.78,82.32,2.0,41
5,2021-12-29,8775,HR55AD5041,WETRACK2,99.72,99.24,99.25,0.0,1237
32,2021-12-29,1682513,HR055AD5041,WEYE01,100.0,90.76,63.7,0.0,39
9,2021-12-29,12826,NL01AC2882,WETRACK2,98.19,91.18,81.77,0.0,1177
33,2021-12-29,1682411,NL001AC2882,WEYE01,100.0,86.18,73.9,0.0,39
16,2021-12-29,861716,NL01AB1894,WETRACK2,96.25,87.43,90.87,0.0,510
34,2021-12-29,1682062,NL011AB1894,WEYE01,96.94,82.92,58.66,1.0,39
7,2021-12-29,11774,NL01AB1652,WETRACK2,0.0,0.0,0.0,0.0,1193
35,2021-12-29,1681792,NL001AB1652,WEYE01,86.46,81.25,76.76,2.0,39
22,2021-12-29,1611839,HR38AC9564,WECX01,98.54,87.71,86.17,0.0,80
36,2021-12-29,1682191,HR038AC9564,WEYE01,100.0,88.75,72.09,0.0,39
37,2021-12-29,1681662,HR055X2249,WEYE01,92.57,85.97,75.66,1.0,39
20,2021-12-29,1607556,HR38AC5450,WECX01,100.0,92.08,87.79,0.0,82
38,2021-12-29,1682478,HR038AC5450,WEYE01,100.07,90.76,76.35,0.0,39
23,2021-12-29,1611816,HR38AC7975,WECX01,84.72,70.69,59.53,0.0,80
39,2021-12-29,1682332,HR138AC7975,WEYE01,89.86,78.19,69.55,1.0,39
10,2021-12-29,5738,NL01AA4762,WETRACK2,98.26,97.64,97.29,0.0,1176
40,2021-12-29,1681968,NL011AA4762,WEYE01,99.79,91.67,64.89,0.0,39
1,2021-12-29,7242,HR55Y8651,WETRACK2,99.72,99.1,99.01,0.0,1258
41,2021-12-29,1696606,HR055Y8651,TMG,80.35,77.57,73.46,1.0,32
8,2021-12-29,12208,NL01AC2624,GT06N,99.72,94.38,92.86,0.0,1186
42,2021-12-29,1696544,NL010AC2624,TMG,65.83,56.39,71.41,3.0,32
12,2021-12-29,12844,NL01AC4180,C100,100.07,86.81,46.93,0.0,912
43,2021-12-29,1696506,NL001AC4180,TMG,95.21,80.56,67.74,0.0,32
17,2021-12-29,887012,HR55Y1278,WETRACK2,97.01,95.42,82.17,0.0,493
44,2021-12-29,1696574,HR055Y1278,TMG,100.0,90.28,65.75,0.0,32
15,2021-12-29,794015,HR55X2602,WETRACK2,99.1,99.1,99.86,0.0,552
45,2021-12-29,1696471,HR055X2602,TMG,92.78,85.9,79.95,2.0,32
6,2021-12-29,8859,NL01AC0798,WETRACK2,99.44,96.32,92.84,0.0,1234
46,2021-12-29,1697499,NL001AC0798,TMG,100.0,88.19,75.82,0.0,31
2,2021-12-29,7753,NL01AC0284,WETRACK2,97.92,92.78,46.59,0.0,1250
47,2021-12-29,1697575,NL001AC0284,TMG,99.93,86.18,72.68,0.0,31
24,2021-12-29,1611286,HR38AC0788,WECX01,93.75,91.04,44.56,1.0,80
48,2021-12-29,1697533,HR0038AC0788,TMG,100.0,87.57,69.38,0.0,31
18,2021-12-29,1025419,NL01AC2881,WETRACK2,99.93,100.0,99.47,0.0,400
49,2021-12-29,1697622,NL001AC2881,TMG,99.79,91.81,82.18,0.0,31
13,2021-12-29,136609,NL01AD9861,FMB920,100.0,0.0,70.6,0.0,828
50,2021-12-29,1697276,NL001AD9861,TMG,78.33,76.04,74.93,2.0,31
26,2021-12-29,1613938,HR38AC9561,WECX01,99.1,89.58,75.59,0.0,79
51,2021-12-29,1697202,HR038AC9561,TMG,96.67,85.83,62.53,0.0,31
11,2021-12-29,19748,NL01AC4193,WETRACK2,100.0,100.0,100.0,0.0,1077
52,2021-12-29,1697468,NL001AC4193,TMG,100.0,92.5,76.11,0.0,31
19,2021-12-29,1520558,NL01AF0483,WECX01,98.89,83.19,75.93,0.0,108
53,2021-12-29,1697119,NL001AF0483,TMG,100.0,86.46,69.15,0.0,31
14,2021-12-29,456375,HR55W0408,WETRACK2,99.93,99.93,99.97,0.0,716
54,2021-12-29,1697339,HR055W0408,TMG,61.6,53.89,73.38,3.0,28
