,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
20,2021-11-30,1608069,HR38AC8427,WECX01,86.53,72.08,73.99,1.0,53
26,2021-11-30,1678279,HR038AC8427,WEYE01,38.47,35.69,56.5,1.0,12
21,2021-11-30,1612282,HR38AC4399,WECX01,99.65,94.58,99.81,0.0,51
27,2021-11-30,1678510,HR038AC4399,WEYE01,99.93,93.06,84.77,0.0,12
4,2021-11-30,8764,HR55AD2198,WETRACK2,98.12,98.12,91.8,0.0,1208
28,2021-11-30,1677917,HR055AD2198,WEYE01,100.0,92.64,62.22,0.0,12
3,2021-11-30,8259,NL01AA6688,WETRACK2,99.72,99.17,81.48,0.0,1216
29,2021-11-30,1678413,NL001AA6688,WEYE01,72.15,64.24,85.54,1.0,12
0,2021-11-30,6046,NL01AA4912,WETRACK2,85.97,85.56,98.25,0.0,1252
30,2021-11-30,1678163,NL001AA4912,WEYE01,92.36,84.31,70.53,1.0,12
5,2021-11-30,8775,HR55AD5041,WETRACK2,98.89,98.89,100.0,0.0,1208
31,2021-11-30,1682513,HR055AD5041,WEYE01,100.0,90.0,64.08,0.0,10
32,2021-11-30,1681662,HR055X2249,WEYE01,98.89,90.83,67.84,0.0,10
9,2021-11-30,5738,NL01AA4762,WETRACK2,91.67,72.43,63.52,0.0,1147
33,2021-11-30,1681968,NL011AA4762,WEYE01,100.0,86.25,61.7,0.0,10
23,2021-11-30,1611839,HR38AC9564,WECX01,99.72,85.21,82.12,0.0,51
34,2021-11-30,1682191,HR038AC9564,WEYE01,98.96,87.78,74.23,0.0,10
19,2021-11-30,1607556,HR38AC5450,WECX01,99.79,91.94,88.09,0.0,53
35,2021-11-30,1682478,HR038AC5450,WEYE01,100.0,88.61,84.11,0.0,10
8,2021-11-30,12826,NL01AC2882,WETRACK2,98.06,97.43,94.03,0.0,1148
36,2021-11-30,1682411,NL001AC2882,WEYE01,88.06,77.99,66.06,1.0,10
6,2021-11-30,11774,NL01AB1652,WETRACK2,100.0,100.0,99.95,0.0,1164
37,2021-11-30,1681792,NL001AB1652,WEYE01,82.15,75.21,76.15,2.0,10
15,2021-11-30,861716,NL01AB1894,WETRACK2,99.58,94.65,97.93,0.0,481
38,2021-11-30,1682062,NL011AB1894,WEYE01,88.54,70.28,65.68,1.0,10
24,2021-11-30,1611816,HR38AC7975,WECX01,96.94,84.72,97.15,0.0,51
39,2021-11-30,1682332,HR138AC7975,WEYE01,81.67,75.07,90.63,1.0,10
11,2021-11-30,12844,NL01AC4180,C100,95.83,42.99,47.92,0.0,883
40,2021-11-30,1696506,NL001AC4180,TMG,96.11,82.57,75.35,1.0,3
16,2021-11-30,887012,HR55Y1278,WETRACK2,99.51,95.21,97.43,0.0,464
41,2021-11-30,1696574,HR055Y1278,TMG,99.93,85.49,73.67,0.0,3
7,2021-11-30,12208,NL01AC2624,GT06N,100.0,99.51,97.37,0.0,1157
42,2021-11-30,1696544,NL010AC2624,TMG,90.28,82.5,81.59,1.0,3
1,2021-11-30,7242,HR55Y8651,WETRACK2,99.79,97.57,96.42,0.0,1229
43,2021-11-30,1696606,HR055Y8651,TMG,77.85,65.83,68.7,2.0,3
14,2021-11-30,794015,HR55X2602,WETRACK2,99.44,87.78,99.07,0.0,523
44,2021-11-30,1696471,HR055X2602,TMG,99.86,81.81,75.49,0.0,3
18,2021-11-30,1520558,NL01AF0483,WECX01,99.1,86.74,80.71,0.0,79
45,2021-11-30,1697119,NL001AF0483,TMG,100.0,86.18,66.45,0.0,2
12,2021-11-30,136609,NL01AD9861,FMB920,99.93,0.0,68.8,0.0,799
46,2021-11-30,1697276,NL001AD9861,TMG,58.12,53.54,74.18,2.0,2
47,2021-11-30,1697499,NL001AC0798,TMG,99.86,92.15,84.87,0.0,2
54,2021-11-30,8859,NL01AC0798,WETRACK2,100.0,98.96,99.74,0.0,-92
25,2021-11-30,1613938,HR38AC9561,WECX01,99.72,89.79,93.65,0.0,50
48,2021-11-30,1697202,HR038AC9561,TMG,55.28,45.9,79.04,1.0,2
2,2021-11-30,7753,NL01AC0284,WETRACK2,100.0,99.65,54.49,0.0,1221
49,2021-11-30,1697575,NL001AC0284,TMG,100.0,90.21,81.07,0.0,2
10,2021-11-30,19748,NL01AC4193,WETRACK2,98.06,96.67,100.0,0.0,1048
50,2021-11-30,1697468,NL001AC4193,TMG,100.0,91.94,80.69,0.0,2
17,2021-11-30,1025419,NL01AC2881,WETRACK2,99.65,99.65,93.55,0.0,371
51,2021-11-30,1697622,NL001AC2881,TMG,100.0,90.21,63.81,0.0,2
22,2021-11-30,1611286,HR38AC0788,WECX01,99.93,99.93,92.93,0.0,51
52,2021-11-30,1697533,HR0038AC0788,TMG,100.0,92.5,78.95,0.0,2
13,2021-11-30,456375,HR55W0408,WETRACK2,98.96,98.96,100.0,0.0,687
53,2021-11-30,1697339,HR055W0408,TMG,79.79,74.31,72.31,0.0,-1
