,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
3,2021-12-14,8259,NL01AA6688,WETRACK2,97.29,91.81,88.92,0.0,1230
27,2021-12-14,1678413,NL001AA6688,WEYE01,88.68,79.31,73.11,1.0,26
5,2021-12-14,8764,HR55AD2198,WETRACK2,98.96,98.96,98.95,0.0,1222
28,2021-12-14,1677917,HR055AD2198,WEYE01,100.0,92.36,55.62,0.0,26
24,2021-12-14,1612282,HR38AC4399,WECX01,98.4,94.1,67.23,0.0,65
29,2021-12-14,1678510,HR038AC4399,WEYE01,99.93,89.79,73.52,0.0,26
0,2021-12-14,6046,NL01AA4912,WETRACK2,98.19,98.19,99.61,0.0,1266
30,2021-12-14,1678163,NL001AA4912,WEYE01,99.65,91.6,69.62,0.0,26
20,2021-12-14,1608069,HR38AC8427,WECX01,99.38,81.11,79.77,0.0,67
31,2021-12-14,1678279,HR038AC8427,WEYE01,72.36,60.07,74.89,2.0,26
9,2021-12-14,12826,NL01AC2882,WETRACK2,96.39,88.75,87.35,0.0,1162
32,2021-12-14,1682411,NL001AC2882,WEYE01,96.11,79.86,69.67,0.0,24
16,2021-12-14,861716,NL01AB1894,WETRACK2,94.1,90.9,97.11,0.0,495
33,2021-12-14,1682062,NL011AB1894,WEYE01,99.79,90.0,58.4,0.0,24
4,2021-12-14,8775,HR55AD5041,WETRACK2,99.93,99.93,99.95,0.0,1222
34,2021-12-14,1682513,HR055AD5041,WEYE01,100.0,90.56,64.01,0.0,24
35,2021-12-14,1681662,HR055X2249,WEYE01,95.56,89.31,67.73,0.0,24
7,2021-12-14,11774,NL01AB1652,WETRACK2,100.0,99.93,99.66,0.0,1178
36,2021-12-14,1681792,NL001AB1652,WEYE01,95.0,90.49,89.87,0.0,24
10,2021-12-14,5738,NL01AA4762,WETRACK2,95.56,82.43,68.71,0.0,1161
37,2021-12-14,1681968,NL011AA4762,WEYE01,100.0,84.44,63.25,0.0,24
21,2021-12-14,1607556,HR38AC5450,WECX01,100.0,94.31,99.89,0.0,67
38,2021-12-14,1682478,HR038AC5450,WEYE01,100.0,92.29,93.11,0.0,24
25,2021-12-14,1611816,HR38AC7975,WECX01,95.97,72.99,44.29,1.0,65
39,2021-12-14,1682332,HR138AC7975,WEYE01,62.99,49.93,55.17,3.0,24
23,2021-12-14,1611839,HR38AC9564,WECX01,97.64,89.24,77.97,0.0,65
40,2021-12-14,1682191,HR038AC9564,WEYE01,97.64,87.01,77.67,0.0,24
17,2021-12-14,887012,HR55Y1278,WETRACK2,98.75,96.88,87.3,0.0,478
41,2021-12-14,1696574,HR055Y1278,TMG,100.0,92.01,69.75,0.0,17
8,2021-12-14,12208,NL01AC2624,GT06N,99.44,95.0,93.65,0.0,1171
42,2021-12-14,1696544,NL010AC2624,TMG,96.39,82.85,70.59,0.0,17
12,2021-12-14,12844,NL01AC4180,C100,95.9,42.78,38.25,2.0,897
43,2021-12-14,1696506,NL001AC4180,TMG,94.1,86.53,78.64,0.0,17
1,2021-12-14,7242,HR55Y8651,WETRACK2,99.24,97.43,95.93,0.0,1243
44,2021-12-14,1696606,HR055Y8651,TMG,90.35,76.88,67.28,1.0,17
15,2021-12-14,794015,HR55X2602,WETRACK2,98.54,93.06,99.5,0.0,537
45,2021-12-14,1696471,HR055X2602,TMG,98.82,84.31,78.34,0.0,17
6,2021-12-14,8859,NL01AC0798,WETRACK2,87.36,78.75,89.24,0.0,1219
46,2021-12-14,1697499,NL001AC0798,TMG,100.0,86.81,74.78,0.0,16
11,2021-12-14,19748,NL01AC4193,WETRACK2,100.0,100.0,99.86,0.0,1062
47,2021-12-14,1697468,NL001AC4193,TMG,99.93,91.25,78.95,0.0,16
22,2021-12-14,1611286,HR38AC0788,WECX01,87.08,86.74,49.13,0.0,65
48,2021-12-14,1697533,HR0038AC0788,TMG,100.0,91.04,71.9,0.0,16
2,2021-12-14,7753,NL01AC0284,WETRACK2,94.65,78.96,71.32,0.0,1235
49,2021-12-14,1697575,NL001AC0284,TMG,100.0,84.72,71.21,0.0,16
13,2021-12-14,136609,NL01AD9861,FMB920,99.93,0.0,71.68,1.0,813
50,2021-12-14,1697276,NL001AD9861,TMG,83.68,72.57,74.78,1.0,16
19,2021-12-14,1520558,NL01AF0483,WECX01,99.86,93.96,99.77,0.0,93
51,2021-12-14,1697119,NL001AF0483,TMG,99.93,83.54,74.29,0.0,16
26,2021-12-14,1613938,HR38AC9561,WECX01,99.58,91.46,99.92,0.0,64
52,2021-12-14,1697202,HR038AC9561,TMG,78.61,70.9,93.04,1.0,16
18,2021-12-14,1025419,NL01AC2881,WETRACK2,98.54,97.71,92.02,0.0,385
53,2021-12-14,1697622,NL001AC2881,TMG,100.0,90.07,70.57,0.0,16
14,2021-12-14,456375,HR55W0408,WETRACK2,99.1,97.85,96.88,0.0,701
54,2021-12-14,1697339,HR055W0408,TMG,84.79,75.69,65.41,2.0,13
