,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
4,2021-12-07,8764,HR55AD2198,WETRACK2,97.92,97.92,99.2,0.0,1215
27,2021-12-07,1677917,HR055AD2198,WEYE01,100.0,92.64,60.59,0.0,19
3,2021-12-07,8259,NL01AA6688,WETRACK2,79.44,73.4,78.81,1.0,1223
28,2021-12-07,1678413,NL001AA6688,WEYE01,72.92,58.75,77.75,3.0,19
21,2021-12-07,1608069,HR38AC8427,WECX01,95.9,85.9,82.54,0.0,60
29,2021-12-07,1678279,HR038AC8427,WEYE01,85.56,75.56,70.6,1.0,19
25,2021-12-07,1612282,HR38AC4399,WECX01,97.43,80.42,70.04,0.0,58
30,2021-12-07,1678510,HR038AC4399,WEYE01,100.0,83.68,78.58,0.0,19
0,2021-12-07,6046,NL01AA4912,WETRACK2,99.17,99.17,99.93,0.0,1259
31,2021-12-07,1678163,NL001AA4912,WEYE01,99.03,92.57,74.13,0.0,19
32,2021-12-07,1681662,HR055X2249,WEYE01,97.01,91.67,69.22,0.0,17
23,2021-12-07,1611839,HR38AC9564,WECX01,98.82,93.68,99.92,0.0,58
33,2021-12-07,1682191,HR038AC9564,WEYE01,99.51,92.01,79.44,0.0,17
16,2021-12-07,861716,NL01AB1894,WETRACK2,97.78,95.62,96.75,0.0,488
34,2021-12-07,1682062,NL011AB1894,WEYE01,99.86,88.82,66.16,0.0,17
7,2021-12-07,11774,NL01AB1652,WETRACK2,99.38,99.38,99.93,0.0,1171
35,2021-12-07,1681792,NL001AB1652,WEYE01,93.12,86.04,79.97,1.0,17
22,2021-12-07,1611816,HR38AC7975,WECX01,97.43,86.25,99.03,0.0,58
36,2021-12-07,1682332,HR138AC7975,WEYE01,68.19,58.54,91.46,2.0,17
10,2021-12-07,5738,NL01AA4762,WETRACK2,85.69,77.22,40.42,0.0,1154
37,2021-12-07,1681968,NL011AA4762,WEYE01,99.79,87.85,43.12,0.0,17
9,2021-12-07,12826,NL01AC2882,WETRACK2,99.79,99.58,99.4,0.0,1155
38,2021-12-07,1682411,NL001AC2882,WEYE01,98.61,87.92,80.13,0.0,17
20,2021-12-07,1607556,HR38AC5450,WECX01,99.31,92.57,98.58,0.0,60
39,2021-12-07,1682478,HR038AC5450,WEYE01,100.0,92.43,83.26,0.0,17
5,2021-12-07,8775,HR55AD5041,WETRACK2,100.0,100.0,100.0,0.0,1215
40,2021-12-07,1682513,HR055AD5041,WEYE01,100.0,92.78,61.68,0.0,17
12,2021-12-07,12844,NL01AC4180,C100,100.0,92.71,77.75,0.0,890
41,2021-12-07,1696506,NL001AC4180,TMG,98.68,91.39,87.05,0.0,10
1,2021-12-07,7242,HR55Y8651,WETRACK2,99.86,98.19,98.61,0.0,1236
42,2021-12-07,1696606,HR055Y8651,TMG,90.0,82.08,84.4,0.0,10
17,2021-12-07,887012,HR55Y1278,WETRACK2,99.79,96.46,84.27,0.0,471
43,2021-12-07,1696574,HR055Y1278,TMG,100.0,89.86,64.76,0.0,10
15,2021-12-07,794015,HR55X2602,WETRACK2,97.64,96.94,99.29,0.0,530
44,2021-12-07,1696471,HR055X2602,TMG,97.43,85.83,79.63,0.0,10
8,2021-12-07,12208,NL01AC2624,GT06N,99.79,95.42,94.18,0.0,1164
45,2021-12-07,1696544,NL010AC2624,TMG,93.82,80.21,72.98,0.0,10
13,2021-12-07,136609,NL01AD9861,FMB920,99.93,0.0,69.21,0.0,806
46,2021-12-07,1697276,NL001AD9861,TMG,88.47,81.81,62.42,1.0,9
26,2021-12-07,1613938,HR38AC9561,WECX01,97.92,89.86,88.03,0.0,57
47,2021-12-07,1697202,HR038AC9561,TMG,83.82,77.36,79.48,1.0,9
11,2021-12-07,19748,NL01AC4193,WETRACK2,98.4,98.4,100.0,0.0,1055
48,2021-12-07,1697468,NL001AC4193,TMG,100.0,92.36,85.95,0.0,9
6,2021-12-07,8859,NL01AC0798,WETRACK2,92.22,87.08,96.31,0.0,1212
49,2021-12-07,1697499,NL001AC0798,TMG,100.0,86.74,76.07,0.0,9
2,2021-12-07,7753,NL01AC0284,WETRACK2,98.68,97.78,56.43,0.0,1228
50,2021-12-07,1697575,NL001AC0284,TMG,100.0,92.29,76.95,0.0,9
24,2021-12-07,1611286,HR38AC0788,WECX01,100.0,100.0,98.61,0.0,58
51,2021-12-07,1697533,HR0038AC0788,TMG,100.0,92.78,71.13,0.0,9
18,2021-12-07,1025419,NL01AC2881,WETRACK2,95.42,95.42,99.91,1.0,378
52,2021-12-07,1697622,NL001AC2881,TMG,100.0,92.01,85.69,0.0,9
19,2021-12-07,1520558,NL01AF0483,WECX01,99.86,93.54,91.06,0.0,86
53,2021-12-07,1697119,NL001AF0483,TMG,100.0,92.78,73.38,0.0,9
14,2021-12-07,456375,HR55W0408,WETRACK2,100.0,100.0,99.86,0.0,694
54,2021-12-07,1697339,HR055W0408,TMG,25.56,25.07,55.23,1.0,6
