,vehicle_number,2022_3_21,2022_3_22,2022_3_23,2022_3_24,2022_3_25,2022_3_26,2022_3_27,2022_3_28,2022_3_29,2022_3_30,2022_3_31,2022_4_1,2022_4_2,2022_4_3,2022_4_4,2022_4_5,2022_4_6,2022_4_7,2022_4_8,2022_4_9,2022_4_10,2022_4_11,2022_4_12,2022_4_13,2022_4_14,2022_4_15,2022_4_16,2022_4_17,2022_4_18,2022_4_19,2022_4_20,2022_4_21,2022_4_22,2022_4_23,2022_4_24,2022_4_25,2022_4_26,2022_4_27,2022_4_28
15,HR55Y1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.55,97.32,70.32,96.94,99.85,97.55,73.82,97.64,99.54,97.46,70.52,98.33,97.03,73.62,97.88,99.62,99.83,97.39,74.08,98.79,100.0,99.47,0.0,100.0,96.19,99.56,100.0,100.0,100.0,100.0,100.0,100.0
16,NL01AC2881,97.62,90.64,92.9,85.3,78.64,82.53,96.38,99.8,99.76,91.15,95.53,79.15,84.16,97.43,94.76,100.0,100.0,99.45,81.18,95.45,97.14,85.27,90.97,87.07,91.47,86.02,97.09,90.53,98.24,88.89,89.63,99.51,99.88,100.0,99.79,82.36,95.32,90.25,88.82
17,NL01AF0483,81.05,80.43,84.04,79.47,93.7,97.16,83.02,81.09,82.63,81.52,91.3,84.53,80.17,84.42,81.01,95.28,97.62,76.09,82.57,83.93,80.57,94.64,98.4,83.63,78.61,93.33,77.57,88.29,98.75,84.96,79.95,84.2,80.57,94.23,97.54,84.37,79.96,94.71,84.02
18,HR38AC5450,92.92,86.01,93.71,77.09,93.46,86.03,79.13,75.23,77.11,89.7,84.95,93.5,86.04,96.72,85.93,84.6,81.89,90.78,78.0,86.51,98.78,86.76,81.78,92.34,85.78,92.08,81.79,99.96,99.73,99.01,50.74,80.14,79.11,78.46,81.11,79.49,86.54,93.74,90.93
19,HR38AC8427,85.28,89.04,83.79,98.63,80.44,73.28,82.67,94.0,99.93,86.16,89.41,90.63,85.56,82.92,94.71,72.04,83.85,77.67,99.22,99.85,91.24,92.34,89.04,82.49,87.87,84.27,85.94,88.23,88.9,95.06,92.89,86.76,82.7,91.2,87.06,83.56,88.12,93.79,85.5
20,HR38AC9564,81.64,86.29,97.0,87.08,64.92,82.15,85.22,78.95,74.25,83.88,62.65,91.95,76.0,84.36,93.4,68.06,81.78,88.33,93.0,83.18,55.32,47.32,80.14,82.35,93.98,95.25,81.78,90.17,92.91,94.31,98.35,99.85,61.25,79.83,94.89,81.26,73.78,76.13,84.98
21,HR38AC7975,58.45,73.27,99.95,98.2,98.67,99.88,75.67,72.02,53.65,62.09,92.29,64.35,92.71,64.16,73.17,94.41,79.19,99.94,73.51,94.76,98.74,99.94,86.48,90.91,88.64,71.1,56.91,91.18,90.69,79.93,61.93,77.12,70.62,59.18,73.07,96.65,70.87,81.22,88.15
22,HR38AC4399,73.11,65.05,62.33,81.38,83.21,93.78,93.92,48.9,91.91,78.38,87.32,96.49,84.63,99.13,72.72,56.57,84.0,81.06,99.94,99.93,62.97,74.78,70.74,80.22,71.4,79.19,95.06,80.7,80.6,84.52,87.5,74.84,87.08,54.01,80.46,99.66,86.81,70.13,83.57
23,HR38AC0788,92.58,81.52,79.95,94.93,87.78,61.56,63.06,92.11,80.73,69.97,70.89,77.98,78.2,74.17,73.3,78.77,70.53,72.72,44.36,54.81,81.3,72.89,98.47,61.4,95.46,78.14,79.66,75.18,76.17,57.51,94.54,97.55,93.06,93.96,58.62,61.64,89.15,85.43,60.98
24,HR38AC9561,90.72,97.0,98.77,77.05,70.22,82.08,78.97,85.06,89.05,96.72,81.04,90.4,96.68,84.51,66.95,75.89,88.62,89.36,98.86,99.02,88.94,67.41,79.89,94.98,68.25,75.12,70.78,79.73,85.49,99.19,98.41,85.15,73.28,64.98,83.42,85.03,92.57,77.78,66.37
25,NL01AC0798,96.94,84.73,89.17,90.12,95.43,96.31,100.0,100.0,100.0,96.33,83.76,96.31,86.84,89.68,86.64,96.71,94.86,96.09,98.54,96.61,94.9,96.16,73.32,95.57,96.24,96.79,100.0,99.58,96.34,96.7,95.08,98.67,94.39,94.19,95.58,98.44,100.0,98.98,95.86
26,NL01AA4762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.37,90.27,94.77,99.19,97.41,97.87,98.75,96.87,95.04,100.0,100.0,95.39,99.01,95.41,93.97,94.21,95.84,99.96,100.0,99.93,97.8
