,vehicle_number,2022_2_27,2022_2_28,2022_3_1,2022_3_2,2022_3_3,2022_3_4,2022_3_5,2022_3_6,2022_3_7,2022_3_8,2022_3_9,2022_3_10,2022_3_11,2022_3_12,2022_3_13,2022_3_14,2022_3_15,2022_3_16,2022_3_17,2022_3_18,2022_3_19,2022_3_20,2022_3_21,2022_3_22
0,NL01AC4181,100.0,99.96,95.11,89.15,99.96,92.01,94.83,99.39,100.0,94.36,89.55,99.98,95.85,93.62,99.49,100.0,95.13,88.57,99.92,91.33,96.27,99.19,100.0,100.0
1,NL01AB0371,98.55,94.3,96.58,97.7,99.18,97.29,99.56,97.5,100.0,98.85,98.66,96.73,97.24,92.76,99.21,96.12,98.88,92.56,95.46,91.38,93.03,99.05,89.69,99.28
2,HR55Y1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.77,92.32,71.99,96.62,100.0,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NL01AC2617,93.21,96.55,84.64,86.22,81.42,93.82,84.16,83.3,93.52,82.02,93.93,88.33,82.42,79.45,93.34,96.82,83.66,84.33,81.0,92.41,99.26,96.61,93.25,82.06
