,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
0,2022-01-03,6046,NL01AA4912,WETRACK2,98.75,94.38,89.53,0.0,1286
27,2022-01-03,1678163,NL001AA4912,WEYE01,96.04,86.6,64.69,0.0,46
20,2022-01-03,1608069,HR38AC8427,WECX01,95.49,86.6,56.58,0.0,87
28,2022-01-03,1678279,HR038AC8427,WEYE01,78.54,57.29,48.91,3.0,46
3,2022-01-03,8259,NL01AA6688,WETRACK2,97.71,87.08,77.63,0.0,1250
29,2022-01-03,1678413,NL001AA6688,WEYE01,91.6,81.46,69.44,0.0,46
5,2022-01-03,8764,HR55AD2198,WETRACK2,93.33,93.19,95.26,0.0,1242
30,2022-01-03,1677917,HR055AD2198,WEYE01,7.92,7.92,65.86,0.0,46
23,2022-01-03,1612282,HR38AC4399,WECX01,84.44,70.83,49.5,0.0,85
31,2022-01-03,1678510,HR038AC4399,WEYE01,99.17,80.14,52.91,0.0,46
25,2022-01-03,1611816,HR38AC7975,WECX01,98.75,91.25,88.81,0.0,85
32,2022-01-03,1682332,HR138AC7975,WEYE01,98.54,92.08,67.0,0.0,44
16,2022-01-03,861716,NL01AB1894,WETRACK2,100.0,100.0,99.92,0.0,515
33,2022-01-03,1682062,NL011AB1894,WEYE01,99.65,92.36,72.62,0.0,44
9,2022-01-03,12826,NL01AC2882,WETRACK2,99.24,97.78,98.77,0.0,1182
34,2022-01-03,1682411,NL001AC2882,WEYE01,96.6,85.83,69.71,0.0,44
4,2022-01-03,8775,HR55AD5041,WETRACK2,94.72,91.46,95.14,0.0,1242
35,2022-01-03,1682513,HR055AD5041,WEYE01,99.93,79.03,58.74,0.0,44
21,2022-01-03,1607556,HR38AC5450,WECX01,100.0,94.51,91.92,0.0,87
36,2022-01-03,1682478,HR038AC5450,WEYE01,100.0,92.29,79.53,0.0,44
7,2022-01-03,11774,NL01AB1652,WETRACK2,99.93,95.83,94.26,0.0,1198
37,2022-01-03,1681792,NL001AB1652,WEYE01,97.57,86.74,80.99,0.0,44
10,2022-01-03,5738,NL01AA4762,WETRACK2,80.56,42.08,74.79,2.0,1181
38,2022-01-03,1681968,NL011AA4762,WEYE01,100.0,76.18,53.55,0.0,44
39,2022-01-03,1681662,HR055X2249,WEYE01,97.64,80.28,56.65,0.0,44
22,2022-01-03,1611839,HR38AC9564,WECX01,98.82,81.46,74.18,0.0,85
40,2022-01-03,1682191,HR038AC9564,WEYE01,99.93,91.11,71.34,0.0,44
8,2022-01-03,12208,NL01AC2624,GT06N,99.79,92.29,93.34,0.0,1191
41,2022-01-03,1696544,NL010AC2624,TMG,86.18,77.36,69.38,1.0,37
15,2022-01-03,794015,HR55X2602,WETRACK2,95.07,83.61,99.32,0.0,557
42,2022-01-03,1696471,HR055X2602,TMG,98.19,81.6,77.45,0.0,37
17,2022-01-03,887012,HR55Y1278,WETRACK2,99.93,97.36,86.54,0.0,498
43,2022-01-03,1696574,HR055Y1278,TMG,100.0,89.44,64.08,0.0,37
12,2022-01-03,12844,NL01AC4180,C100,99.86,93.47,76.14,0.0,917
44,2022-01-03,1696506,NL001AC4180,TMG,97.36,90.35,81.93,0.0,37
1,2022-01-03,7242,HR55Y8651,WETRACK2,99.93,98.47,96.69,0.0,1263
45,2022-01-03,1696606,HR055Y8651,TMG,93.82,80.69,67.11,0.0,37
2,2022-01-03,7753,NL01AC0284,WETRACK2,98.47,91.53,60.9,0.0,1255
46,2022-01-03,1697575,NL001AC0284,TMG,99.93,86.32,74.88,0.0,36
18,2022-01-03,1025419,NL01AC2881,WETRACK2,99.17,98.75,99.26,0.0,405
47,2022-01-03,1697622,NL001AC2881,TMG,100.0,93.12,75.98,0.0,36
13,2022-01-03,136609,NL01AD9861,FMB920,99.93,0.0,71.39,0.0,833
48,2022-01-03,1697276,NL001AD9861,TMG,93.54,83.12,73.36,0.0,36
19,2022-01-03,1520558,NL01AF0483,WECX01,99.86,94.31,98.17,0.0,113
49,2022-01-03,1697119,NL001AF0483,TMG,100.0,91.32,82.24,0.0,36
11,2022-01-03,19748,NL01AC4193,WETRACK2,99.51,99.51,100.0,0.0,1082
50,2022-01-03,1697468,NL001AC4193,TMG,100.0,93.06,76.73,0.0,36
6,2022-01-03,8859,NL01AC0798,WETRACK2,98.89,96.18,91.35,0.0,1239
51,2022-01-03,1697499,NL001AC0798,TMG,100.0,90.21,58.47,0.0,36
26,2022-01-03,1613938,HR38AC9561,WECX01,45.35,38.06,73.17,1.0,84
52,2022-01-03,1697202,HR038AC9561,TMG,97.85,85.07,66.72,0.0,36
24,2022-01-03,1611286,HR38AC0788,WECX01,0.0,0.0,0.0,0.0,85
53,2022-01-03,1697533,HR0038AC0788,TMG,100.07,87.29,67.71,0.0,36
14,2022-01-03,456375,HR55W0408,WETRACK2,98.68,94.1,90.6,0.0,721
54,2022-01-03,1697339,HR055W0408,TMG,62.71,47.22,56.83,1.0,33
