,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
0,2021-12-20,6046,NL01AA4912,WETRACK2,97.15,92.08,79.71,0.0,1272
27,2021-12-20,1678163,NL001AA4912,WEYE01,96.67,86.39,53.18,0.0,32
4,2021-12-20,8764,HR55AD2198,WETRACK2,96.6,82.36,76.67,0.0,1228
28,2021-12-20,1677917,HR055AD2198,WEYE01,99.86,78.54,44.86,0.0,32
24,2021-12-20,1612282,HR38AC4399,WECX01,99.93,90.56,65.41,0.0,71
29,2021-12-20,1678510,HR038AC4399,WEYE01,99.79,90.49,57.86,0.0,32
20,2021-12-20,1608069,HR38AC8427,WECX01,99.03,93.19,94.07,0.0,73
30,2021-12-20,1678279,HR038AC8427,WEYE01,48.54,41.88,76.94,2.0,32
3,2021-12-20,8259,NL01AA6688,WETRACK2,98.75,98.75,81.03,0.0,1236
31,2021-12-20,1678413,NL001AA6688,WEYE01,97.01,85.83,57.98,0.0,32
7,2021-12-20,11774,NL01AB1652,WETRACK2,99.51,89.65,91.69,0.0,1184
32,2021-12-20,1681792,NL001AB1652,WEYE01,95.56,84.31,65.74,0.0,30
10,2021-12-20,5738,NL01AA4762,WETRACK2,87.08,81.88,45.69,1.0,1167
33,2021-12-20,1681968,NL011AA4762,WEYE01,100.0,85.21,49.8,0.0,30
21,2021-12-20,1607556,HR38AC5450,WECX01,99.1,88.75,78.86,0.0,73
34,2021-12-20,1682478,HR038AC5450,WEYE01,100.0,90.56,76.33,0.0,30
5,2021-12-20,8775,HR55AD5041,WETRACK2,97.99,87.5,91.27,0.0,1228
35,2021-12-20,1682513,HR055AD5041,WEYE01,99.51,82.15,57.68,0.0,30
9,2021-12-20,12826,NL01AC2882,WETRACK2,98.68,95.28,80.26,0.0,1168
36,2021-12-20,1682411,NL001AC2882,WEYE01,98.61,87.71,73.97,0.0,30
22,2021-12-20,1611816,HR38AC7975,WECX01,99.44,90.49,66.6,0.0,71
37,2021-12-20,1682332,HR138AC7975,WEYE01,25.56,25.07,77.75,1.0,30
16,2021-12-20,861716,NL01AB1894,WETRACK2,100.0,100.0,99.59,0.0,501
38,2021-12-20,1682062,NL011AB1894,WEYE01,99.93,92.71,71.17,0.0,30
39,2021-12-20,1681662,HR055X2249,WEYE01,93.26,73.68,56.0,0.0,30
25,2021-12-20,1611839,HR38AC9564,WECX01,95.07,79.31,63.18,0.0,71
40,2021-12-20,1682191,HR038AC9564,WEYE01,99.51,89.17,66.21,0.0,30
15,2021-12-20,794015,HR55X2602,WETRACK2,99.03,90.62,99.27,0.0,543
41,2021-12-20,1696471,HR055X2602,TMG,94.51,76.81,80.03,1.0,23
8,2021-12-20,12208,NL01AC2624,GT06N,92.71,77.5,92.54,0.0,1177
42,2021-12-20,1696544,NL010AC2624,TMG,89.58,70.9,65.48,1.0,23
12,2021-12-20,12844,NL01AC4180,C100,100.0,92.64,60.59,0.0,903
43,2021-12-20,1696506,NL001AC4180,TMG,91.25,83.68,69.24,1.0,23
1,2021-12-20,7242,HR55Y8651,WETRACK2,99.44,96.04,96.5,0.0,1249
44,2021-12-20,1696606,HR055Y8651,TMG,95.21,82.92,70.87,0.0,23
17,2021-12-20,887012,HR55Y1278,WETRACK2,99.51,98.12,87.53,0.0,484
45,2021-12-20,1696574,HR055Y1278,TMG,100.0,91.53,67.77,0.0,23
23,2021-12-20,1611286,HR38AC0788,WECX01,99.24,97.71,51.99,0.0,71
46,2021-12-20,1697533,HR0038AC0788,TMG,100.0,92.43,68.56,0.0,22
11,2021-12-20,19748,NL01AC4193,WETRACK2,99.31,99.31,100.0,0.0,1068
47,2021-12-20,1697468,NL001AC4193,TMG,100.0,93.06,84.41,0.0,22
26,2021-12-20,1613938,HR38AC9561,WECX01,96.25,74.03,79.57,0.0,70
48,2021-12-20,1697202,HR038AC9561,TMG,76.11,67.64,73.31,1.0,22
6,2021-12-20,8859,NL01AC0798,WETRACK2,93.68,84.31,86.85,0.0,1225
49,2021-12-20,1697499,NL001AC0798,TMG,99.93,85.69,71.92,0.0,22
13,2021-12-20,136609,NL01AD9861,FMB920,100.0,0.0,92.27,0.0,819
50,2021-12-20,1697276,NL001AD9861,TMG,93.33,90.42,87.16,0.0,22
18,2021-12-20,1025419,NL01AC2881,WETRACK2,98.82,96.88,97.42,0.0,391
51,2021-12-20,1697622,NL001AC2881,TMG,100.0,91.94,83.66,0.0,22
2,2021-12-20,7753,NL01AC0284,WETRACK2,100.0,99.65,99.93,0.0,1241
52,2021-12-20,1697575,NL001AC0284,TMG,100.0,91.94,89.7,0.0,22
19,2021-12-20,1520558,NL01AF0483,WECX01,99.86,87.01,80.45,0.0,99
53,2021-12-20,1697119,NL001AF0483,TMG,100.0,85.9,71.84,0.0,22
14,2021-12-20,456375,HR55W0408,WETRACK2,99.44,99.44,100.0,0.0,707
54,2021-12-20,1697339,HR055W0408,TMG,94.24,85.97,68.06,1.0,19
