,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
4,2021-12-10,8764,HR55AD2198,WETRACK2,97.36,97.29,99.01,0.0,1218
27,2021-12-10,1677917,HR055AD2198,WEYE01,100.0,92.08,62.6,0.0,22
22,2021-12-10,1612282,HR38AC4399,WECX01,99.51,83.19,64.97,0.0,61
28,2021-12-10,1678510,HR038AC4399,WEYE01,100.0,84.51,70.84,0.0,22
20,2021-12-10,1608069,HR38AC8427,WECX01,98.75,87.29,79.55,0.0,63
29,2021-12-10,1678279,HR038AC8427,WEYE01,88.26,75.56,66.91,1.0,22
0,2021-12-10,6046,NL01AA4912,WETRACK2,91.39,91.32,96.0,0.0,1262
30,2021-12-10,1678163,NL001AA4912,WEYE01,95.9,87.99,66.75,0.0,22
3,2021-12-10,8259,NL01AA6688,WETRACK2,99.38,97.22,99.04,0.0,1226
31,2021-12-10,1678413,NL001AA6688,WEYE01,85.69,78.06,73.83,1.0,22
7,2021-12-10,11774,NL01AB1652,WETRACK2,98.82,98.82,99.95,0.0,1174
32,2021-12-10,1681792,NL001AB1652,WEYE01,55.49,48.82,84.31,1.0,20
33,2021-12-10,1681662,HR055X2249,WEYE01,98.12,80.83,66.3,0.0,20
23,2021-12-10,1611839,HR38AC9564,WECX01,98.75,79.72,56.89,0.0,61
34,2021-12-10,1682191,HR038AC9564,WEYE01,99.86,79.65,59.89,0.0,20
21,2021-12-10,1607556,HR38AC5450,WECX01,97.92,84.65,83.11,0.0,63
35,2021-12-10,1682478,HR038AC5450,WEYE01,100.0,87.08,74.29,0.0,20
24,2021-12-10,1611816,HR38AC7975,WECX01,99.24,87.64,99.13,0.0,61
36,2021-12-10,1682332,HR138AC7975,WEYE01,89.86,78.26,85.28,1.0,20
5,2021-12-10,8775,HR55AD5041,WETRACK2,97.71,97.71,99.81,0.0,1218
37,2021-12-10,1682513,HR055AD5041,WEYE01,100.0,92.5,69.67,0.0,20
10,2021-12-10,5738,NL01AA4762,WETRACK2,85.49,74.51,70.94,1.0,1157
38,2021-12-10,1681968,NL011AA4762,WEYE01,100.0,89.51,67.59,0.0,20
16,2021-12-10,861716,NL01AB1894,WETRACK2,84.1,75.07,82.11,0.0,491
39,2021-12-10,1682062,NL011AB1894,WEYE01,97.36,79.79,63.27,0.0,20
9,2021-12-10,12826,NL01AC2882,WETRACK2,97.29,86.94,83.15,0.0,1158
40,2021-12-10,1682411,NL001AC2882,WEYE01,99.72,82.36,72.78,0.0,20
8,2021-12-10,12208,NL01AC2624,GT06N,99.93,99.93,100.0,0.0,1167
41,2021-12-10,1696544,NL010AC2624,TMG,87.71,85.21,89.61,0.0,13
1,2021-12-10,7242,HR55Y8651,WETRACK2,94.93,92.22,95.02,0.0,1239
42,2021-12-10,1696606,HR055Y8651,TMG,89.72,76.6,68.27,1.0,13
17,2021-12-10,887012,HR55Y1278,WETRACK2,99.79,95.97,85.98,0.0,474
43,2021-12-10,1696574,HR055Y1278,TMG,100.0,91.18,66.79,0.0,13
15,2021-12-10,794015,HR55X2602,WETRACK2,99.38,91.11,97.99,0.0,533
44,2021-12-10,1696471,HR055X2602,TMG,95.97,78.4,78.84,0.0,13
12,2021-12-10,12844,NL01AC4180,C100,94.65,56.81,54.86,0.0,893
45,2021-12-10,1696506,NL001AC4180,TMG,99.03,91.25,69.13,0.0,13
19,2021-12-10,1520558,NL01AF0483,WECX01,99.86,93.19,99.65,0.0,89
46,2021-12-10,1697119,NL001AF0483,TMG,99.65,89.38,78.59,0.0,12
25,2021-12-10,1611286,HR38AC0788,WECX01,96.88,95.9,95.34,0.0,61
47,2021-12-10,1697533,HR0038AC0788,TMG,98.68,88.75,78.31,0.0,12
13,2021-12-10,136609,NL01AD9861,FMB920,99.93,0.07,67.37,0.0,809
48,2021-12-10,1697276,NL001AD9861,TMG,96.67,83.96,75.19,0.0,12
26,2021-12-10,1613938,HR38AC9561,WECX01,99.31,87.29,81.02,0.0,60
49,2021-12-10,1697202,HR038AC9561,TMG,91.32,76.25,70.41,1.0,12
11,2021-12-10,19748,NL01AC4193,WETRACK2,99.93,99.93,100.0,0.0,1058
50,2021-12-10,1697468,NL001AC4193,TMG,100.0,92.15,79.4,0.0,12
18,2021-12-10,1025419,NL01AC2881,WETRACK2,99.51,88.75,89.94,0.0,381
51,2021-12-10,1697622,NL001AC2881,TMG,97.15,80.49,72.77,0.0,12
2,2021-12-10,7753,NL01AC0284,WETRACK2,100.0,93.68,64.47,0.0,1231
52,2021-12-10,1697575,NL001AC0284,TMG,100.0,89.65,68.45,0.0,12
6,2021-12-10,8859,NL01AC0798,WETRACK2,97.22,91.32,90.25,0.0,1215
53,2021-12-10,1697499,NL001AC0798,TMG,100.0,86.6,76.36,0.0,12
14,2021-12-10,456375,HR55W0408,WETRACK2,98.4,92.43,88.42,0.0,697
54,2021-12-10,1697339,HR055W0408,TMG,87.01,72.71,51.47,1.0,9
