,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
4,2022-01-02,8764,HR55AD2198,WETRACK2,97.71,97.71,94.76,0.0,1241
27,2022-01-02,1677917,HR055AD2198,WEYE01,0.0,0.0,0.0,0.0,45
3,2022-01-02,8259,NL01AA6688,WETRACK2,99.51,95.35,95.22,0.0,1249
28,2022-01-02,1678413,NL001AA6688,WEYE01,89.72,77.08,83.85,0.0,45
0,2022-01-02,6046,NL01AA4912,WETRACK2,55.14,33.75,87.86,1.0,1285
29,2022-01-02,1678163,NL001AA4912,WEYE01,97.15,87.36,66.82,0.0,45
25,2022-01-02,1612282,HR38AC4399,WECX01,99.86,91.94,83.33,0.0,84
30,2022-01-02,1678510,HR038AC4399,WEYE01,100.0,88.96,73.52,0.0,45
20,2022-01-02,1608069,HR38AC8427,WECX01,98.54,91.74,68.21,0.0,86
31,2022-01-02,1678279,HR038AC8427,WEYE01,34.31,29.1,59.64,1.0,45
24,2022-01-02,1611816,HR38AC7975,WECX01,99.93,93.33,93.34,0.0,84
32,2022-01-02,1682332,HR138AC7975,WEYE01,60.42,54.44,75.7,2.0,43
10,2022-01-02,5738,NL01AA4762,WETRACK2,98.19,92.22,73.86,0.0,1180
33,2022-01-02,1681968,NL011AA4762,WEYE01,99.93,85.69,63.15,0.0,43
34,2022-01-02,1681662,HR055X2249,WEYE01,94.93,77.71,67.24,0.0,43
5,2022-01-02,8775,HR55AD5041,WETRACK2,97.08,83.89,82.44,0.0,1241
35,2022-01-02,1682513,HR055AD5041,WEYE01,99.51,84.31,51.87,0.0,43
23,2022-01-02,1611839,HR38AC9564,WECX01,99.51,94.38,83.56,0.0,84
36,2022-01-02,1682191,HR038AC9564,WEYE01,99.65,92.43,64.79,0.0,43
9,2022-01-02,12826,NL01AC2882,WETRACK2,98.06,89.38,87.35,0.0,1181
37,2022-01-02,1682411,NL001AC2882,WEYE01,99.93,83.47,71.68,0.0,43
21,2022-01-02,1607556,HR38AC5450,WECX01,99.86,90.21,76.75,0.0,86
38,2022-01-02,1682478,HR038AC5450,WEYE01,99.1,82.85,69.17,1.0,43
7,2022-01-02,11774,NL01AB1652,WETRACK2,99.79,97.64,95.28,0.0,1197
39,2022-01-02,1681792,NL001AB1652,WEYE01,90.42,82.92,76.46,1.0,43
16,2022-01-02,861716,NL01AB1894,WETRACK2,99.79,99.79,95.04,0.0,514
40,2022-01-02,1682062,NL011AB1894,WEYE01,96.53,88.82,64.05,0.0,43
15,2022-01-02,794015,HR55X2602,WETRACK2,99.58,96.88,99.34,0.0,556
41,2022-01-02,1696471,HR055X2602,TMG,96.25,82.85,67.04,0.0,36
12,2022-01-02,12844,NL01AC4180,C100,99.79,83.33,45.18,0.0,916
42,2022-01-02,1696506,NL001AC4180,TMG,99.51,92.08,73.28,0.0,36
1,2022-01-02,7242,HR55Y8651,WETRACK2,99.38,98.68,98.94,0.0,1262
43,2022-01-02,1696606,HR055Y8651,TMG,98.4,90.62,69.68,0.0,36
17,2022-01-02,887012,HR55Y1278,WETRACK2,99.1,97.43,97.56,0.0,497
44,2022-01-02,1696574,HR055Y1278,TMG,100.0,91.04,76.38,0.0,36
8,2022-01-02,12208,NL01AC2624,GT06N,99.38,91.94,93.44,0.0,1190
45,2022-01-02,1696544,NL010AC2624,TMG,96.25,84.65,65.21,0.0,36
13,2022-01-02,136609,NL01AD9861,FMB920,100.0,0.07,70.56,0.0,832
46,2022-01-02,1697276,NL001AD9861,TMG,98.54,84.31,67.78,0.0,35
18,2022-01-02,1025419,NL01AC2881,WETRACK2,95.42,95.35,99.34,0.0,404
47,2022-01-02,1697622,NL001AC2881,TMG,99.65,91.11,72.57,0.0,35
2,2022-01-02,7753,NL01AC0284,WETRACK2,96.18,87.15,54.47,0.0,1254
48,2022-01-02,1697575,NL001AC0284,TMG,99.93,84.03,68.6,0.0,35
26,2022-01-02,1613938,HR38AC9561,WECX01,98.47,87.64,76.82,0.0,83
49,2022-01-02,1697202,HR038AC9561,TMG,68.33,59.72,61.45,1.0,35
11,2022-01-02,19748,NL01AC4193,WETRACK2,100.0,100.0,100.0,0.0,1081
50,2022-01-02,1697468,NL001AC4193,TMG,99.58,91.67,76.95,0.0,35
6,2022-01-02,8859,NL01AC0798,WETRACK2,99.17,96.74,90.84,0.0,1238
51,2022-01-02,1697499,NL001AC0798,TMG,100.0,91.81,64.81,0.0,35
19,2022-01-02,1520558,NL01AF0483,WECX01,97.71,79.24,74.92,0.0,112
52,2022-01-02,1697119,NL001AF0483,TMG,100.0,89.03,65.76,0.0,35
22,2022-01-02,1611286,HR38AC0788,WECX01,0.0,0.0,0.0,0.0,84
53,2022-01-02,1697533,HR0038AC0788,TMG,99.93,88.82,74.31,0.0,35
14,2022-01-02,456375,HR55W0408,WETRACK2,99.79,95.21,92.53,0.0,720
54,2022-01-02,1697339,HR055W0408,TMG,11.6,9.31,55.94,1.0,32
