,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
5,2022-01-17,8764,HR55AD2198,WETRACK2,93.06,87.36,86.7,0.0,1256
27,2022-01-17,1677917,HR055AD2198,WEYE01,100.0,88.12,49.68,0.0,60
3,2022-01-17,8259,NL01AA6688,WETRACK2,100.0,98.47,86.47,0.0,1264
28,2022-01-17,1678413,NL001AA6688,WEYE01,50.62,46.46,74.07,2.0,60
24,2022-01-17,1612282,HR38AC4399,WECX01,98.54,85.35,63.62,0.0,99
29,2022-01-17,1678510,HR038AC4399,WEYE01,99.86,87.22,65.06,0.0,60
20,2022-01-17,1608069,HR38AC8427,WECX01,99.79,87.36,74.13,0.0,101
30,2022-01-17,1678279,HR038AC8427,WEYE01,96.74,86.81,62.92,0.0,60
0,2022-01-17,6046,NL01AA4912,WETRACK2,96.32,84.31,77.57,0.0,1300
31,2022-01-17,1678163,NL001AA4912,WEYE01,98.68,86.39,57.34,0.0,60
4,2022-01-17,8775,HR55AD5041,WETRACK2,88.89,85.97,93.16,0.0,1256
32,2022-01-17,1682513,HR055AD5041,WEYE01,99.79,70.56,59.36,0.0,58
10,2022-01-17,5738,NL01AA4762,WETRACK2,79.93,79.03,89.86,0.0,1195
33,2022-01-17,1681968,NL011AA4762,WEYE01,100.0,92.15,70.3,0.0,58
9,2022-01-17,12826,NL01AC2882,WETRACK2,99.86,99.86,98.87,0.0,1196
34,2022-01-17,1682411,NL001AC2882,WEYE01,98.19,90.62,73.8,0.0,58
21,2022-01-17,1607556,HR38AC5450,WECX01,100.0,95.0,99.9,0.0,101
35,2022-01-17,1682478,HR038AC5450,WEYE01,100.0,93.26,85.27,0.0,58
7,2022-01-17,11774,NL01AB1652,WETRACK2,96.18,96.25,99.93,0.0,1212
36,2022-01-17,1681792,NL001AB1652,WEYE01,92.92,83.19,73.72,1.0,58
22,2022-01-17,1611839,HR38AC9564,WECX01,99.38,93.47,84.31,0.0,99
37,2022-01-17,1682191,HR038AC9564,WEYE01,99.38,91.11,81.64,0.0,58
16,2022-01-17,861716,NL01AB1894,WETRACK2,99.86,99.86,99.34,0.0,529
38,2022-01-17,1682062,NL011AB1894,WEYE01,99.38,92.29,56.78,0.0,58
39,2022-01-17,1681662,HR055X2249,WEYE01,99.65,92.78,64.78,0.0,58
23,2022-01-17,1611816,HR38AC7975,WECX01,97.99,78.75,53.18,1.0,99
40,2022-01-17,1682332,HR138AC7975,WEYE01,93.68,85.56,68.32,1.0,58
15,2022-01-17,794015,HR55X2602,WETRACK2,0.0,0.0,0.0,0.0,571
41,2022-01-17,1696471,HR055X2602,TMG,0.0,0.0,0.0,0.0,51
12,2022-01-17,12844,NL01AC4180,C100,99.93,92.15,78.26,0.0,931
42,2022-01-17,1696506,NL001AC4180,TMG,94.86,87.5,82.85,0.0,51
17,2022-01-17,887012,HR55Y1278,WETRACK2,99.1,96.39,97.43,0.0,512
43,2022-01-17,1696574,HR055Y1278,TMG,99.93,92.99,77.56,0.0,51
8,2022-01-17,12208,NL01AC2624,GT06N,99.86,99.44,99.44,0.0,1205
44,2022-01-17,1696544,NL010AC2624,TMG,96.94,92.36,89.45,0.0,51
1,2022-01-17,7242,HR55Y8651,WETRACK2,99.93,99.86,99.65,0.0,1277
45,2022-01-17,1696606,HR055Y8651,TMG,0.0,0.0,0.0,0.0,51
6,2022-01-17,8859,NL01AC0798,WETRACK2,91.74,83.06,55.19,0.0,1253
46,2022-01-17,1697499,NL001AC0798,TMG,100.0,90.69,71.43,0.0,50
13,2022-01-17,136609,NL01AD9861,FMB920,99.93,0.0,78.38,0.0,847
47,2022-01-17,1697276,NL001AD9861,TMG,79.31,77.5,77.22,1.0,50
25,2022-01-17,1611286,HR38AC0788,WECX01,99.86,91.25,90.55,0.0,99
48,2022-01-17,1697533,HR0038AC0788,TMG,100.0,88.47,73.57,0.0,50
18,2022-01-17,1025419,NL01AC2881,WETRACK2,98.54,92.71,94.84,0.0,419
49,2022-01-17,1697622,NL001AC2881,TMG,100.0,89.17,74.77,0.0,50
26,2022-01-17,1613938,HR38AC9561,WECX01,99.72,92.99,88.5,0.0,98
50,2022-01-17,1697202,HR038AC9561,TMG,75.83,67.99,69.46,2.0,50
2,2022-01-17,7753,NL01AC0284,WETRACK2,99.79,95.49,66.69,0.0,1269
51,2022-01-17,1697575,NL001AC0284,TMG,100.0,89.24,73.94,0.0,50
19,2022-01-17,1520558,NL01AF0483,WECX01,99.86,90.83,79.8,0.0,127
52,2022-01-17,1697119,NL001AF0483,TMG,100.0,88.68,74.84,0.0,50
11,2022-01-17,19748,NL01AC4193,WETRACK2,99.03,99.03,100.0,0.0,1096
53,2022-01-17,1697468,NL001AC4193,TMG,100.0,90.42,77.52,0.0,50
14,2022-01-17,456375,HR55W0408,WETRACK2,99.93,99.93,99.98,0.0,735
54,2022-01-17,1697339,HR055W0408,TMG,25.56,25.0,55.25,1.0,47
