,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
0,2021-12-12,6046,NL01AA4912,WETRACK2,98.68,98.68,99.93,0.0,1264
27,2021-12-12,1678163,NL001AA4912,WEYE01,93.33,85.9,70.42,0.0,24
20,2021-12-12,1608069,HR38AC8427,WECX01,99.86,91.04,91.74,0.0,65
28,2021-12-12,1678279,HR038AC8427,WEYE01,37.85,35.21,92.4,1.0,24
22,2021-12-12,1612282,HR38AC4399,WECX01,99.31,88.19,64.49,0.0,63
29,2021-12-12,1678510,HR038AC4399,WEYE01,100.0,87.15,71.15,0.0,24
4,2021-12-12,8764,HR55AD2198,WETRACK2,97.92,97.92,100.0,0.0,1220
30,2021-12-12,1677917,HR055AD2198,WEYE01,100.0,91.53,60.75,0.0,24
3,2021-12-12,8259,NL01AA6688,WETRACK2,97.01,90.49,90.84,0.0,1228
31,2021-12-12,1678413,NL001AA6688,WEYE01,99.03,86.04,76.79,0.0,24
24,2021-12-12,1611816,HR38AC7975,WECX01,98.68,77.22,55.85,0.0,63
32,2021-12-12,1682332,HR138AC7975,WEYE01,95.14,88.06,62.32,0.0,22
5,2021-12-12,8775,HR55AD5041,WETRACK2,99.31,99.31,99.84,0.0,1220
33,2021-12-12,1682513,HR055AD5041,WEYE01,99.93,92.36,71.65,0.0,22
34,2021-12-12,1681662,HR055X2249,WEYE01,96.04,77.92,66.68,0.0,22
23,2021-12-12,1611839,HR38AC9564,WECX01,100.07,89.93,73.17,0.0,63
35,2021-12-12,1682191,HR038AC9564,WEYE01,99.79,87.64,73.13,0.0,22
9,2021-12-12,12826,NL01AC2882,WETRACK2,99.86,97.85,81.36,0.0,1160
36,2021-12-12,1682411,NL001AC2882,WEYE01,95.56,84.38,66.25,0.0,22
7,2021-12-12,11774,NL01AB1652,WETRACK2,100.0,100.0,99.79,0.0,1176
37,2021-12-12,1681792,NL001AB1652,WEYE01,85.21,77.43,86.14,2.0,22
16,2021-12-12,861716,NL01AB1894,WETRACK2,99.65,98.68,98.11,0.0,493
38,2021-12-12,1682062,NL011AB1894,WEYE01,98.33,86.53,67.45,0.0,22
21,2021-12-12,1607556,HR38AC5450,WECX01,100.0,93.68,92.54,0.0,65
39,2021-12-12,1682478,HR038AC5450,WEYE01,100.0,91.04,86.9,0.0,22
10,2021-12-12,5738,NL01AA4762,WETRACK2,88.19,76.25,63.64,0.0,1159
40,2021-12-12,1681968,NL011AA4762,WEYE01,99.93,88.4,64.9,0.0,22
8,2021-12-12,12208,NL01AC2624,GT06N,99.72,89.58,89.53,0.0,1169
41,2021-12-12,1696544,NL010AC2624,TMG,89.44,71.39,67.26,1.0,15
1,2021-12-12,7242,HR55Y8651,WETRACK2,99.86,97.5,95.66,0.0,1241
42,2021-12-12,1696606,HR055Y8651,TMG,91.32,81.67,73.09,1.0,15
17,2021-12-12,887012,HR55Y1278,WETRACK2,99.51,96.88,97.64,0.0,476
43,2021-12-12,1696574,HR055Y1278,TMG,100.0,92.08,76.81,0.0,15
12,2021-12-12,12844,NL01AC4180,C100,92.01,34.24,47.79,0.0,895
44,2021-12-12,1696506,NL001AC4180,TMG,96.25,84.65,67.38,0.0,15
15,2021-12-12,794015,HR55X2602,WETRACK2,99.86,99.86,100.0,0.0,535
45,2021-12-12,1696471,HR055X2602,TMG,87.64,80.21,90.35,1.0,15
6,2021-12-12,8859,NL01AC0798,WETRACK2,98.89,89.44,90.98,0.0,1217
46,2021-12-12,1697499,NL001AC0798,TMG,100.0,83.26,73.97,0.0,14
2,2021-12-12,7753,NL01AC0284,WETRACK2,99.86,92.92,73.43,0.0,1233
47,2021-12-12,1697575,NL001AC0284,TMG,99.51,85.76,76.78,0.0,14
11,2021-12-12,19748,NL01AC4193,WETRACK2,99.65,99.65,100.0,0.0,1060
48,2021-12-12,1697468,NL001AC4193,TMG,100.0,90.28,77.85,0.0,14
19,2021-12-12,1520558,NL01AF0483,WECX01,99.93,94.1,99.92,0.0,91
49,2021-12-12,1697119,NL001AF0483,TMG,100.0,88.75,78.81,0.0,14
26,2021-12-12,1613938,HR38AC9561,WECX01,99.86,91.81,76.71,0.0,62
50,2021-12-12,1697202,HR038AC9561,TMG,67.08,55.62,66.88,1.0,14
18,2021-12-12,1025419,NL01AC2881,WETRACK2,99.1,96.94,90.74,0.0,383
51,2021-12-12,1697622,NL001AC2881,TMG,74.1,64.44,72.73,1.0,14
25,2021-12-12,1611286,HR38AC0788,WECX01,95.49,81.53,61.24,0.0,63
52,2021-12-12,1697533,HR0038AC0788,TMG,100.0,84.51,69.3,0.0,14
13,2021-12-12,136609,NL01AD9861,FMB920,100.0,0.0,75.25,0.0,811
53,2021-12-12,1697276,NL001AD9861,TMG,95.35,84.65,83.34,0.0,14
14,2021-12-12,456375,HR55W0408,WETRACK2,99.17,95.28,95.16,0.0,699
54,2021-12-12,1697339,HR055W0408,TMG,73.47,61.53,61.15,1.0,11
