,vehicle_id,consistency_pct,live_pct,gsm_average,heart_beat,analysis_for_day,vehicle_number,model_name,installation_date
0,6046,96.39,83.26,69.71,Has heartbeat,2022-01-24,NL01AA4912,WETRACK2,2018-06-27
1,7242,83.89,82.01,96.59,Has heartbeat,2022-01-24,HR55Y8651,WETRACK2,2018-07-20
2,7753,96.53,82.29,95.48,Has heartbeat,2022-01-24,NL01AC0284,WETRACK2,2018-07-28
3,8259,97.36,76.18,84.18,Has heartbeat,2022-01-24,NL01AA6688,WETRACK2,2018-08-02
4,8775,88.19,78.06,91.69,Has heartbeat,2022-01-24,HR55AD5041,WETRACK2,2018-08-10
5,8764,86.46,83.47,98.2,Has heartbeat,2022-01-24,HR55AD2198,WETRACK2,2018-08-10
6,8859,98.82,79.93,84.47,Has heartbeat,2022-01-24,NL01AC0798,WETRACK2,2018-08-13
7,11774,88.19,76.11,97.0,Has heartbeat,2022-01-24,NL01AB1652,WETRACK2,2018-09-23
8,12208,89.72,84.93,99.98,Has heartbeat,2022-01-24,NL01AC2624,GT06N,2018-09-30
9,12826,92.64,84.79,97.68,Has heartbeat,2022-01-24,NL01AC2882,WETRACK2,2018-10-09
10,5738,77.85,65.97,59.8,Has heartbeat,2022-01-24,NL01AA4762,WETRACK2,2018-10-10
11,19748,85.0,85.0,100.0,Has heartbeat,2022-01-24,NL01AC4193,WETRACK2,2019-01-17
12,12844,50.07,0.0,57.5,No heartbeat,2022-01-24,NL01AC4180,C100,2019-07-01
13,136609,50.69,0.0,74.57,No heartbeat,2022-01-24,NL01AD9861,FMB920,2019-09-23
14,456375,85.35,85.35,100.0,Has heartbeat,2022-01-24,HR55W0408,WETRACK2,2020-01-13
15,794015,0.0,0.0,0.0,No data,2022-01-24,HR55X2602,WETRACK2,2020-06-25
16,861716,6.53,6.53,73.21,Has heartbeat,2022-01-24,NL01AB1894,WETRACK2,2020-08-06
17,887012,84.79,78.82,84.18,Has heartbeat,2022-01-24,HR55Y1278,WETRACK2,2020-08-23
18,1025419,91.46,73.82,84.78,Has heartbeat,2022-01-24,NL01AC2881,WETRACK2,2020-11-24
19,1520558,52.08,0.0,83.92,No heartbeat,2022-01-24,NL01AF0483,WECX01,2021-09-12
20,1607556,50.35,0.0,91.4,No heartbeat,2022-01-24,HR38AC5450,WECX01,2021-10-08
21,1608069,49.51,0.0,90.2,No heartbeat,2022-01-24,HR38AC8427,WECX01,2021-10-08
22,1611286,63.06,0.0,83.88,No heartbeat,2022-01-24,HR38AC0788,WECX01,2021-10-10
23,1611839,46.25,0.0,48.26,No heartbeat,2022-01-24,HR38AC9564,WECX01,2021-10-10
24,1612282,46.88,0.0,72.31,No heartbeat,2022-01-24,HR38AC4399,WECX01,2021-10-10
25,1611816,47.29,0.0,63.75,No heartbeat,2022-01-24,HR38AC7975,WECX01,2021-10-10
26,1613938,46.11,0.0,72.54,No heartbeat,2022-01-24,HR38AC9561,WECX01,2021-10-11
