,vehicle_id,consistency_pct,live_pct,gsm_average,heart_beat,analysis_for_day,vehicle_number,model_name,installation_date
0,6046,3.82,3.75,84.26,Has heartbeat,2022-01-12,NL01AA4912,WETRACK2,2018-06-27
1,7242,3.68,3.54,92.65,Has heartbeat,2022-01-12,HR55Y8651,WETRACK2,2018-07-20
2,7753,3.68,3.68,50.94,Has heartbeat,2022-01-12,NL01AC0284,WETRACK2,2018-07-28
3,8259,1.94,0.97,83.93,Has heartbeat,2022-01-12,NL01AA6688,WETRACK2,2018-08-02
4,8764,2.29,2.29,53.79,Has heartbeat,2022-01-12,HR55AD2198,WETRACK2,2018-08-10
5,8775,3.61,3.54,94.09,Has heartbeat,2022-01-12,HR55AD5041,WETRACK2,2018-08-10
6,8859,2.92,2.08,100.0,Has heartbeat,2022-01-12,NL01AC0798,WETRACK2,2018-08-13
7,11774,3.82,3.75,100.0,Has heartbeat,2022-01-12,NL01AB1652,WETRACK2,2018-09-23
8,12208,2.71,2.71,95.51,Has heartbeat,2022-01-12,NL01AC2624,GT06N,2018-09-30
9,12826,3.06,3.06,80.11,Has heartbeat,2022-01-12,NL01AC2882,WETRACK2,2018-10-09
10,5738,1.11,1.11,69.12,Has heartbeat,2022-01-12,NL01AA4762,WETRACK2,2018-10-10
11,19748,3.68,3.68,100.0,Has heartbeat,2022-01-12,NL01AC4193,WETRACK2,2019-01-17
12,12844,1.04,0.07,46.23,No heartbeat,2022-01-12,NL01AC4180,C100,2019-07-01
13,136609,1.11,0.0,82.96,No heartbeat,2022-01-12,NL01AD9861,FMB920,2019-09-23
14,456375,3.68,3.68,100.0,Has heartbeat,2022-01-12,HR55W0408,WETRACK2,2020-01-13
15,794015,0.0,0.0,0.0,No data,2022-01-12,HR55X2602,WETRACK2,2020-06-25
16,861716,3.75,2.85,88.12,Has heartbeat,2022-01-12,NL01AB1894,WETRACK2,2020-08-06
17,887012,3.75,3.75,93.87,Has heartbeat,2022-01-12,HR55Y1278,WETRACK2,2020-08-23
18,1025419,3.75,3.75,91.2,Has heartbeat,2022-01-12,NL01AC2881,WETRACK2,2020-11-24
19,1520558,1.04,0.0,69.49,No heartbeat,2022-01-12,NL01AF0483,WECX01,2021-09-12
20,1608069,2.71,2.15,96.88,No heartbeat,2022-01-12,HR38AC8427,WECX01,2021-10-08
21,1607556,3.75,2.85,88.47,No heartbeat,2022-01-12,HR38AC5450,WECX01,2021-10-08
22,1611839,1.11,0.0,57.81,No heartbeat,2022-01-12,HR38AC9564,WECX01,2021-10-10
23,1612282,1.04,0.07,100.0,No heartbeat,2022-01-12,HR38AC4399,WECX01,2021-10-10
24,1611816,1.04,0.0,100.0,No heartbeat,2022-01-12,HR38AC7975,WECX01,2021-10-10
25,1611286,1.04,0.14,93.67,No heartbeat,2022-01-12,HR38AC0788,WECX01,2021-10-10
26,1613938,1.11,0.0,93.75,No heartbeat,2022-01-12,HR38AC9561,WECX01,2021-10-11
27,1678510,1.04,0.0,50.08,No heartbeat,2022-01-12,HR038AC4399,WEYE01,2021-11-18
28,1678279,1.46,0.0,78.74,No heartbeat,2022-01-12,HR038AC8427,WEYE01,2021-11-18
29,1677917,1.46,0.07,32.28,No heartbeat,2022-01-12,HR055AD2198,WEYE01,2021-11-18
30,1678163,3.75,2.43,42.36,No heartbeat,2022-01-12,NL001AA4912,WEYE01,2021-11-18
31,1678413,1.04,0.0,84.44,No heartbeat,2022-01-12,NL001AA6688,WEYE01,2021-11-18
32,1682478,0.97,0.0,76.58,No heartbeat,2022-01-12,HR038AC5450,WEYE01,2021-11-20
33,1682191,3.75,2.71,94.36,No heartbeat,2022-01-12,HR038AC9564,WEYE01,2021-11-20
34,1682411,3.75,2.36,68.23,No heartbeat,2022-01-12,NL001AC2882,WEYE01,2021-11-20
35,1681662,1.04,0.0,62.57,No heartbeat,2022-01-12,HR055X2249,WEYE01,2021-11-20
36,1681968,1.11,0.07,44.12,No heartbeat,2022-01-12,NL011AA4762,WEYE01,2021-11-20
37,1681792,0.97,0.07,81.2,No heartbeat,2022-01-12,NL001AB1652,WEYE01,2021-11-20
38,1682062,1.04,0.07,56.26,No heartbeat,2022-01-12,NL011AB1894,WEYE01,2021-11-20
39,1682332,1.04,0.07,86.73,No heartbeat,2022-01-12,HR138AC7975,WEYE01,2021-11-20
40,1682513,1.32,0.0,59.04,No heartbeat,2022-01-12,HR055AD5041,WEYE01,2021-11-20
41,1696506,1.04,0.07,64.19,No heartbeat,2022-01-12,NL001AC4180,TMG,2021-11-27
