,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
20,2021-12-31,1608069,HR38AC8427,WECX01,99.93,87.78,90.63,0.0,84
27,2021-12-31,1678279,HR038AC8427,WEYE01,98.54,81.74,77.72,0.0,43
0,2021-12-31,6046,NL01AA4912,WETRACK2,88.96,66.88,61.62,0.0,1283
28,2021-12-31,1678163,NL001AA4912,WEYE01,96.81,73.75,44.46,0.0,43
24,2021-12-31,1612282,HR38AC4399,WECX01,98.4,93.54,96.98,0.0,82
29,2021-12-31,1678510,HR038AC4399,WEYE01,99.58,91.39,69.8,0.0,43
3,2021-12-31,8259,NL01AA6688,WETRACK2,68.33,62.78,93.01,2.0,1247
30,2021-12-31,1678413,NL001AA6688,WEYE01,71.18,43.12,82.84,2.0,43
4,2021-12-31,8764,HR55AD2198,WETRACK2,94.38,93.4,86.67,0.0,1239
31,2021-12-31,1677917,HR055AD2198,WEYE01,99.03,86.46,59.79,0.0,43
22,2021-12-31,1611816,HR38AC7975,WECX01,94.51,78.82,66.51,1.0,82
32,2021-12-31,1682332,HR138AC7975,WEYE01,90.35,73.33,80.33,0.0,41
5,2021-12-31,8775,HR55AD5041,WETRACK2,96.32,91.94,91.1,0.0,1239
33,2021-12-31,1682513,HR055AD5041,WEYE01,97.29,86.25,56.33,0.0,41
34,2021-12-31,1681662,HR055X2249,WEYE01,97.78,82.01,63.23,0.0,41
16,2021-12-31,861716,NL01AB1894,WETRACK2,86.94,79.1,91.38,0.0,512
35,2021-12-31,1682062,NL011AB1894,WEYE01,99.38,80.42,58.41,0.0,41
7,2021-12-31,11774,NL01AB1652,WETRACK2,0.0,0.0,0.0,0.0,1195
36,2021-12-31,1681792,NL001AB1652,WEYE01,82.99,74.79,74.91,1.0,41
21,2021-12-31,1607556,HR38AC5450,WECX01,100.0,90.0,87.2,0.0,84
37,2021-12-31,1682478,HR038AC5450,WEYE01,99.51,90.9,74.1,0.0,41
9,2021-12-31,12826,NL01AC2882,WETRACK2,100.0,100.0,98.33,0.0,1179
38,2021-12-31,1682411,NL001AC2882,WEYE01,79.86,70.97,93.76,1.0,41
23,2021-12-31,1611839,HR38AC9564,WECX01,98.4,82.22,62.94,0.0,82
39,2021-12-31,1682191,HR038AC9564,WEYE01,99.58,88.19,65.49,0.0,41
10,2021-12-31,5738,NL01AA4762,WETRACK2,94.86,78.61,56.39,0.0,1178
40,2021-12-31,1681968,NL011AA4762,WEYE01,99.51,81.88,48.67,0.0,41
12,2021-12-31,12844,NL01AC4180,C100,99.79,75.35,44.95,0.0,914
41,2021-12-31,1696506,NL001AC4180,TMG,97.92,89.51,82.37,0.0,34
8,2021-12-31,12208,NL01AC2624,GT06N,99.51,97.43,99.86,0.0,1188
42,2021-12-31,1696544,NL010AC2624,TMG,86.6,76.67,78.79,1.0,34
17,2021-12-31,887012,HR55Y1278,WETRACK2,99.86,96.39,87.26,0.0,495
43,2021-12-31,1696574,HR055Y1278,TMG,99.79,87.5,63.61,0.0,34
1,2021-12-31,7242,HR55Y8651,WETRACK2,99.79,99.58,99.4,0.0,1260
44,2021-12-31,1696606,HR055Y8651,TMG,87.43,77.92,83.65,2.0,34
15,2021-12-31,794015,HR55X2602,WETRACK2,98.61,91.25,98.06,0.0,554
45,2021-12-31,1696471,HR055X2602,TMG,95.76,77.64,74.05,0.0,34
13,2021-12-31,136609,NL01AD9861,FMB920,99.93,0.0,54.04,0.0,830
46,2021-12-31,1697276,NL001AD9861,TMG,87.01,79.38,54.26,1.0,33
18,2021-12-31,1025419,NL01AC2881,WETRACK2,99.86,99.86,97.99,0.0,402
47,2021-12-31,1697622,NL001AC2881,TMG,99.65,91.88,73.49,0.0,33
2,2021-12-31,7753,NL01AC0284,WETRACK2,98.47,93.4,86.55,0.0,1252
48,2021-12-31,1697575,NL001AC0284,TMG,98.68,87.43,74.05,0.0,33
6,2021-12-31,8859,NL01AC0798,WETRACK2,96.46,94.1,87.26,0.0,1236
49,2021-12-31,1697499,NL001AC0798,TMG,99.38,92.15,79.7,0.0,33
26,2021-12-31,1613938,HR38AC9561,WECX01,98.61,89.93,65.4,0.0,81
50,2021-12-31,1697202,HR038AC9561,TMG,76.6,68.61,66.18,1.0,33
19,2021-12-31,1520558,NL01AF0483,WECX01,99.86,93.06,92.56,0.0,110
51,2021-12-31,1697119,NL001AF0483,TMG,99.79,91.39,73.43,0.0,33
11,2021-12-31,19748,NL01AC4193,WETRACK2,100.0,100.0,100.0,0.0,1079
52,2021-12-31,1697468,NL001AC4193,TMG,99.72,92.08,78.04,0.0,33
25,2021-12-31,1611286,HR38AC0788,WECX01,0.0,0.0,0.0,0.0,82
53,2021-12-31,1697533,HR0038AC0788,TMG,99.72,89.1,63.76,0.0,33
14,2021-12-31,456375,HR55W0408,WETRACK2,98.26,92.08,88.53,0.0,718
54,2021-12-31,1697339,HR055W0408,TMG,72.15,60.97,54.11,2.0,30
