,vehicle_id,consistency_pct,live_pct,gsm_average,heart_beat,analysis_for_day,vehicle_number,model_name,installation_date
0,6046,97.99,94.1,74.98,Has heartbeat,2022-01-04,NL01AA4912,WETRACK2,2018-06-27
1,7242,100.0,99.72,99.25,Has heartbeat,2022-01-04,HR55Y8651,WETRACK2,2018-07-20
2,7753,99.38,91.11,76.71,Has heartbeat,2022-01-04,NL01AC0284,WETRACK2,2018-07-28
3,8259,96.67,90.35,86.2,Has heartbeat,2022-01-04,NL01AA6688,WETRACK2,2018-08-02
4,8764,93.33,91.6,94.79,Has heartbeat,2022-01-04,HR55AD2198,WETRACK2,2018-08-10
5,8775,97.36,97.15,99.07,Has heartbeat,2022-01-04,HR55AD5041,WETRACK2,2018-08-10
6,8859,99.24,96.11,91.75,Has heartbeat,2022-01-04,NL01AC0798,WETRACK2,2018-08-13
7,11774,99.58,94.03,96.59,Has heartbeat,2022-01-04,NL01AB1652,WETRACK2,2018-09-23
8,12208,99.93,99.51,99.64,Has heartbeat,2022-01-04,NL01AC2624,GT06N,2018-09-30
9,12826,99.86,99.38,97.54,Has heartbeat,2022-01-04,NL01AC2882,WETRACK2,2018-10-09
10,5738,98.89,85.83,74.04,Has heartbeat,2022-01-04,NL01AA4762,WETRACK2,2018-10-10
11,19748,98.89,98.89,100.0,Has heartbeat,2022-01-04,NL01AC4193,WETRACK2,2019-01-17
12,12844,100.0,82.99,45.67,No heartbeat,2022-01-04,NL01AC4180,C100,2019-07-01
13,136609,99.93,0.0,68.4,No heartbeat,2022-01-04,NL01AD9861,FMB920,2019-09-23
14,456375,100.0,99.65,99.8,Has heartbeat,2022-01-04,HR55W0408,WETRACK2,2020-01-13
15,794015,99.72,98.54,99.46,Has heartbeat,2022-01-04,HR55X2602,WETRACK2,2020-06-25
16,861716,98.89,91.67,95.92,Has heartbeat,2022-01-04,NL01AB1894,WETRACK2,2020-08-06
17,887012,99.58,98.12,86.17,Has heartbeat,2022-01-04,HR55Y1278,WETRACK2,2020-08-23
18,1025419,99.79,97.5,87.51,Has heartbeat,2022-01-04,NL01AC2881,WETRACK2,2020-11-24
19,1520558,99.24,89.31,83.11,No heartbeat,2022-01-04,NL01AF0483,WECX01,2021-09-12
20,1607556,94.31,85.21,98.9,No heartbeat,2022-01-04,HR38AC5450,WECX01,2021-10-08
21,1608069,89.17,78.47,49.06,No heartbeat,2022-01-04,HR38AC8427,WECX01,2021-10-08
22,1611816,97.29,77.43,59.85,No heartbeat,2022-01-04,HR38AC7975,WECX01,2021-10-10
23,1611839,99.17,82.85,77.58,No heartbeat,2022-01-04,HR38AC9564,WECX01,2021-10-10
24,1611286,0.0,0.0,0.0,No data,2022-01-04,HR38AC0788,WECX01,2021-10-10
25,1612282,75.83,61.67,64.53,No heartbeat,2022-01-04,HR38AC4399,WECX01,2021-10-10
26,1613938,0.0,0.0,0.0,No data,2022-01-04,HR38AC9561,WECX01,2021-10-11
27,1678279,55.9,37.57,48.67,No heartbeat,2022-01-04,HR038AC8427,WEYE01,2021-11-18
28,1677917,98.33,85.14,49.07,No heartbeat,2022-01-04,HR055AD2198,WEYE01,2021-11-18
29,1678413,89.17,77.71,76.78,No heartbeat,2022-01-04,NL001AA6688,WEYE01,2021-11-18
30,1678510,98.89,83.96,60.96,No heartbeat,2022-01-04,HR038AC4399,WEYE01,2021-11-18
31,1678163,73.19,63.4,54.36,No heartbeat,2022-01-04,NL001AA4912,WEYE01,2021-11-18
32,1682062,99.72,84.17,63.81,No heartbeat,2022-01-04,NL011AB1894,WEYE01,2021-11-20
33,1682332,85.28,69.1,67.78,No heartbeat,2022-01-04,HR138AC7975,WEYE01,2021-11-20
34,1682478,100.0,92.01,85.91,No heartbeat,2022-01-04,HR038AC5450,WEYE01,2021-11-20
35,1681662,92.71,85.07,69.48,No heartbeat,2022-01-04,HR055X2249,WEYE01,2021-11-20
36,1681792,84.44,74.1,75.29,No heartbeat,2022-01-04,NL001AB1652,WEYE01,2021-11-20
37,1682411,94.24,87.36,72.95,No heartbeat,2022-01-04,NL001AC2882,WEYE01,2021-11-20
38,1681968,100.0,88.82,69.24,No heartbeat,2022-01-04,NL011AA4762,WEYE01,2021-11-20
39,1682513,100.0,92.36,56.57,No heartbeat,2022-01-04,HR055AD5041,WEYE01,2021-11-20
40,1682191,99.72,89.24,70.31,No heartbeat,2022-01-04,HR038AC9564,WEYE01,2021-11-20
41,1696574,100.0,87.08,67.05,No heartbeat,2022-01-04,HR055Y1278,TMG,2021-11-27
42,1696471,91.39,80.9,82.21,No heartbeat,2022-01-04,HR055X2602,TMG,2021-11-27
43,1696506,98.4,84.93,69.72,No heartbeat,2022-01-04,NL001AC4180,TMG,2021-11-27
44,1696544,94.24,86.6,81.3,No heartbeat,2022-01-04,NL010AC2624,TMG,2021-11-27
45,1696606,94.72,85.56,84.75,No heartbeat,2022-01-04,HR055Y8651,TMG,2021-11-27
46,1697276,97.15,90.14,79.25,No heartbeat,2022-01-04,NL001AD9861,TMG,2021-11-28
47,1697499,100.0,89.72,65.0,No heartbeat,2022-01-04,NL001AC0798,TMG,2021-11-28
48,1697202,76.04,62.57,66.45,No heartbeat,2022-01-04,HR038AC9561,TMG,2021-11-28
49,1697622,99.93,87.78,74.54,No heartbeat,2022-01-04,NL001AC2881,TMG,2021-11-28
50,1697533,100.0,92.15,80.24,No heartbeat,2022-01-04,HR0038AC0788,TMG,2021-11-28
51,1697575,100.0,85.21,75.8,No heartbeat,2022-01-04,NL001AC0284,TMG,2021-11-28
52,1697119,99.86,87.92,75.73,No heartbeat,2022-01-04,NL001AF0483,TMG,2021-11-28
53,1697468,100.0,91.94,79.24,No heartbeat,2022-01-04,NL001AC4193,TMG,2021-11-28
54,1697339,95.35,88.68,66.33,No heartbeat,2022-01-04,HR055W0408,TMG,2021-12-01
