,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
21,2021-12-11,1608069,HR38AC8427,WECX01,95.49,77.5,82.16,1.0,64
27,2021-12-11,1678279,HR038AC8427,WEYE01,75.83,62.43,72.05,1.0,23
0,2021-12-11,6046,NL01AA4912,WETRACK2,95.9,95.9,99.96,0.0,1263
28,2021-12-11,1678163,NL001AA4912,WEYE01,98.75,91.25,71.51,0.0,23
3,2021-12-11,8259,NL01AA6688,WETRACK2,99.58,96.74,99.47,0.0,1227
29,2021-12-11,1678413,NL001AA6688,WEYE01,92.36,84.31,86.88,1.0,23
25,2021-12-11,1612282,HR38AC4399,WECX01,100.07,79.93,50.77,0.0,62
30,2021-12-11,1678510,HR038AC4399,WEYE01,99.93,86.6,67.36,0.0,23
4,2021-12-11,8764,HR55AD2198,WETRACK2,97.5,97.5,99.81,0.0,1219
31,2021-12-11,1677917,HR055AD2198,WEYE01,100.0,92.36,61.36,0.0,23
10,2021-12-11,5738,NL01AA4762,WETRACK2,94.72,94.31,65.83,0.0,1158
32,2021-12-11,1681968,NL011AA4762,WEYE01,100.0,91.6,75.89,0.0,21
24,2021-12-11,1611839,HR38AC9564,WECX01,99.38,86.32,73.0,0.0,62
33,2021-12-11,1682191,HR038AC9564,WEYE01,99.86,91.53,73.4,0.0,21
7,2021-12-11,11774,NL01AB1652,WETRACK2,99.79,99.79,99.74,0.0,1175
34,2021-12-11,1681792,NL001AB1652,WEYE01,77.92,70.83,86.92,1.0,21
20,2021-12-11,1607556,HR38AC5450,WECX01,99.58,90.0,78.01,0.0,64
35,2021-12-11,1682478,HR038AC5450,WEYE01,99.86,88.82,73.94,0.0,21
9,2021-12-11,12826,NL01AC2882,WETRACK2,96.94,94.86,87.95,0.0,1159
36,2021-12-11,1682411,NL001AC2882,WEYE01,91.25,80.56,66.42,1.0,21
5,2021-12-11,8775,HR55AD5041,WETRACK2,99.51,99.51,99.84,0.0,1219
37,2021-12-11,1682513,HR055AD5041,WEYE01,100.0,92.29,65.6,0.0,21
23,2021-12-11,1611816,HR38AC7975,WECX01,99.65,90.49,95.17,0.0,62
38,2021-12-11,1682332,HR138AC7975,WEYE01,73.75,67.36,80.92,1.0,21
39,2021-12-11,1681662,HR055X2249,WEYE01,90.14,82.71,72.08,1.0,21
16,2021-12-11,861716,NL01AB1894,WETRACK2,94.79,90.28,92.66,0.0,492
40,2021-12-11,1682062,NL011AB1894,WEYE01,99.03,84.93,61.04,0.0,21
17,2021-12-11,887012,HR55Y1278,WETRACK2,98.4,96.25,87.39,0.0,475
41,2021-12-11,1696574,HR055Y1278,TMG,100.0,91.88,68.08,0.0,14
15,2021-12-11,794015,HR55X2602,WETRACK2,98.96,96.25,98.95,0.0,534
42,2021-12-11,1696471,HR055X2602,TMG,98.82,86.81,83.22,0.0,14
12,2021-12-11,12844,NL01AC4180,C100,98.89,80.49,67.43,0.0,894
43,2021-12-11,1696506,NL001AC4180,TMG,90.9,83.47,73.12,1.0,14
1,2021-12-11,7242,HR55Y8651,WETRACK2,99.86,99.38,99.07,0.0,1240
44,2021-12-11,1696606,HR055Y8651,TMG,37.29,28.68,80.38,1.0,14
8,2021-12-11,12208,NL01AC2624,GT06N,95.07,86.74,94.9,0.0,1168
45,2021-12-11,1696544,NL010AC2624,TMG,96.11,81.88,71.24,0.0,14
22,2021-12-11,1611286,HR38AC0788,WECX01,90.07,82.85,71.71,0.0,62
46,2021-12-11,1697533,HR0038AC0788,TMG,100.0,89.72,72.62,0.0,13
26,2021-12-11,1613938,HR38AC9561,WECX01,97.57,81.32,64.07,0.0,61
47,2021-12-11,1697202,HR038AC9561,TMG,83.89,69.51,59.01,2.0,13
19,2021-12-11,1520558,NL01AF0483,WECX01,99.93,92.08,99.93,0.0,90
48,2021-12-11,1697119,NL001AF0483,TMG,99.03,86.11,79.01,0.0,13
11,2021-12-11,19748,NL01AC4193,WETRACK2,99.38,99.38,100.0,0.0,1059
49,2021-12-11,1697468,NL001AC4193,TMG,100.0,92.99,81.8,0.0,13
6,2021-12-11,8859,NL01AC0798,WETRACK2,80.49,71.6,84.81,1.0,1216
50,2021-12-11,1697499,NL001AC0798,TMG,100.0,87.85,71.71,0.0,13
2,2021-12-11,7753,NL01AC0284,WETRACK2,99.24,94.31,58.75,0.0,1232
51,2021-12-11,1697575,NL001AC0284,TMG,99.79,88.12,77.18,0.0,13
18,2021-12-11,1025419,NL01AC2881,WETRACK2,93.19,92.57,90.83,1.0,382
52,2021-12-11,1697622,NL001AC2881,TMG,96.53,88.54,73.72,0.0,13
13,2021-12-11,136609,NL01AD9861,FMB920,100.0,0.0,71.0,0.0,810
53,2021-12-11,1697276,NL001AD9861,TMG,88.47,69.1,78.72,1.0,13
14,2021-12-11,456375,HR55W0408,WETRACK2,99.31,97.71,99.41,0.0,698
54,2021-12-11,1697339,HR055W0408,TMG,89.38,80.0,71.53,1.0,10
