,vehicle_number,2022_2_27,2022_2_28,2022_3_1,2022_3_2,2022_3_3,2022_3_4,2022_3_5,2022_3_6,2022_3_7,2022_3_8,2022_3_9,2022_3_10,2022_3_11,2022_3_12,2022_3_13,2022_3_14,2022_3_15,2022_3_16,2022_3_17,2022_3_18,2022_3_19,2022_3_20,2022_3_21,2022_3_22
0,NL01AC4181,81.11,84.38,92.92,95.97,84.31,82.29,97.22,99.51,80.9,92.57,95.9,85.83,80.0,98.33,99.31,85.62,95.56,92.36,92.78,82.57,97.36,98.96,84.24,85.0
1,NL01AB0371,92.22,97.64,94.03,94.17,42.08,82.78,82.85,98.75,83.4,93.61,94.79,67.57,98.82,98.96,94.51,80.62,75.97,98.4,96.88,84.51,95.83,82.92,94.03,86.25
2,HR55Y1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39,86.88,98.68,97.92,84.31,68.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NL01AC2617,99.58,95.9,99.03,99.58,99.79,99.1,99.86,99.93,96.67,99.03,99.65,99.72,99.79,99.24,99.72,97.71,99.58,98.82,99.1,99.58,98.54,92.36,95.76,99.93
