,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
21,2022-01-05,1608069,HR38AC8427,WECX01,92.85,83.82,41.99,0.0,89
27,2022-01-05,1678279,HR038AC8427,WEYE01,60.35,55.97,48.67,1.0,48
0,2022-01-05,6046,NL01AA4912,WETRACK2,93.96,86.94,79.79,0.0,1288
28,2022-01-05,1678163,NL001AA4912,WEYE01,96.94,83.96,56.33,0.0,48
5,2022-01-05,8764,HR55AD2198,WETRACK2,93.68,93.06,89.73,0.0,1244
29,2022-01-05,1677917,HR055AD2198,WEYE01,100.0,82.43,51.64,0.0,48
3,2022-01-05,8259,NL01AA6688,WETRACK2,97.78,97.78,75.4,0.0,1252
30,2022-01-05,1678413,NL001AA6688,WEYE01,89.93,78.12,74.0,1.0,48
25,2022-01-05,1612282,HR38AC4399,WECX01,94.24,69.31,50.08,1.0,87
31,2022-01-05,1678510,HR038AC4399,WEYE01,99.58,77.85,54.2,0.0,48
22,2022-01-05,1611816,HR38AC7975,WECX01,95.0,72.71,50.09,1.0,87
32,2022-01-05,1682332,HR138AC7975,WEYE01,90.35,74.86,62.38,1.0,46
16,2022-01-05,861716,NL01AB1894,WETRACK2,96.74,92.71,97.3,0.0,517
33,2022-01-05,1682062,NL011AB1894,WEYE01,99.72,91.67,60.14,0.0,46
34,2022-01-05,1681662,HR055X2249,WEYE01,99.38,91.46,66.23,0.0,46
4,2022-01-05,8775,HR55AD5041,WETRACK2,99.44,99.44,99.5,0.0,1244
35,2022-01-05,1682513,HR055AD5041,WEYE01,99.72,91.39,64.59,0.0,46
9,2022-01-05,12826,NL01AC2882,WETRACK2,99.38,99.38,86.34,0.0,1184
36,2022-01-05,1682411,NL001AC2882,WEYE01,92.29,84.65,75.97,1.0,46
20,2022-01-05,1607556,HR38AC5450,WECX01,99.93,89.72,85.2,0.0,89
37,2022-01-05,1682478,HR038AC5450,WEYE01,100.0,89.79,76.78,0.0,46
10,2022-01-05,5738,NL01AA4762,WETRACK2,99.17,99.03,79.48,0.0,1183
38,2022-01-05,1681968,NL011AA4762,WEYE01,100.0,91.46,69.95,0.0,46
23,2022-01-05,1611839,HR38AC9564,WECX01,97.5,87.22,77.47,0.0,87
39,2022-01-05,1682191,HR038AC9564,WEYE01,99.58,89.1,86.13,0.0,46
7,2022-01-05,11774,NL01AB1652,WETRACK2,99.86,99.86,99.86,0.0,1200
40,2022-01-05,1681792,NL001AB1652,WEYE01,76.25,69.24,96.37,2.0,46
8,2022-01-05,12208,NL01AC2624,GT06N,99.79,95.97,92.52,0.0,1193
41,2022-01-05,1696544,NL010AC2624,TMG,96.18,82.36,74.03,0.0,39
1,2022-01-05,7242,HR55Y8651,WETRACK2,96.39,92.57,96.43,0.0,1265
42,2022-01-05,1696606,HR055Y8651,TMG,95.9,90.0,75.29,1.0,39
12,2022-01-05,12844,NL01AC4180,C100,100.0,82.5,44.16,0.0,919
43,2022-01-05,1696506,NL001AC4180,TMG,97.5,81.46,65.13,0.0,39
17,2022-01-05,887012,HR55Y1278,WETRACK2,99.65,97.36,97.52,0.0,500
44,2022-01-05,1696574,HR055Y1278,TMG,100.0,89.51,80.14,0.0,39
15,2022-01-05,794015,HR55X2602,WETRACK2,99.93,99.65,100.0,0.0,559
45,2022-01-05,1696471,HR055X2602,TMG,85.69,76.88,79.36,1.0,39
24,2022-01-05,1611286,HR38AC0788,WECX01,0.0,0.0,0.0,0.0,87
46,2022-01-05,1697533,HR0038AC0788,TMG,100.0,90.97,73.67,0.0,38
19,2022-01-05,1520558,NL01AF0483,WECX01,99.86,89.93,80.75,0.0,115
47,2022-01-05,1697119,NL001AF0483,TMG,100.0,89.24,76.57,0.0,38
26,2022-01-05,1613938,HR38AC9561,WECX01,0.0,0.0,0.0,0.0,86
48,2022-01-05,1697202,HR038AC9561,TMG,94.58,85.76,81.66,0.0,38
18,2022-01-05,1025419,NL01AC2881,WETRACK2,96.32,84.1,92.85,0.0,407
49,2022-01-05,1697622,NL001AC2881,TMG,100.0,83.12,67.57,0.0,38
2,2022-01-05,7753,NL01AC0284,WETRACK2,100.0,99.72,63.56,0.0,1257
50,2022-01-05,1697575,NL001AC0284,TMG,99.17,91.39,78.49,0.0,38
6,2022-01-05,8859,NL01AC0798,WETRACK2,99.65,90.56,86.04,0.0,1241
51,2022-01-05,1697499,NL001AC0798,TMG,99.79,83.4,74.59,0.0,38
11,2022-01-05,19748,NL01AC4193,WETRACK2,99.38,99.38,100.0,0.0,1084
52,2022-01-05,1697468,NL001AC4193,TMG,100.0,92.71,76.5,0.0,38
13,2022-01-05,136609,NL01AD9861,FMB920,84.1,0.0,62.29,1.0,835
53,2022-01-05,1697276,NL001AD9861,TMG,95.28,86.74,81.02,0.0,38
14,2022-01-05,456375,HR55W0408,WETRACK2,99.72,99.72,99.98,0.0,723
54,2022-01-05,1697339,HR055W0408,TMG,89.17,81.11,71.02,1.0,35
