,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
3,2021-12-23,8259,NL01AA6688,WETRACK2,99.65,97.85,89.49,0.0,1239
27,2021-12-23,1678413,NL001AA6688,WEYE01,89.72,79.38,76.37,1.0,35
4,2021-12-23,8764,HR55AD2198,WETRACK2,99.58,96.32,81.14,0.0,1231
28,2021-12-23,1677917,HR055AD2198,WEYE01,100.0,90.56,49.45,0.0,35
22,2021-12-23,1612282,HR38AC4399,WECX01,99.17,87.43,97.71,0.0,74
29,2021-12-23,1678510,HR038AC4399,WEYE01,99.58,87.57,96.74,0.0,35
0,2021-12-23,6046,NL01AA4912,WETRACK2,86.6,77.36,82.79,1.0,1275
30,2021-12-23,1678163,NL001AA4912,WEYE01,99.93,85.49,65.64,0.0,35
20,2021-12-23,1608069,HR38AC8427,WECX01,99.86,87.64,78.62,0.0,76
31,2021-12-23,1678279,HR038AC8427,WEYE01,69.1,61.67,71.22,2.0,35
10,2021-12-23,5738,NL01AA4762,WETRACK2,86.11,85.9,30.06,0.0,1170
32,2021-12-23,1681968,NL011AA4762,WEYE01,99.86,87.43,39.5,0.0,33
9,2021-12-23,12826,NL01AC2882,WETRACK2,98.96,97.36,95.48,0.0,1171
33,2021-12-23,1682411,NL001AC2882,WEYE01,95.62,83.12,74.83,0.0,33
16,2021-12-23,861716,NL01AB1894,WETRACK2,94.72,84.24,95.17,0.0,504
34,2021-12-23,1682062,NL011AB1894,WEYE01,100.0,84.17,60.96,0.0,33
7,2021-12-23,11774,NL01AB1652,WETRACK2,99.03,99.03,99.72,0.0,1187
35,2021-12-23,1681792,NL001AB1652,WEYE01,96.81,88.75,87.16,0.0,33
23,2021-12-23,1611816,HR38AC7975,WECX01,99.38,90.14,75.26,0.0,74
36,2021-12-23,1682332,HR138AC7975,WEYE01,79.24,66.88,84.3,1.0,33
5,2021-12-23,8775,HR55AD5041,WETRACK2,97.08,93.54,96.72,0.0,1231
37,2021-12-23,1682513,HR055AD5041,WEYE01,99.86,89.1,66.44,0.0,33
21,2021-12-23,1607556,HR38AC5450,WECX01,99.93,87.99,84.93,0.0,76
38,2021-12-23,1682478,HR038AC5450,WEYE01,100.0,89.72,79.14,0.0,33
24,2021-12-23,1611839,HR38AC9564,WECX01,98.96,90.56,78.68,0.0,74
39,2021-12-23,1682191,HR038AC9564,WEYE01,99.58,85.76,77.95,0.0,33
40,2021-12-23,1681662,HR055X2249,WEYE01,91.53,77.22,66.7,1.0,33
17,2021-12-23,887012,HR55Y1278,WETRACK2,99.17,97.57,84.54,0.0,487
41,2021-12-23,1696574,HR055Y1278,TMG,100.0,90.69,65.35,0.0,26
15,2021-12-23,794015,HR55X2602,WETRACK2,97.43,96.32,99.62,0.0,546
42,2021-12-23,1696471,HR055X2602,TMG,94.72,81.74,82.55,0.0,26
12,2021-12-23,12844,NL01AC4180,C100,100.0,80.83,48.56,0.0,906
43,2021-12-23,1696506,NL001AC4180,TMG,95.35,86.18,72.98,0.0,26
8,2021-12-23,12208,NL01AC2624,GT06N,100.0,95.14,94.18,0.0,1180
44,2021-12-23,1696544,NL010AC2624,TMG,97.15,82.08,74.37,0.0,26
1,2021-12-23,7242,HR55Y8651,WETRACK2,100.0,99.58,99.15,0.0,1252
45,2021-12-23,1696606,HR055Y8651,TMG,62.99,53.96,80.55,3.0,26
26,2021-12-23,1613938,HR38AC9561,WECX01,96.25,83.33,80.6,0.0,73
46,2021-12-23,1697202,HR038AC9561,TMG,87.15,71.11,72.47,0.0,25
13,2021-12-23,136609,NL01AD9861,FMB920,99.86,0.07,57.69,0.0,822
47,2021-12-23,1697276,NL001AD9861,TMG,87.15,75.28,67.22,1.0,25
6,2021-12-23,8859,NL01AC0798,WETRACK2,88.26,84.24,95.95,0.0,1228
48,2021-12-23,1697499,NL001AC0798,TMG,100.0,84.38,82.23,0.0,25
18,2021-12-23,1025419,NL01AC2881,WETRACK2,97.64,96.53,87.3,0.0,394
49,2021-12-23,1697622,NL001AC2881,TMG,99.86,89.86,73.01,0.0,25
19,2021-12-23,1520558,NL01AF0483,WECX01,96.25,82.08,78.4,0.0,102
50,2021-12-23,1697119,NL001AF0483,TMG,100.0,81.74,71.63,0.0,25
25,2021-12-23,1611286,HR38AC0788,WECX01,95.49,95.49,82.34,0.0,74
51,2021-12-23,1697533,HR0038AC0788,TMG,100.0,90.07,90.2,0.0,25
11,2021-12-23,19748,NL01AC4193,WETRACK2,100.0,100.0,100.0,0.0,1071
52,2021-12-23,1697468,NL001AC4193,TMG,100.0,92.01,84.25,0.0,25
2,2021-12-23,7753,NL01AC0284,WETRACK2,95.62,77.43,80.39,0.0,1244
53,2021-12-23,1697575,NL001AC0284,TMG,99.79,84.44,63.02,0.0,25
14,2021-12-23,456375,HR55W0408,WETRACK2,98.96,92.08,89.2,0.0,710
54,2021-12-23,1697339,HR055W0408,TMG,66.81,50.14,56.65,2.0,22
