,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
25,2022-01-20,1612282,HR38AC4399,WECX01,81.53,0.76,58.8,0.0,102
27,2022-01-20,1678510,HR038AC4399,WEYE01,80.21,0.0,48.22,0.0,63
21,2022-01-20,1608069,HR38AC8427,WECX01,83.82,0.0,86.8,0.0,104
28,2022-01-20,1678279,HR038AC8427,WEYE01,67.78,1.04,65.83,2.0,63
4,2022-01-20,8764,HR55AD2198,WETRACK2,79.24,79.24,99.48,0.0,1259
29,2022-01-20,1677917,HR055AD2198,WEYE01,80.0,0.0,69.4,0.0,63
0,2022-01-20,6046,NL01AA4912,WETRACK2,83.89,78.82,76.71,0.0,1303
30,2022-01-20,1678163,NL001AA4912,WEYE01,81.32,0.83,57.17,0.0,63
3,2022-01-20,8259,NL01AA6688,WETRACK2,83.4,76.39,80.75,0.0,1267
31,2022-01-20,1678413,NL001AA6688,WEYE01,26.11,0.0,72.44,0.0,63
5,2022-01-20,8775,HR55AD5041,WETRACK2,71.53,66.18,80.5,1.0,1259
32,2022-01-20,1682513,HR055AD5041,WEYE01,71.32,0.0,50.15,2.0,61
20,2022-01-20,1607556,HR38AC5450,WECX01,77.15,0.0,91.77,0.0,104
33,2022-01-20,1682478,HR038AC5450,WEYE01,82.43,0.0,80.36,0.0,61
9,2022-01-20,12826,NL01AC2882,WETRACK2,83.82,80.69,84.44,0.0,1199
34,2022-01-20,1682411,NL001AC2882,WEYE01,82.64,4.17,71.63,0.0,61
10,2022-01-20,5738,NL01AA4762,WETRACK2,83.89,83.89,99.49,0.0,1198
35,2022-01-20,1681968,NL011AA4762,WEYE01,83.89,1.6,87.28,0.0,61
24,2022-01-20,1611839,HR38AC9564,WECX01,79.79,0.0,77.03,0.0,102
36,2022-01-20,1682191,HR038AC9564,WEYE01,83.89,0.62,67.8,0.0,61
16,2022-01-20,861716,NL01AB1894,WETRACK2,79.17,73.19,84.05,0.0,532
37,2022-01-20,1682062,NL011AB1894,WEYE01,79.58,2.22,53.29,0.0,61
23,2022-01-20,1611816,HR38AC7975,WECX01,82.36,0.14,99.88,0.0,102
38,2022-01-20,1682332,HR138AC7975,WEYE01,70.76,1.04,88.28,1.0,61
39,2022-01-20,1681662,HR055X2249,WEYE01,69.24,0.0,81.79,1.0,61
7,2022-01-20,11774,NL01AB1652,WETRACK2,83.75,83.61,100.0,0.0,1215
40,2022-01-20,1681792,NL001AB1652,WEYE01,82.36,0.28,74.31,0.0,61
15,2022-01-20,794015,HR55X2602,WETRACK2,0.0,0.0,0.0,0.0,574
41,2022-01-20,1696471,HR055X2602,TMG,0.0,0.0,0.0,0.0,54
8,2022-01-20,12208,NL01AC2624,GT06N,83.82,83.75,100.0,0.0,1208
42,2022-01-20,1696544,NL010AC2624,TMG,82.08,3.33,78.69,0.0,54
12,2022-01-20,12844,NL01AC4180,C100,83.89,6.04,58.39,0.0,934
43,2022-01-20,1696506,NL001AC4180,TMG,77.85,0.0,72.38,1.0,54
1,2022-01-20,7242,HR55Y8651,WETRACK2,83.82,80.0,96.32,0.0,1280
44,2022-01-20,1696606,HR055Y8651,TMG,0.0,0.0,0.0,0.0,54
17,2022-01-20,887012,HR55Y1278,WETRACK2,83.75,83.33,99.45,0.0,515
45,2022-01-20,1696574,HR055Y1278,TMG,83.89,0.42,87.28,0.0,54
18,2022-01-20,1025419,NL01AC2881,WETRACK2,83.4,83.06,90.76,0.0,422
46,2022-01-20,1697622,NL001AC2881,TMG,83.33,0.9,70.78,0.0,53
2,2022-01-20,7753,NL01AC0284,WETRACK2,79.51,70.49,97.78,0.0,1272
47,2022-01-20,1697575,NL001AC0284,TMG,78.82,0.0,74.04,0.0,53
19,2022-01-20,1520558,NL01AF0483,WECX01,79.51,0.07,97.99,0.0,130
48,2022-01-20,1697119,NL001AF0483,TMG,82.15,0.0,81.49,0.0,53
13,2022-01-20,136609,NL01AD9861,FMB920,83.82,0.0,76.56,0.0,850
49,2022-01-20,1697276,NL001AD9861,TMG,54.1,0.0,83.32,1.0,53
26,2022-01-20,1613938,HR38AC9561,WECX01,81.32,0.0,58.63,0.0,101
50,2022-01-20,1697202,HR038AC9561,TMG,38.26,0.0,55.89,2.0,53
11,2022-01-20,19748,NL01AC4193,WETRACK2,83.12,83.12,100.0,0.0,1099
51,2022-01-20,1697468,NL001AC4193,TMG,83.75,2.99,85.0,0.0,53
6,2022-01-20,8859,NL01AC0798,WETRACK2,83.82,76.81,86.01,0.0,1256
52,2022-01-20,1697499,NL001AC0798,TMG,82.57,0.0,77.69,0.0,53
22,2022-01-20,1611286,HR38AC0788,WECX01,83.33,6.46,90.26,0.0,102
53,2022-01-20,1697533,HR0038AC0788,TMG,83.89,2.85,72.13,0.0,53
14,2022-01-20,456375,HR55W0408,WETRACK2,83.89,83.75,99.78,0.0,738
54,2022-01-20,1697339,HR055W0408,TMG,69.93,0.0,70.85,2.0,50
