,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
3,2022-01-18,8259,NL01AA6688,WETRACK2,79.17,71.39,77.58,0.0,1265
27,2022-01-18,1678413,NL001AA6688,WEYE01,11.11,0.0,66.87,1.0,61
0,2022-01-18,6046,NL01AA4912,WETRACK2,80.69,76.88,93.42,0.0,1301
28,2022-01-18,1678163,NL001AA4912,WEYE01,72.78,14.38,68.2,1.0,61
4,2022-01-18,8764,HR55AD2198,WETRACK2,78.89,78.89,96.37,0.0,1257
29,2022-01-18,1677917,HR055AD2198,WEYE01,81.04,11.88,74.42,0.0,61
24,2022-01-18,1612282,HR38AC4399,WECX01,81.04,17.15,93.94,0.0,100
30,2022-01-18,1678510,HR038AC4399,WEYE01,79.58,13.82,84.84,1.0,61
21,2022-01-18,1608069,HR38AC8427,WECX01,80.42,15.0,81.96,0.0,102
31,2022-01-18,1678279,HR038AC8427,WEYE01,75.28,14.1,67.99,1.0,61
23,2022-01-18,1611839,HR38AC9564,WECX01,80.76,12.22,64.78,0.0,100
32,2022-01-18,1682191,HR038AC9564,WEYE01,80.35,15.69,62.31,0.0,59
10,2022-01-18,5738,NL01AA4762,WETRACK2,67.36,67.15,82.64,0.0,1196
33,2022-01-18,1681968,NL011AA4762,WEYE01,81.04,13.68,81.47,0.0,59
16,2022-01-18,861716,NL01AB1894,WETRACK2,80.14,79.24,94.8,0.0,530
34,2022-01-18,1682062,NL011AB1894,WEYE01,80.97,12.85,57.22,0.0,59
5,2022-01-18,8775,HR55AD5041,WETRACK2,80.49,80.49,99.47,0.0,1257
35,2022-01-18,1682513,HR055AD5041,WEYE01,80.9,14.86,65.68,0.0,59
7,2022-01-18,11774,NL01AB1652,WETRACK2,79.72,79.72,99.66,0.0,1213
36,2022-01-18,1681792,NL001AB1652,WEYE01,75.35,13.75,75.68,1.0,59
20,2022-01-18,1607556,HR38AC5450,WECX01,80.97,12.5,82.87,0.0,102
37,2022-01-18,1682478,HR038AC5450,WEYE01,81.11,14.58,75.99,0.0,59
9,2022-01-18,12826,NL01AC2882,WETRACK2,79.03,75.49,96.06,0.0,1197
38,2022-01-18,1682411,NL001AC2882,WEYE01,77.78,12.5,64.06,0.0,59
22,2022-01-18,1611816,HR38AC7975,WECX01,81.04,15.07,99.03,0.0,100
39,2022-01-18,1682332,HR138AC7975,WEYE01,72.01,18.4,71.08,1.0,59
40,2022-01-18,1681662,HR055X2249,WEYE01,78.75,11.46,68.74,0.0,59
12,2022-01-18,12844,NL01AC4180,C100,81.04,15.76,46.86,0.0,932
41,2022-01-18,1696506,NL001AC4180,TMG,80.97,13.47,67.39,0.0,52
15,2022-01-18,794015,HR55X2602,WETRACK2,0.0,0.0,0.0,0.0,572
42,2022-01-18,1696471,HR055X2602,TMG,0.0,0.0,0.0,0.0,52
17,2022-01-18,887012,HR55Y1278,WETRACK2,80.62,76.04,83.35,0.0,513
43,2022-01-18,1696574,HR055Y1278,TMG,81.04,14.1,65.76,0.0,52
8,2022-01-18,12208,NL01AC2624,GT06N,80.97,72.01,94.84,0.0,1206
44,2022-01-18,1696544,NL010AC2624,TMG,65.42,8.19,70.08,2.0,52
1,2022-01-18,7242,HR55Y8651,WETRACK2,80.97,77.36,96.59,0.0,1278
45,2022-01-18,1696606,HR055Y8651,TMG,0.0,0.0,0.0,0.0,52
2,2022-01-18,7753,NL01AC0284,WETRACK2,25.69,18.68,80.93,1.0,1270
46,2022-01-18,1697575,NL001AC0284,TMG,80.07,12.08,77.08,0.0,51
19,2022-01-18,1520558,NL01AF0483,WECX01,80.97,15.97,84.51,0.0,128
47,2022-01-18,1697119,NL001AF0483,TMG,81.04,13.54,72.11,0.0,51
11,2022-01-18,19748,NL01AC4193,WETRACK2,80.69,80.69,100.0,0.0,1097
48,2022-01-18,1697468,NL001AC4193,TMG,81.04,16.46,79.11,0.0,51
18,2022-01-18,1025419,NL01AC2881,WETRACK2,64.1,63.82,97.76,1.0,420
49,2022-01-18,1697622,NL001AC2881,TMG,67.99,1.25,79.51,1.0,51
6,2022-01-18,8859,NL01AC0798,WETRACK2,79.86,71.81,88.46,0.0,1254
50,2022-01-18,1697499,NL001AC0798,TMG,81.04,13.12,71.8,0.0,51
13,2022-01-18,136609,NL01AD9861,FMB920,81.04,0.0,75.3,0.0,848
51,2022-01-18,1697276,NL001AD9861,TMG,74.31,13.75,76.01,1.0,51
25,2022-01-18,1611286,HR38AC0788,WECX01,80.14,21.94,87.8,0.0,100
52,2022-01-18,1697533,HR0038AC0788,TMG,99.24,24.03,81.46,0.0,51
26,2022-01-18,1613938,HR38AC9561,WECX01,81.04,13.06,87.59,0.0,99
53,2022-01-18,1697202,HR038AC9561,TMG,49.86,13.75,78.23,2.0,51
14,2022-01-18,456375,HR55W0408,WETRACK2,80.83,77.71,90.45,0.0,736
54,2022-01-18,1697339,HR055W0408,TMG,24.03,2.29,52.86,2.0,48
