,vehicle_number,2022_2_27,2022_2_28,2022_3_1,2022_3_2,2022_3_3,2022_3_4,2022_3_5,2022_3_6,2022_3_7,2022_3_8,2022_3_9,2022_3_10,2022_3_11,2022_3_12,2022_3_13,2022_3_14,2022_3_15,2022_3_16,2022_3_17,2022_3_18,2022_3_19,2022_3_20,2022_3_21,2022_3_22
0,NL01ABB0371,99.5,99.68,99.7,99.83,99.37,99.94,100.0,97.91,99.95,99.68,97.3,99.53,98.56,99.13,98.79,99.84,99.99,97.24,98.99,97.96,99.01,99.62,97.61,99.92
1,NL01AAC2617,99.28,0.0,81.37,77.35,99.82,86.05,73.42,89.11,98.84,80.69,79.11,97.59,84.76,88.35,89.29,100.0,81.45,77.31,87.28,85.15,94.13,99.57,99.54,99.89
2,HR55AY1278,0.0,99.62,0.0,0.0,97.81,99.32,92.78,98.88,100.0,98.81,98.5,97.45,99.64,71.19,99.94,98.68,98.36,98.83,97.34,97.23,75.15,99.69,99.93,99.49
3,NL01AAC4181,99.86,99.99,91.21,91.12,89.15,99.06,98.48,88.11,99.17,87.39,99.35,97.0,90.76,98.92,99.59,99.44,91.27,90.02,98.36,99.4,99.81,87.12,97.13,93.62
