,vehicle_id,consistency_pct,live_pct,gsm_average,heart_beat,analysis_for_day,vehicle_number,model_name,installation_date
0,6046,94.58,92.43,89.25,Has heartbeat,2022-01-13,NL01AA4912,WETRACK2,2018-06-27
1,7242,100.0,99.79,98.76,Has heartbeat,2022-01-13,HR55Y8651,WETRACK2,2018-07-20
2,7753,99.93,99.38,76.47,Has heartbeat,2022-01-13,NL01AC0284,WETRACK2,2018-07-28
3,8259,95.14,89.51,80.36,Has heartbeat,2022-01-13,NL01AA6688,WETRACK2,2018-08-02
4,8764,79.03,77.08,71.85,Has heartbeat,2022-01-13,HR55AD2198,WETRACK2,2018-08-10
5,8775,95.28,87.64,90.65,Has heartbeat,2022-01-13,HR55AD5041,WETRACK2,2018-08-10
6,8859,79.93,74.31,86.82,Has heartbeat,2022-01-13,NL01AC0798,WETRACK2,2018-08-13
7,11774,98.54,98.54,99.98,Has heartbeat,2022-01-13,NL01AB1652,WETRACK2,2018-09-23
8,12208,98.19,93.06,90.9,Has heartbeat,2022-01-13,NL01AC2624,GT06N,2018-09-30
9,12826,96.6,88.47,85.85,Has heartbeat,2022-01-13,NL01AC2882,WETRACK2,2018-10-09
10,5738,91.11,88.82,73.7,Has heartbeat,2022-01-13,NL01AA4762,WETRACK2,2018-10-10
11,19748,63.68,63.68,100.0,Has heartbeat,2022-01-13,NL01AC4193,WETRACK2,2019-01-17
12,12844,100.0,95.97,53.96,No heartbeat,2022-01-13,NL01AC4180,C100,2019-07-01
13,136609,100.0,0.0,74.5,No heartbeat,2022-01-13,NL01AD9861,FMB920,2019-09-23
14,456375,99.51,99.1,99.38,Has heartbeat,2022-01-13,HR55W0408,WETRACK2,2020-01-13
15,794015,0.0,0.0,0.0,No data,2022-01-13,HR55X2602,WETRACK2,2020-06-25
16,861716,98.75,97.08,96.66,Has heartbeat,2022-01-13,NL01AB1894,WETRACK2,2020-08-06
17,887012,99.79,97.99,88.34,Has heartbeat,2022-01-13,HR55Y1278,WETRACK2,2020-08-23
18,1025419,99.86,96.74,90.4,Has heartbeat,2022-01-13,NL01AC2881,WETRACK2,2020-11-24
19,1520558,99.31,88.26,74.17,No heartbeat,2022-01-13,NL01AF0483,WECX01,2021-09-12
20,1608069,33.19,24.58,94.3,No heartbeat,2022-01-13,HR38AC8427,WECX01,2021-10-08
21,1607556,100.0,96.18,85.24,No heartbeat,2022-01-13,HR38AC5450,WECX01,2021-10-08
22,1612282,98.12,94.17,80.26,No heartbeat,2022-01-13,HR38AC4399,WECX01,2021-10-10
23,1611286,98.89,86.88,71.55,No heartbeat,2022-01-13,HR38AC0788,WECX01,2021-10-10
24,1611816,100.07,96.67,77.85,No heartbeat,2022-01-13,HR38AC7975,WECX01,2021-10-10
25,1611839,96.94,90.42,83.19,No heartbeat,2022-01-13,HR38AC9564,WECX01,2021-10-10
26,1613938,99.93,97.08,87.03,No heartbeat,2022-01-13,HR38AC9561,WECX01,2021-10-11
27,1678510,99.24,90.35,69.83,No heartbeat,2022-01-13,HR038AC4399,WEYE01,2021-11-18
28,1678163,97.22,87.99,56.94,No heartbeat,2022-01-13,NL001AA4912,WEYE01,2021-11-18
29,1678413,92.64,78.06,76.17,No heartbeat,2022-01-13,NL001AA6688,WEYE01,2021-11-18
30,1678279,35.97,18.68,78.19,No heartbeat,2022-01-13,HR038AC8427,WEYE01,2021-11-18
31,1677917,99.38,92.85,54.49,No heartbeat,2022-01-13,HR055AD2198,WEYE01,2021-11-18
32,1681968,100.0,60.9,61.12,No heartbeat,2022-01-13,NL011AA4762,WEYE01,2021-11-20
33,1682062,99.31,94.31,63.89,No heartbeat,2022-01-13,NL011AB1894,WEYE01,2021-11-20
34,1682191,99.93,95.76,72.59,No heartbeat,2022-01-13,HR038AC9564,WEYE01,2021-11-20
35,1681792,95.28,88.68,77.92,No heartbeat,2022-01-13,NL001AB1652,WEYE01,2021-11-20
36,1682478,100.0,96.67,68.75,No heartbeat,2022-01-13,HR038AC5450,WEYE01,2021-11-20
37,1681662,83.26,79.79,62.49,No heartbeat,2022-01-13,HR055X2249,WEYE01,2021-11-20
38,1682411,98.33,84.58,71.4,No heartbeat,2022-01-13,NL001AC2882,WEYE01,2021-11-20
39,1682332,92.08,86.32,82.51,No heartbeat,2022-01-13,HR138AC7975,WEYE01,2021-11-20
40,1682513,99.24,90.83,60.1,No heartbeat,2022-01-13,HR055AD5041,WEYE01,2021-11-20
41,1696506,95.14,92.15,68.84,No heartbeat,2022-01-13,NL001AC4180,TMG,2021-11-27
42,1696574,99.86,95.28,72.01,No heartbeat,2022-01-13,HR055Y1278,TMG,2021-11-27
43,1696544,93.06,83.61,67.48,No heartbeat,2022-01-13,NL010AC2624,TMG,2021-11-27
44,1696606,0.0,0.0,0.0,No data,2022-01-13,HR055Y8651,TMG,2021-11-27
45,1696471,0.0,0.0,0.0,No data,2022-01-13,HR055X2602,TMG,2021-11-27
46,1697276,84.44,79.31,82.6,No heartbeat,2022-01-13,NL001AD9861,TMG,2021-11-28
47,1697533,100.0,90.62,61.74,No heartbeat,2022-01-13,HR0038AC0788,TMG,2021-11-28
48,1697499,100.0,94.17,83.77,No heartbeat,2022-01-13,NL001AC0798,TMG,2021-11-28
49,1697622,100.0,95.42,67.89,No heartbeat,2022-01-13,NL001AC2881,TMG,2021-11-28
50,1697575,100.0,96.11,56.78,No heartbeat,2022-01-13,NL001AC0284,TMG,2021-11-28
51,1697468,69.72,67.92,86.6,No heartbeat,2022-01-13,NL001AC4193,TMG,2021-11-28
52,1697202,65.28,62.29,79.09,No heartbeat,2022-01-13,HR038AC9561,TMG,2021-11-28
