,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
5,2021-12-02,8764,HR55AD2198,WETRACK2,99.86,99.86,95.89,0.0,1210
26,2021-12-02,1677917,HR055AD2198,WEYE01,100.0,92.15,62.11,0.0,14
0,2021-12-02,6046,NL01AA4912,WETRACK2,99.86,99.86,99.6,0.0,1254
27,2021-12-02,1678163,NL001AA4912,WEYE01,99.51,91.46,67.22,0.0,14
20,2021-12-02,1608069,HR38AC8427,WECX01,99.38,92.08,88.53,0.0,55
28,2021-12-02,1678279,HR038AC8427,WEYE01,95.35,87.92,78.08,0.0,14
3,2021-12-02,8259,NL01AA6688,WETRACK2,87.29,67.43,71.71,1.0,1218
29,2021-12-02,1678413,NL001AA6688,WEYE01,90.21,67.36,61.45,2.0,14
24,2021-12-02,1612282,HR38AC4399,WECX01,99.51,79.58,73.52,0.0,53
30,2021-12-02,1678510,HR038AC4399,WEYE01,99.38,82.92,70.22,0.0,14
31,2021-12-02,1681662,HR055X2249,WEYE01,97.08,83.68,58.87,0.0,12
8,2021-12-02,12826,NL01AC2882,WETRACK2,96.81,89.65,81.51,0.0,1150
32,2021-12-02,1682411,NL001AC2882,WEYE01,98.4,82.01,69.6,0.0,12
4,2021-12-02,8775,HR55AD5041,WETRACK2,98.54,98.54,99.79,0.0,1210
33,2021-12-02,1682513,HR055AD5041,WEYE01,100.0,92.64,65.24,0.0,12
21,2021-12-02,1611839,HR38AC9564,WECX01,96.81,81.6,70.12,0.0,53
34,2021-12-02,1682191,HR038AC9564,WEYE01,100.0,88.54,69.63,0.0,12
22,2021-12-02,1611816,HR38AC7975,WECX01,99.03,87.36,97.39,0.0,53
35,2021-12-02,1682332,HR138AC7975,WEYE01,27.29,26.6,89.81,1.0,12
15,2021-12-02,861716,NL01AB1894,WETRACK2,87.85,84.24,94.28,0.0,483
36,2021-12-02,1682062,NL011AB1894,WEYE01,97.57,88.47,66.85,0.0,12
6,2021-12-02,11774,NL01AB1652,WETRACK2,100.0,100.0,100.0,0.0,1166
37,2021-12-02,1681792,NL001AB1652,WEYE01,75.28,68.19,79.49,2.0,12
19,2021-12-02,1607556,HR38AC5450,WECX01,98.89,92.15,77.78,0.0,55
38,2021-12-02,1682478,HR038AC5450,WEYE01,100.0,92.15,65.32,0.0,12
9,2021-12-02,5738,NL01AA4762,WETRACK2,99.72,99.72,95.98,0.0,1149
39,2021-12-02,1681968,NL011AA4762,WEYE01,99.31,92.29,69.91,2.0,12
1,2021-12-02,7242,HR55Y8651,WETRACK2,99.93,97.22,95.07,0.0,1231
40,2021-12-02,1696606,HR055Y8651,TMG,94.65,84.24,70.2,0.0,5
11,2021-12-02,12844,NL01AC4180,C100,99.44,34.31,58.98,0.0,885
41,2021-12-02,1696506,NL001AC4180,TMG,84.17,77.15,73.65,2.0,5
14,2021-12-02,794015,HR55X2602,WETRACK2,98.26,97.22,99.28,0.0,525
42,2021-12-02,1696471,HR055X2602,TMG,98.68,89.44,81.88,0.0,5
16,2021-12-02,887012,HR55Y1278,WETRACK2,98.06,95.69,85.72,0.0,466
43,2021-12-02,1696574,HR055Y1278,TMG,100.0,92.5,64.64,0.0,5
7,2021-12-02,12208,NL01AC2624,GT06N,99.24,92.5,85.7,0.0,1159
44,2021-12-02,1696544,NL010AC2624,TMG,80.21,67.01,62.3,2.0,5
12,2021-12-02,136609,NL01AD9861,FMB920,100.0,0.0,76.92,0.0,801
45,2021-12-02,1697276,NL001AD9861,TMG,77.36,70.0,79.25,1.0,4
46,2021-12-02,1697499,NL001AC0798,TMG,100.0,85.28,70.71,0.0,4
54,2021-12-02,8859,NL01AC0798,WETRACK2,96.46,86.94,91.11,1.0,-90
18,2021-12-02,1520558,NL01AF0483,WECX01,99.65,84.93,77.43,0.0,81
47,2021-12-02,1697119,NL001AF0483,TMG,100.0,84.65,63.45,0.0,4
17,2021-12-02,1025419,NL01AC2881,WETRACK2,98.68,91.88,83.45,0.0,373
48,2021-12-02,1697622,NL001AC2881,TMG,99.79,84.44,56.39,0.0,4
23,2021-12-02,1611286,HR38AC0788,WECX01,90.07,78.68,64.16,1.0,53
49,2021-12-02,1697533,HR0038AC0788,TMG,99.93,80.83,70.41,0.0,4
2,2021-12-02,7753,NL01AC0284,WETRACK2,99.79,99.65,58.49,0.0,1223
50,2021-12-02,1697575,NL001AC0284,TMG,100.0,92.08,82.25,0.0,4
10,2021-12-02,19748,NL01AC4193,WETRACK2,99.24,86.18,92.02,0.0,1050
51,2021-12-02,1697468,NL001AC4193,TMG,100.0,86.6,70.87,0.0,4
25,2021-12-02,1613938,HR38AC9561,WECX01,92.08,69.65,77.98,0.0,52
52,2021-12-02,1697202,HR038AC9561,TMG,62.43,49.24,62.28,3.0,4
13,2021-12-02,456375,HR55W0408,WETRACK2,99.93,99.93,100.0,0.0,689
53,2021-12-02,1697339,HR055W0408,TMG,59.03,51.81,73.11,2.0,1
