,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
5,2022-01-08,8764,HR55AD2198,WETRACK2,92.29,92.08,99.38,0.0,1247
27,2022-01-08,1677917,HR055AD2198,WEYE01,100.0,92.01,51.86,0.0,51
21,2022-01-08,1608069,HR38AC8427,WECX01,100.0,89.38,76.47,0.0,92
28,2022-01-08,1678279,HR038AC8427,WEYE01,98.82,87.71,69.89,0.0,51
25,2022-01-08,1612282,HR38AC4399,WECX01,99.79,91.39,81.53,0.0,90
29,2022-01-08,1678510,HR038AC4399,WEYE01,99.93,91.46,52.34,0.0,51
0,2022-01-08,6046,NL01AA4912,WETRACK2,96.81,84.72,79.44,0.0,1291
30,2022-01-08,1678163,NL001AA4912,WEYE01,97.15,86.39,60.81,0.0,51
3,2022-01-08,8259,NL01AA6688,WETRACK2,94.44,86.18,71.66,1.0,1255
31,2022-01-08,1678413,NL001AA6688,WEYE01,94.51,80.0,69.11,0.0,51
22,2022-01-08,1611816,HR38AC7975,WECX01,96.88,88.47,60.47,0.0,90
32,2022-01-08,1682332,HR138AC7975,WEYE01,61.39,60.07,73.18,1.0,49
33,2022-01-08,1681662,HR055X2249,WEYE01,91.11,82.29,63.16,1.0,49
16,2022-01-08,861716,NL01AB1894,WETRACK2,99.93,97.99,97.67,0.0,520
34,2022-01-08,1682062,NL011AB1894,WEYE01,99.86,89.93,65.49,0.0,49
9,2022-01-08,12826,NL01AC2882,WETRACK2,96.18,89.72,82.35,0.0,1187
35,2022-01-08,1682411,NL001AC2882,WEYE01,98.47,83.4,67.59,0.0,49
20,2022-01-08,1607556,HR38AC5450,WECX01,99.24,81.6,80.55,0.0,92
36,2022-01-08,1682478,HR038AC5450,WEYE01,99.93,87.43,71.77,0.0,49
10,2022-01-08,5738,NL01AA4762,WETRACK2,98.82,88.19,70.94,0.0,1186
37,2022-01-08,1681968,NL011AA4762,WEYE01,100.0,85.21,60.56,0.0,49
4,2022-01-08,8775,HR55AD5041,WETRACK2,100.0,100.0,83.67,0.0,1247
38,2022-01-08,1682513,HR055AD5041,WEYE01,99.93,91.74,54.45,0.0,49
24,2022-01-08,1611839,HR38AC9564,WECX01,99.86,92.15,88.93,0.0,90
39,2022-01-08,1682191,HR038AC9564,WEYE01,99.1,90.97,85.01,0.0,49
7,2022-01-08,11774,NL01AB1652,WETRACK2,96.74,94.44,98.97,0.0,1203
40,2022-01-08,1681792,NL001AB1652,WEYE01,90.62,83.26,84.0,1.0,49
17,2022-01-08,887012,HR55Y1278,WETRACK2,100.0,100.0,100.0,0.0,503
41,2022-01-08,1696574,HR055Y1278,TMG,100.0,91.25,74.69,0.0,42
1,2022-01-08,7242,HR55Y8651,WETRACK2,98.4,94.03,94.6,0.0,1268
42,2022-01-08,1696606,HR055Y8651,TMG,0.0,0.0,0.0,0.0,42
15,2022-01-08,794015,HR55X2602,WETRACK2,0.0,0.0,0.0,0.0,562
43,2022-01-08,1696471,HR055X2602,TMG,0.0,0.0,0.0,0.0,42
12,2022-01-08,12844,NL01AC4180,C100,100.0,76.25,43.29,1.0,922
44,2022-01-08,1696506,NL001AC4180,TMG,90.83,76.94,60.36,1.0,42
8,2022-01-08,12208,NL01AC2624,GT06N,99.86,99.79,100.0,0.0,1196
45,2022-01-08,1696544,NL010AC2624,TMG,95.76,87.57,79.91,0.0,42
6,2022-01-08,8859,NL01AC0798,WETRACK2,99.86,95.76,92.08,0.0,1244
46,2022-01-08,1697499,NL001AC0798,TMG,100.0,87.71,81.45,0.0,41
11,2022-01-08,19748,NL01AC4193,WETRACK2,100.0,100.0,100.0,0.0,1087
47,2022-01-08,1697468,NL001AC4193,TMG,100.0,90.83,74.41,0.0,41
19,2022-01-08,1520558,NL01AF0483,WECX01,99.65,91.53,90.47,0.0,118
48,2022-01-08,1697119,NL001AF0483,TMG,100.0,87.5,86.48,0.0,41
26,2022-01-08,1613938,HR38AC9561,WECX01,96.81,80.28,77.02,0.0,89
49,2022-01-08,1697202,HR038AC9561,TMG,75.21,61.6,70.64,3.0,41
2,2022-01-08,7753,NL01AC0284,WETRACK2,99.72,95.49,76.6,0.0,1260
50,2022-01-08,1697575,NL001AC0284,TMG,99.93,87.92,70.49,0.0,41
18,2022-01-08,1025419,NL01AC2881,WETRACK2,99.58,99.58,100.0,0.0,410
51,2022-01-08,1697622,NL001AC2881,TMG,99.93,91.46,72.42,0.0,41
13,2022-01-08,136609,NL01AD9861,FMB920,99.79,0.0,78.67,0.0,838
52,2022-01-08,1697276,NL001AD9861,TMG,90.0,78.12,83.77,1.0,41
23,2022-01-08,1611286,HR38AC0788,WECX01,0.0,0.0,0.0,0.0,90
53,2022-01-08,1697533,HR0038AC0788,TMG,99.93,78.12,73.56,0.0,41
14,2022-01-08,456375,HR55W0408,WETRACK2,96.74,90.28,87.0,0.0,726
54,2022-01-08,1697339,HR055W0408,TMG,52.15,38.75,53.01,3.0,38
