,vehicle_number,2021_11_29,2021_11_30,2021_12_1,2021_12_2,2021_12_3,2021_12_4,2021_12_5,2021_12_6,2021_12_7,2021_12_8,2021_12_9,2021_12_10,2021_12_11,2021_12_12,2021_12_13,2021_12_14,2021_12_15,2021_12_16,2021_12_17,2021_12_18,2021_12_19,2021_12_20,2021_12_21,2021_12_22,2021_12_23,2021_12_24,2021_12_25,2021_12_26,2021_12_27,2021_12_28,2021_12_29,2021_12_30,2021_12_31,2022_1_1,2022_1_2,2022_1_3,2022_1_4,2022_1_5,2022_1_6,2022_1_7,2022_1_8,2022_1_9,2022_1_10,2022_1_11,2022_1_12,2022_1_13,2022_1_14,2022_1_15,2022_1_16,2022_1_17,2022_1_19,2022_1_20,2022_1_21,2022_1_22,2022_1_23,2022_1_24,2022_1_25,2022_1_26,2022_1_27,2022_1_28,2022_1_29,2022_1_30,2022_1_31,2022_2_1,2022_2_2,2022_2_3,2022_2_4,2022_2_5,2022_2_6,2022_2_7,2022_2_8,2022_2_9,2022_2_10,2022_2_11,2022_2_12,2022_2_13,2022_2_14,2022_2_15,2022_2_16,2022_2_17,2022_2_18,2022_2_19,2022_2_20,2022_2_21,2022_2_22
0,NL01AA4912,91.67,85.97,93.33,99.86,92.99,97.99,98.89,99.44,99.17,99.93,98.06,91.39,95.9,98.68,99.24,98.19,82.5,99.24,98.96,92.29,97.85,97.15,96.6,98.33,86.6,93.68,100.0,87.43,94.38,97.08,97.64,97.01,88.96,94.31,55.14,98.75,97.99,93.96,96.6,86.94,96.81,12.78,0.0,0.0,3.82,94.58,88.75,80.76,95.97,96.32,99.58,83.89,76.04,94.93,67.29,96.39,78.96,0.0,0.0,0.0,43.61,0.76,59.44,1.25,0.0,0.0,0.0,0.0,0.0,0.9,96.74,86.11,95.0,95.97,92.43,94.79,78.96,80.62,81.81,92.22,96.81,80.0,92.08,95.97,94.65
1,HR55Y8651,100.0,99.79,99.86,99.93,99.93,100.0,99.58,99.1,99.86,99.86,100.0,94.93,99.86,99.86,99.93,99.24,87.64,99.58,93.82,100.0,99.86,99.44,97.92,98.47,100.0,99.72,97.5,99.65,98.75,96.94,99.72,98.61,99.79,99.93,99.38,99.93,100.0,96.39,33.89,96.04,98.4,5.28,0.0,0.0,3.75,100.0,100.0,93.33,98.61,99.93,97.99,83.82,55.62,94.1,23.75,83.89,83.61,0.0,0.0,0.0,44.1,15.62,58.89,15.97,0.0,0.0,0.0,0.0,0.0,0.9,91.88,74.1,91.74,98.75,90.21,84.51,92.71,96.04,92.99,83.4,89.79,95.97,91.04,84.17,93.89
2,NL01AC0284,99.93,100.0,100.0,99.79,81.32,0.0,0.0,42.64,98.68,98.89,99.03,100.0,99.24,99.86,99.79,94.86,93.89,98.82,98.75,99.86,98.75,100.0,100.0,99.93,95.62,99.03,99.38,100.0,98.75,98.54,97.92,100.0,98.47,99.51,96.18,98.47,99.38,100.0,99.03,99.79,99.72,14.24,0.0,0.0,3.75,99.93,100.0,99.1,99.51,99.79,57.29,95.62,74.17,69.17,83.61,96.81,83.19,0.0,0.0,0.0,43.61,17.64,58.12,16.11,0.0,0.0,0.0,0.0,0.0,0.9,93.96,98.61,97.99,98.68,99.38,93.33,98.47,94.58,87.57,96.81,98.61,95.42,95.62,98.54,99.93
3,NL01AA6688,100.0,99.72,96.74,87.29,97.99,99.79,99.93,96.46,79.44,95.21,94.93,99.38,99.58,97.01,98.96,97.29,78.82,99.31,97.43,84.24,99.58,98.75,95.42,98.4,99.65,99.86,99.44,99.79,97.85,89.65,95.42,99.58,68.33,99.86,99.51,97.71,96.67,97.78,99.79,92.85,94.44,14.93,0.0,0.0,2.5,95.14,90.9,92.92,96.88,100.0,94.58,97.22,79.51,84.65,57.71,97.36,83.61,0.0,0.0,0.0,41.67,11.46,59.38,12.85,0.0,0.0,0.0,0.0,0.0,0.9,80.49,76.81,86.04,99.93,94.1,96.18,84.1,84.03,82.15,96.32,96.88,82.36,84.93,96.46,98.12
4,HR55AD5041,99.38,98.12,98.47,98.54,91.04,95.97,99.72,97.85,97.92,100.0,100.0,97.36,97.5,97.92,96.11,98.96,84.1,99.72,99.1,99.24,91.6,96.6,93.61,100.0,99.58,99.58,99.38,98.26,99.93,98.68,99.72,99.1,96.32,100.0,97.08,93.33,97.36,93.68,95.97,98.96,100.0,5.35,0.0,0.0,3.75,95.28,98.89,84.1,98.54,88.89,97.78,83.19,50.62,81.46,7.92,86.46,77.15,0.0,0.0,0.0,43.82,15.62,50.62,0.0,0.0,0.0,0.0,0.0,0.0,0.9,93.89,42.64,94.51,98.89,77.57,90.76,96.94,78.4,63.26,94.51,84.51,94.24,93.26,89.44,82.5
5,HR55AD2198,99.86,98.89,98.75,99.86,99.38,97.85,87.15,96.46,100.0,99.58,98.54,97.71,99.51,99.31,100.0,99.93,82.43,99.31,100.0,96.46,98.06,97.99,98.68,98.61,97.08,94.79,99.38,98.12,98.47,99.51,98.82,94.65,94.38,97.78,97.71,94.72,93.33,99.44,95.83,94.31,92.29,0.0,0.0,0.0,2.29,79.03,91.25,83.89,94.65,93.06,97.57,79.24,35.0,72.36,58.33,91.67,82.08,0.0,0.0,0.0,44.1,1.81,59.38,0.0,0.0,0.0,0.0,0.0,0.0,0.9,82.99,84.93,83.12,99.93,79.1,96.67,83.12,85.69,93.54,76.25,84.72,77.85,81.74,84.03,83.33
6,NL01AB1652,100.0,100.0,99.65,100.0,99.03,100.0,98.68,98.61,99.38,100.0,99.24,98.82,99.79,100.0,100.0,100.0,83.68,99.17,99.93,99.51,97.85,99.51,99.93,99.58,99.03,98.75,99.58,96.04,51.46,0.07,0.0,0.0,0.0,39.72,99.79,99.93,99.58,99.86,99.86,99.93,96.74,0.0,0.0,0.0,3.82,98.54,99.79,82.64,98.61,96.18,97.29,83.75,33.61,82.57,28.19,88.19,80.28,0.0,0.0,0.0,44.03,0.0,59.51,0.0,0.0,0.0,0.0,0.0,0.0,0.97,77.29,41.94,85.97,98.89,84.03,84.38,83.47,80.9,83.47,84.03,82.57,80.9,83.75,84.17,84.51
7,NL01AC2624,99.86,100.0,100.0,99.24,99.93,97.08,99.58,100.0,99.79,96.94,98.4,99.93,95.07,99.72,100.0,99.44,96.6,99.44,98.75,91.32,99.58,92.71,98.75,99.72,100.0,99.24,99.31,98.75,100.0,99.93,99.72,98.47,99.51,99.38,99.38,99.79,99.93,99.79,99.65,98.54,99.86,0.0,0.0,0.0,3.61,98.19,99.31,84.93,96.94,99.86,97.64,90.76,39.1,82.57,77.15,93.61,73.47,0.0,0.0,0.0,44.03,6.6,59.51,13.61,0.0,0.0,0.0,0.0,0.0,0.9,98.19,49.72,84.65,100.0,84.1,84.44,82.78,79.31,78.33,83.89,84.44,81.53,84.24,58.82,0.0
8,NL01AC2882,99.1,98.06,97.43,96.81,99.51,99.58,98.61,99.44,99.79,99.72,98.12,97.29,96.94,99.86,96.88,96.39,97.08,97.43,99.72,98.68,100.0,98.68,98.89,98.89,98.96,99.31,99.24,99.1,99.72,100.07,98.19,100.0,100.0,99.86,98.06,99.24,99.86,99.38,99.31,98.54,96.18,4.38,0.0,0.0,3.75,96.6,99.38,81.67,100.0,99.86,97.36,97.57,65.14,91.11,59.31,92.64,81.53,0.0,0.0,0.0,44.03,14.79,59.24,1.25,0.0,0.0,0.0,0.0,0.0,0.9,90.14,44.51,84.44,98.06,95.35,97.29,94.51,93.26,84.51,94.38,93.06,95.28,84.24,83.82,84.44
9,NL01AA4762,100.0,91.67,99.44,99.72,98.96,98.75,97.78,97.01,85.69,83.75,93.54,85.49,94.72,88.19,95.9,95.56,96.6,96.39,91.32,94.86,96.46,87.08,62.08,70.14,86.11,86.18,89.51,96.11,99.24,100.0,98.26,99.93,94.86,92.08,98.19,80.56,98.89,99.17,97.99,94.79,98.82,13.33,0.0,0.0,1.11,91.11,89.03,83.75,97.5,79.93,99.86,83.89,87.15,70.07,9.86,77.85,70.14,0.0,0.0,0.0,43.68,15.62,59.58,12.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NL01AC4193,99.93,98.06,100.0,99.24,100.0,91.18,99.03,100.0,98.4,95.21,100.0,99.93,99.38,99.65,99.58,100.0,82.22,99.79,99.79,99.31,99.31,99.31,99.93,100.0,100.0,99.58,97.78,96.53,98.96,98.96,100.0,99.51,100.0,98.26,100.0,99.51,98.89,99.38,99.86,98.96,100.0,0.0,0.0,0.0,3.68,63.68,0.0,52.43,99.72,99.03,99.65,83.12,34.38,82.57,0.62,85.0,82.78,0.0,0.0,0.0,43.96,0.07,59.44,0.0,0.0,0.0,0.0,0.0,0.0,0.9,83.12,41.25,85.0,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.47,94.51,87.29,83.4
11,NL01AC4180,84.51,95.83,99.1,99.44,95.69,78.26,99.72,99.93,100.0,90.28,88.82,94.65,98.89,92.01,80.56,99.79,98.54,100.07,100.0,100.0,100.0,100.0,100.0,100.0,100.0,86.11,99.93,100.0,100.0,100.0,100.07,100.0,99.79,91.11,99.79,99.86,100.0,100.0,100.0,100.0,100.0,14.38,0.0,0.0,3.68,100.0,100.07,99.79,99.86,99.93,100.0,99.65,99.24,96.25,99.93,70.62,0.0,0.0,0.0,0.0,44.1,18.4,59.51,15.35,0.0,0.0,0.0,0.0,0.0,0.9,97.64,99.24,99.93,100.07,99.72,97.64,98.19,98.26,99.86,100.0,99.79,99.72,62.01,30.97,61.81
12,NL01AD9861,100.0,99.93,100.0,100.0,100.0,99.93,100.0,100.0,99.93,99.86,100.0,99.93,100.0,100.0,100.0,100.0,98.4,100.0,99.93,99.86,99.93,100.0,99.93,99.93,99.86,100.0,100.0,100.0,100.0,100.0,100.0,99.93,99.93,100.0,100.0,99.93,99.93,84.1,99.93,100.0,99.93,14.03,0.0,0.0,2.92,100.0,100.0,96.6,99.93,100.0,100.0,98.96,97.78,86.18,88.89,56.53,0.0,0.0,0.0,0.0,44.24,17.08,59.58,12.99,0.0,0.0,0.0,0.0,0.0,0.97,95.97,94.03,100.0,100.0,96.88,97.08,98.68,99.17,97.22,99.51,99.72,97.71,98.68,99.93,99.17
13,HR55W0408,100.0,98.96,99.44,99.93,99.86,99.72,98.26,100.0,100.0,100.0,99.72,98.4,99.31,99.17,97.15,99.1,83.89,99.44,99.86,94.38,99.31,99.44,98.33,99.72,98.96,98.82,100.0,99.79,98.75,99.72,99.93,99.58,98.26,99.03,99.79,98.68,100.0,99.72,99.03,97.99,96.74,14.1,0.0,0.0,3.75,99.51,99.1,93.47,100.0,99.93,99.17,88.54,65.83,98.47,28.12,85.35,80.07,0.0,0.0,0.0,43.82,17.5,59.51,0.0,0.0,0.0,0.0,0.0,0.0,0.9,83.33,98.54,98.4,98.89,87.85,99.03,94.86,84.65,98.19,90.62,84.44,83.96,96.88,87.64,88.89
