,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
5,2021-12-21,8764,HR55AD2198,WETRACK2,98.68,89.38,82.34,0.0,1229
27,2021-12-21,1677917,HR055AD2198,WEYE01,100.0,84.86,52.79,0.0,33
0,2021-12-21,6046,NL01AA4912,WETRACK2,96.6,88.06,74.69,0.0,1273
28,2021-12-21,1678163,NL001AA4912,WEYE01,97.5,85.14,55.77,0.0,33
22,2021-12-21,1612282,HR38AC4399,WECX01,97.22,72.92,51.92,0.0,72
29,2021-12-21,1678510,HR038AC4399,WEYE01,99.44,81.6,51.51,0.0,33
21,2021-12-21,1608069,HR38AC8427,WECX01,99.38,92.71,93.05,0.0,74
30,2021-12-21,1678279,HR038AC8427,WEYE01,89.17,80.35,76.63,1.0,33
3,2021-12-21,8259,NL01AA6688,WETRACK2,95.42,90.97,90.09,0.0,1237
31,2021-12-21,1678413,NL001AA6688,WEYE01,91.18,80.9,71.99,1.0,33
20,2021-12-21,1607556,HR38AC5450,WECX01,99.58,94.03,91.96,0.0,74
32,2021-12-21,1682478,HR038AC5450,WEYE01,100.0,91.67,81.04,0.0,31
7,2021-12-21,11774,NL01AB1652,WETRACK2,99.93,98.33,95.03,0.0,1185
33,2021-12-21,1681792,NL001AB1652,WEYE01,93.89,82.29,69.53,0.0,31
25,2021-12-21,1611839,HR38AC9564,WECX01,99.24,92.99,84.31,0.0,72
34,2021-12-21,1682191,HR038AC9564,WEYE01,99.65,91.6,60.1,0.0,31
35,2021-12-21,1681662,HR055X2249,WEYE01,85.07,77.85,74.59,1.0,31
23,2021-12-21,1611816,HR38AC7975,WECX01,99.79,91.25,62.22,0.0,72
36,2021-12-21,1682332,HR138AC7975,WEYE01,62.29,59.24,73.87,0.0,31
4,2021-12-21,8775,HR55AD5041,WETRACK2,93.61,93.4,99.7,1.0,1229
37,2021-12-21,1682513,HR055AD5041,WEYE01,99.79,91.18,74.98,0.0,31
10,2021-12-21,5738,NL01AA4762,WETRACK2,62.08,61.11,31.33,1.0,1168
38,2021-12-21,1681968,NL011AA4762,WEYE01,100.0,88.19,37.3,0.0,31
9,2021-12-21,12826,NL01AC2882,WETRACK2,98.89,91.25,81.38,0.0,1169
39,2021-12-21,1682411,NL001AC2882,WEYE01,99.03,84.93,75.73,0.0,31
16,2021-12-21,861716,NL01AB1894,WETRACK2,100.0,100.0,100.0,0.0,502
40,2021-12-21,1682062,NL011AB1894,WEYE01,100.0,92.5,79.11,0.0,31
8,2021-12-21,12208,NL01AC2624,GT06N,98.75,90.21,92.98,0.0,1178
41,2021-12-21,1696544,NL010AC2624,TMG,83.82,66.6,71.48,2.0,24
1,2021-12-21,7242,HR55Y8651,WETRACK2,97.92,97.85,99.09,0.0,1250
42,2021-12-21,1696606,HR055Y8651,TMG,90.49,82.29,79.95,1.0,24
15,2021-12-21,794015,HR55X2602,WETRACK2,99.31,99.1,99.98,0.0,544
43,2021-12-21,1696471,HR055X2602,TMG,84.93,76.32,83.48,1.0,24
12,2021-12-21,12844,NL01AC4180,C100,100.0,87.15,47.13,0.0,904
44,2021-12-21,1696506,NL001AC4180,TMG,96.94,86.6,66.97,0.0,24
17,2021-12-21,887012,HR55Y1278,WETRACK2,99.58,96.25,95.34,0.0,485
45,2021-12-21,1696574,HR055Y1278,TMG,100.0,90.56,69.73,0.0,24
19,2021-12-21,1520558,NL01AF0483,WECX01,98.4,85.76,79.66,0.0,100
46,2021-12-21,1697119,NL001AF0483,TMG,100.0,84.93,72.34,0.0,23
24,2021-12-21,1611286,HR38AC0788,WECX01,99.51,93.12,51.64,0.0,72
47,2021-12-21,1697533,HR0038AC0788,TMG,99.93,88.06,67.57,0.0,23
13,2021-12-21,136609,NL01AD9861,FMB920,99.93,0.14,81.08,0.0,820
48,2021-12-21,1697276,NL001AD9861,TMG,96.74,89.44,78.66,0.0,23
26,2021-12-21,1613938,HR38AC9561,WECX01,100.0,93.4,85.17,0.0,71
49,2021-12-21,1697202,HR038AC9561,TMG,88.19,80.83,73.54,1.0,23
11,2021-12-21,19748,NL01AC4193,WETRACK2,99.93,99.93,100.0,0.0,1069
50,2021-12-21,1697468,NL001AC4193,TMG,100.0,91.88,81.88,0.0,23
18,2021-12-21,1025419,NL01AC2881,WETRACK2,98.96,95.0,94.68,0.0,392
51,2021-12-21,1697622,NL001AC2881,TMG,100.0,88.26,79.93,0.0,23
2,2021-12-21,7753,NL01AC0284,WETRACK2,100.0,99.93,97.74,0.0,1242
52,2021-12-21,1697575,NL001AC0284,TMG,100.0,92.15,68.77,0.0,23
6,2021-12-21,8859,NL01AC0798,WETRACK2,99.24,93.19,90.93,0.0,1226
53,2021-12-21,1697499,NL001AC0798,TMG,100.0,87.01,73.28,0.0,23
14,2021-12-21,456375,HR55W0408,WETRACK2,98.33,98.26,99.93,0.0,708
54,2021-12-21,1697339,HR055W0408,TMG,80.07,77.99,72.31,1.0,20
