,vehicle_id,consistency_pct,live_pct,gsm_average,heart_beat,analysis_for_day,vehicle_number,model_name,installation_date
0,6046,96.81,84.72,79.44,Has heartbeat,2022-01-08,NL01AA4912,WETRACK2,2018-06-27
1,7242,98.4,94.03,94.6,Has heartbeat,2022-01-08,HR55Y8651,WETRACK2,2018-07-20
2,7753,99.72,95.49,76.6,Has heartbeat,2022-01-08,NL01AC0284,WETRACK2,2018-07-28
3,8259,94.44,86.18,71.66,Has heartbeat,2022-01-08,NL01AA6688,WETRACK2,2018-08-02
4,8775,100.0,100.0,83.67,Has heartbeat,2022-01-08,HR55AD5041,WETRACK2,2018-08-10
5,8764,92.29,92.08,99.38,Has heartbeat,2022-01-08,HR55AD2198,WETRACK2,2018-08-10
6,8859,99.86,95.76,92.08,Has heartbeat,2022-01-08,NL01AC0798,WETRACK2,2018-08-13
7,11774,96.74,94.44,98.97,Has heartbeat,2022-01-08,NL01AB1652,WETRACK2,2018-09-23
8,12208,99.86,99.79,100.0,Has heartbeat,2022-01-08,NL01AC2624,GT06N,2018-09-30
9,12826,96.18,89.72,82.35,Has heartbeat,2022-01-08,NL01AC2882,WETRACK2,2018-10-09
10,5738,98.82,88.19,70.94,Has heartbeat,2022-01-08,NL01AA4762,WETRACK2,2018-10-10
11,19748,100.0,100.0,100.0,Has heartbeat,2022-01-08,NL01AC4193,WETRACK2,2019-01-17
12,12844,100.0,76.25,43.29,No heartbeat,2022-01-08,NL01AC4180,C100,2019-07-01
13,136609,99.79,0.0,78.67,No heartbeat,2022-01-08,NL01AD9861,FMB920,2019-09-23
14,456375,96.74,90.28,87.0,Has heartbeat,2022-01-08,HR55W0408,WETRACK2,2020-01-13
15,794015,0.0,0.0,0.0,No data,2022-01-08,HR55X2602,WETRACK2,2020-06-25
16,861716,99.93,97.99,97.67,Has heartbeat,2022-01-08,NL01AB1894,WETRACK2,2020-08-06
17,887012,100.0,100.0,100.0,Has heartbeat,2022-01-08,HR55Y1278,WETRACK2,2020-08-23
18,1025419,99.58,99.58,100.0,Has heartbeat,2022-01-08,NL01AC2881,WETRACK2,2020-11-24
19,1520558,99.65,91.53,90.47,No heartbeat,2022-01-08,NL01AF0483,WECX01,2021-09-12
20,1607556,99.24,81.6,80.55,No heartbeat,2022-01-08,HR38AC5450,WECX01,2021-10-08
21,1608069,100.0,89.38,76.47,No heartbeat,2022-01-08,HR38AC8427,WECX01,2021-10-08
22,1611839,99.86,92.15,88.93,No heartbeat,2022-01-08,HR38AC9564,WECX01,2021-10-10
23,1611816,96.88,88.47,60.47,No heartbeat,2022-01-08,HR38AC7975,WECX01,2021-10-10
24,1612282,99.79,91.39,81.53,No heartbeat,2022-01-08,HR38AC4399,WECX01,2021-10-10
25,1611286,0.0,0.0,0.0,No data,2022-01-08,HR38AC0788,WECX01,2021-10-10
26,1613938,96.81,80.28,77.02,No heartbeat,2022-01-08,HR38AC9561,WECX01,2021-10-11
27,1678163,97.15,86.39,60.81,No heartbeat,2022-01-08,NL001AA4912,WEYE01,2021-11-18
28,1678413,94.51,80.0,69.11,No heartbeat,2022-01-08,NL001AA6688,WEYE01,2021-11-18
29,1678279,98.82,87.71,69.89,No heartbeat,2022-01-08,HR038AC8427,WEYE01,2021-11-18
30,1678510,99.93,91.46,52.34,No heartbeat,2022-01-08,HR038AC4399,WEYE01,2021-11-18
31,1677917,100.0,92.01,51.86,No heartbeat,2022-01-08,HR055AD2198,WEYE01,2021-11-18
32,1682411,98.47,83.4,67.59,No heartbeat,2022-01-08,NL001AC2882,WEYE01,2021-11-20
33,1682513,99.93,91.74,54.45,No heartbeat,2022-01-08,HR055AD5041,WEYE01,2021-11-20
