,vehicle_number,2022_2_27,2022_2_28,2022_3_1,2022_3_2,2022_3_3,2022_3_4,2022_3_5,2022_3_6,2022_3_7,2022_3_8,2022_3_9,2022_3_10,2022_3_11,2022_3_12,2022_3_13,2022_3_14,2022_3_15,2022_3_16,2022_3_17,2022_3_18,2022_3_19,2022_3_20,2022_3_21,2022_3_22
0,NL01ABB0371,99.72,99.72,98.06,99.24,99.38,95.56,96.25,99.72,99.51,99.58,98.61,96.39,99.65,99.86,99.31,97.5,98.68,99.72,99.03,96.67,99.44,96.32,98.33,95.0
1,NL01AAC2617,98.96,0.0,100.0,98.47,38.12,98.82,97.99,99.79,99.86,99.86,98.06,99.79,98.54,99.24,99.38,97.85,99.79,98.89,99.72,98.47,98.12,99.24,93.75,97.71
2,HR55AY1278,0.0,96.67,0.0,0.0,96.04,91.81,99.24,99.72,97.64,96.88,96.39,96.88,99.79,97.29,96.88,94.86,95.9,99.65,96.11,93.96,98.12,89.93,96.67,96.67
3,NL01AAC4181,97.5,96.46,97.99,98.54,99.44,99.58,95.62,99.93,95.62,98.61,99.24,99.1,95.49,93.4,99.65,97.43,99.86,99.44,97.5,99.65,97.08,99.58,99.31,99.72
