,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
0,2021-12-25,6046,NL01AA4912,WETRACK2,100.0,99.72,67.54,0.0,1277
27,2021-12-25,1678163,NL001AA4912,WEYE01,90.42,82.85,52.73,0.0,37
3,2021-12-25,8259,NL01AA6688,WETRACK2,99.44,99.24,94.28,0.0,1241
28,2021-12-25,1678413,NL001AA6688,WEYE01,57.85,50.0,94.0,0.0,37
5,2021-12-25,8764,HR55AD2198,WETRACK2,99.38,96.18,91.44,0.0,1233
29,2021-12-25,1677917,HR055AD2198,WEYE01,99.79,87.85,60.89,0.0,37
23,2021-12-25,1612282,HR38AC4399,WECX01,91.74,80.42,60.45,0.0,76
30,2021-12-25,1678510,HR038AC4399,WEYE01,99.24,85.62,62.78,0.0,37
21,2021-12-25,1608069,HR38AC8427,WECX01,99.44,83.47,79.64,0.0,78
31,2021-12-25,1678279,HR038AC8427,WEYE01,77.64,65.49,60.35,1.0,37
9,2021-12-25,12826,NL01AC2882,WETRACK2,99.24,97.15,96.91,0.0,1173
32,2021-12-25,1682411,NL001AC2882,WEYE01,98.19,85.49,68.07,0.0,35
20,2021-12-25,1607556,HR38AC5450,WECX01,98.61,91.18,74.98,0.0,78
33,2021-12-25,1682478,HR038AC5450,WEYE01,100.0,90.14,60.25,0.0,35
7,2021-12-25,11774,NL01AB1652,WETRACK2,99.58,95.97,86.77,0.0,1189
34,2021-12-25,1681792,NL001AB1652,WEYE01,86.94,74.03,61.16,0.0,35
10,2021-12-25,5738,NL01AA4762,WETRACK2,89.51,88.82,54.14,0.0,1172
35,2021-12-25,1681968,NL011AA4762,WEYE01,99.79,84.58,51.99,0.0,35
24,2021-12-25,1611816,HR38AC7975,WECX01,99.72,90.35,87.79,0.0,76
36,2021-12-25,1682332,HR138AC7975,WEYE01,66.81,62.01,77.47,1.0,35
4,2021-12-25,8775,HR55AD5041,WETRACK2,99.38,92.36,94.12,0.0,1233
37,2021-12-25,1682513,HR055AD5041,WEYE01,99.93,85.35,61.04,0.0,35
38,2021-12-25,1681662,HR055X2249,WEYE01,84.24,76.74,66.76,1.0,35
22,2021-12-25,1611839,HR38AC9564,WECX01,99.38,92.29,87.32,0.0,76
39,2021-12-25,1682191,HR038AC9564,WEYE01,99.93,91.32,81.97,0.0,35
16,2021-12-25,861716,NL01AB1894,WETRACK2,97.5,89.65,93.06,0.0,506
40,2021-12-25,1682062,NL011AB1894,WEYE01,98.89,85.62,61.61,0.0,35
1,2021-12-25,7242,HR55Y8651,WETRACK2,97.5,96.81,99.01,0.0,1254
41,2021-12-25,1696606,HR055Y8651,TMG,93.26,88.89,76.07,1.0,28
12,2021-12-25,12844,NL01AC4180,C100,99.93,82.71,46.96,0.0,908
42,2021-12-25,1696506,NL001AC4180,TMG,98.96,88.96,67.53,0.0,28
8,2021-12-25,12208,NL01AC2624,GT06N,99.31,98.89,99.97,0.0,1182
43,2021-12-25,1696544,NL010AC2624,TMG,90.07,81.88,80.24,1.0,28
17,2021-12-25,887012,HR55Y1278,WETRACK2,98.75,95.28,83.27,0.0,489
44,2021-12-25,1696574,HR055Y1278,TMG,100.0,89.17,65.51,0.0,28
15,2021-12-25,794015,HR55X2602,WETRACK2,90.83,89.72,99.7,0.0,548
45,2021-12-25,1696471,HR055X2602,TMG,78.19,68.26,77.73,1.0,28
25,2021-12-25,1611286,HR38AC0788,WECX01,97.36,91.46,47.8,0.0,76
46,2021-12-25,1697533,HR0038AC0788,TMG,100.0,87.43,69.58,0.0,27
19,2021-12-25,1520558,NL01AF0483,WECX01,98.47,86.94,90.49,0.0,104
47,2021-12-25,1697119,NL001AF0483,TMG,100.0,91.25,74.21,0.0,27
26,2021-12-25,1613938,HR38AC9561,WECX01,97.29,86.94,90.22,0.0,75
48,2021-12-25,1697202,HR038AC9561,TMG,86.6,78.33,78.02,1.0,27
11,2021-12-25,19748,NL01AC4193,WETRACK2,97.78,97.78,100.0,0.0,1073
49,2021-12-25,1697468,NL001AC4193,TMG,100.0,91.81,86.15,0.0,27
13,2021-12-25,136609,NL01AD9861,FMB920,100.0,0.0,87.45,0.0,824
50,2021-12-25,1697276,NL001AD9861,TMG,82.29,75.07,83.58,1.0,27
2,2021-12-25,7753,NL01AC0284,WETRACK2,99.38,97.71,76.26,0.0,1246
51,2021-12-25,1697575,NL001AC0284,TMG,100.0,88.47,80.14,0.0,27
6,2021-12-25,8859,NL01AC0798,WETRACK2,99.79,96.81,93.69,1.0,1230
52,2021-12-25,1697499,NL001AC0798,TMG,99.86,86.94,81.22,0.0,27
18,2021-12-25,1025419,NL01AC2881,WETRACK2,98.06,90.14,94.1,0.0,396
53,2021-12-25,1697622,NL001AC2881,TMG,99.79,83.82,77.44,0.0,27
14,2021-12-25,456375,HR55W0408,WETRACK2,100.0,100.0,100.0,1.0,712
54,2021-12-25,1697339,HR055W0408,TMG,80.0,76.32,70.09,1.0,24
