,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
0,2022-03-06,13445,NL01AC4181,WETRACK2,99.51,88.61,99.39,0,1237
1,2022-03-06,17335,NL01AB0371,WETRACK2,98.75,86.39,97.5,0,1165
2,2022-03-06,887012,HR55Y1278,WETRACK2,0.0,0.0,0.0,0,560
3,2022-03-06,12051,NL01AC2617,WECX01,99.93,82.15,83.3,0,138
