,vehicle_number,2021_11_29,2021_11_30,2021_12_1,2021_12_2,2021_12_3,2021_12_4,2021_12_5,2021_12_6,2021_12_7,2021_12_8,2021_12_9,2021_12_10,2021_12_11,2021_12_12,2021_12_13,2021_12_14,2021_12_15,2021_12_16,2021_12_17,2021_12_18,2021_12_19,2021_12_20,2021_12_21,2021_12_22,2021_12_23,2021_12_24,2021_12_25,2021_12_26,2021_12_27,2021_12_28,2021_12_29,2021_12_30,2021_12_31,2022_1_1,2022_1_2,2022_1_3,2022_1_4,2022_1_5,2022_1_6,2022_1_7,2022_1_8,2022_1_9,2022_1_10,2022_1_11,2022_1_12,2022_1_13,2022_1_14,2022_1_15,2022_1_16,2022_1_17,2022_1_19,2022_1_20,2022_1_21,2022_1_22,2022_1_23,2022_1_24,2022_1_25,2022_1_26,2022_1_27,2022_1_28,2022_1_29,2022_1_30,2022_1_31,2022_2_1,2022_2_2,2022_2_3,2022_2_4,2022_2_5,2022_2_6,2022_2_7,2022_2_8,2022_2_9,2022_2_10,2022_2_11,2022_2_12,2022_2_13,2022_2_14,2022_2_15,2022_2_16
15,NL01AB1894,95.35,94.65,99.31,84.24,85.28,94.24,78.12,95.28,95.62,79.38,97.71,75.07,90.28,98.68,79.44,90.9,61.88,89.44,98.89,90.28,98.33,100.0,100.0,98.61,84.24,98.4,89.65,92.78,99.65,86.39,87.43,98.75,79.1,93.89,99.79,100.0,91.67,92.71,97.57,85.0,97.99,0.0,0.0,0.0,2.85,97.08,98.26,83.82,98.12,99.86,96.6,78.12,36.18,41.32,0.0,6.53,12.99,0.0,0.0,0.0,40.83,6.39,58.4,1.53,0.0,0.0,0.0,0.0,0.0,0.83,79.86,35.76,81.88,98.19,72.71,87.71,82.71,79.17,80.07
16,HR55Y1278,95.56,95.21,86.53,95.69,97.64,92.57,92.78,99.24,96.46,97.99,96.53,95.97,96.25,96.88,96.67,96.88,88.33,96.88,97.08,97.71,96.11,98.12,96.25,98.4,97.57,96.74,95.28,94.79,99.44,94.24,95.42,97.99,96.39,96.32,97.43,97.36,98.12,97.36,96.39,99.72,100.0,0.0,0.0,0.0,3.75,97.99,98.12,77.92,98.19,96.39,96.74,89.72,32.22,78.75,0.0,78.82,79.86,0.0,0.0,0.0,44.03,0.0,58.19,14.51,0.0,0.0,0.0,0.0,0.0,0.83,79.72,43.4,84.86,92.71,82.15,89.44,82.36,81.39,88.68
17,NL01AC2881,99.72,99.65,98.54,91.88,88.54,92.29,93.12,99.38,95.42,66.39,94.31,88.75,92.57,96.94,99.72,97.71,76.04,91.67,92.43,91.32,99.44,96.88,95.0,97.15,96.53,92.71,90.14,98.4,93.96,93.68,100.0,99.72,99.86,97.08,95.35,98.75,97.5,84.1,95.83,99.79,99.58,0.0,0.0,0.0,3.75,96.74,93.54,82.15,93.89,92.71,48.96,83.06,28.12,73.54,0.0,73.82,79.44,0.0,0.0,0.0,43.61,0.0,55.9,10.07,0.0,0.0,0.0,0.0,0.0,0.49,73.4,46.18,84.58,97.92,82.08,88.12,81.53,77.64,86.25
18,NL01AF0483,83.33,86.74,92.22,84.93,82.71,92.36,82.85,84.72,93.54,84.03,78.4,93.19,92.08,94.1,94.58,93.96,6.39,72.29,80.76,83.47,87.99,87.01,85.76,92.43,82.08,83.96,86.94,87.15,81.88,91.81,83.19,85.28,93.06,87.36,79.24,94.31,89.31,89.93,91.53,91.46,91.53,6.39,0.0,0.0,2.43,88.26,87.71,14.51,90.49,90.83,91.94,9.58,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19,15.07,57.36,8.68,0.0,0.0,0.0,0.0,0.0,0.76,26.81,5.21,43.12,85.07,85.9,85.14,89.44,87.57,87.01
19,HR38AC8427,86.94,72.08,74.38,92.08,85.14,87.5,89.24,94.51,92.57,86.39,91.81,87.29,77.5,93.68,89.79,81.11,9.72,73.75,84.86,88.26,84.65,93.19,94.03,92.08,87.64,65.28,91.18,86.74,92.57,90.07,92.08,80.9,87.78,87.22,90.21,86.6,85.21,89.72,82.99,81.04,81.6,9.03,0.0,0.0,2.15,24.58,61.32,11.94,96.32,87.36,89.51,7.57,5.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62,4.44,59.38,10.56,0.0,0.0,0.0,0.0,0.0,0.9,21.74,6.53,38.54,84.44,80.21,88.26,86.67,77.22,86.74
20,HR38AC5450,94.17,91.94,84.93,92.15,90.42,90.69,87.22,85.0,85.9,88.06,54.38,84.65,90.0,91.04,92.5,94.31,9.31,68.33,87.5,85.97,92.43,88.75,92.71,93.26,87.99,82.08,83.47,82.29,90.9,78.61,78.82,84.03,90.0,78.82,91.74,94.51,78.47,83.82,81.94,80.21,89.38,7.71,0.0,0.0,2.85,96.18,86.18,21.25,85.83,95.0,82.43,7.01,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04,15.69,44.65,12.01,0.0,0.0,0.0,0.0,0.0,0.9,22.08,6.46,41.74,76.11,86.53,75.76,83.06,81.46,79.38
21,HR38AC9564,74.86,99.93,85.07,78.68,83.89,82.01,94.24,91.46,100.0,79.72,92.92,87.64,86.32,81.53,94.44,72.99,8.19,93.12,88.12,84.24,91.6,97.71,91.25,79.51,87.43,98.06,80.42,72.99,79.51,74.17,70.69,20.76,82.22,91.88,94.38,91.25,77.43,0.0,14.79,92.57,88.47,6.11,0.0,0.0,0.0,94.17,73.4,16.46,96.81,91.25,90.35,8.47,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,15.0,53.47,11.53,0.0,0.0,0.0,0.0,0.0,0.9,23.19,7.57,58.12,87.78,77.57,79.38,86.46,77.43,84.44
22,HR38AC0788,99.93,94.58,89.93,81.6,93.75,85.49,72.29,100.0,93.68,94.17,92.22,79.72,82.85,89.93,96.18,94.03,6.32,71.6,89.65,97.01,80.56,79.31,72.92,78.68,95.49,92.5,92.29,83.19,90.0,95.49,91.04,82.92,93.54,90.21,91.94,0.0,61.67,69.31,88.26,92.99,92.15,0.0,0.0,0.0,2.71,86.88,93.26,15.97,76.46,93.47,91.18,12.78,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.14,16.18,58.47,8.96,0.0,0.0,0.0,0.0,0.0,0.83,25.14,7.01,40.69,50.62,80.42,86.94,90.35,89.79,49.58
23,HR38AC7975,88.33,84.72,98.12,87.36,79.65,84.24,87.99,92.92,86.25,88.96,87.22,95.9,79.93,77.22,80.28,86.74,78.61,71.25,91.6,79.93,80.0,90.49,92.99,83.19,90.14,89.17,90.35,91.6,88.82,83.54,84.03,80.28,78.82,0.0,0.0,81.46,0.0,72.71,86.25,79.03,0.0,6.04,0.0,0.0,0.07,96.67,93.61,16.25,80.97,78.75,86.18,8.12,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.53,14.17,58.06,7.43,0.0,0.0,0.0,0.0,0.0,0.9,22.15,5.42,43.54,78.75,80.42,90.76,89.17,83.47,84.65
24,HR38AC4399,89.79,85.21,68.89,79.58,84.38,94.72,99.79,92.57,80.42,97.15,79.44,83.19,90.49,88.19,92.57,89.24,7.78,74.72,90.76,77.22,99.24,90.56,93.12,97.01,90.56,77.78,91.46,79.72,78.4,89.24,87.71,77.08,0.0,72.15,93.33,70.83,82.85,87.22,91.67,11.32,91.39,8.4,0.0,0.0,0.0,90.42,89.31,22.92,95.62,85.35,95.76,8.47,7.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.08,11.32,58.19,8.26,0.0,0.0,0.0,0.0,0.0,0.9,28.54,9.24,46.6,73.82,85.9,90.42,72.29,55.42,79.93
25,HR38AC9561,95.14,89.79,79.51,69.65,94.31,94.72,68.26,89.03,89.86,88.82,91.74,87.29,81.32,91.81,94.03,91.46,8.54,68.06,85.42,89.86,86.04,74.03,93.4,89.24,83.33,81.46,86.94,90.14,84.03,77.5,89.58,93.26,89.93,93.33,87.64,38.06,0.0,0.0,89.17,89.93,80.21,7.15,0.0,0.0,0.0,97.08,86.81,15.56,89.1,92.99,83.12,5.14,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.92,13.19,53.61,11.74,0.0,0.0,0.0,0.0,0.0,0.35,22.01,4.79,37.29,81.94,77.78,71.74,76.53,85.21,83.89
26,NL01AC0798,99.38,98.96,95.0,86.94,94.03,99.58,98.06,95.83,87.08,88.75,92.64,91.32,71.6,89.44,95.62,78.75,79.1,88.54,95.83,90.49,63.33,84.31,93.19,75.35,84.24,93.19,96.81,83.89,75.76,89.51,96.32,76.39,94.1,93.26,96.74,96.18,96.11,90.56,98.26,100.0,95.76,5.49,0.0,0.0,2.08,74.31,93.06,93.33,99.24,83.06,97.71,82.29,27.57,82.29,0.0,79.93,77.08,15.9,0.0,0.0,42.99,13.96,48.47,11.81,0.0,0.0,0.0,0.0,0.0,0.9,67.92,46.32,84.65,95.14,80.83,87.22,83.75,85.69,82.71
