,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
21,2021-12-28,1608069,HR38AC8427,WECX01,97.01,78.61,78.21,0.0,81
27,2021-12-28,1678279,HR038AC8427,WEYE01,84.72,76.25,87.56,1.0,40
0,2021-12-28,6046,NL01AA4912,WETRACK2,97.08,89.79,82.85,0.0,1280
28,2021-12-28,1678163,NL001AA4912,WEYE01,92.15,79.31,63.49,0.0,40
3,2021-12-28,8259,NL01AA6688,WETRACK2,89.65,86.74,64.9,1.0,1244
29,2021-12-28,1678413,NL001AA6688,WEYE01,83.19,72.85,62.07,2.0,40
4,2021-12-28,8764,HR55AD2198,WETRACK2,98.68,95.07,92.92,0.0,1236
30,2021-12-28,1677917,HR055AD2198,WEYE01,100.0,89.44,65.35,0.0,40
24,2021-12-28,1612282,HR38AC4399,WECX01,99.38,89.24,65.2,0.0,79
31,2021-12-28,1678510,HR038AC4399,WEYE01,99.51,90.21,58.83,0.0,40
9,2021-12-28,12826,NL01AC2882,WETRACK2,100.07,99.51,66.88,0.0,1176
32,2021-12-28,1682411,NL001AC2882,WEYE01,97.5,88.68,69.48,0.0,38
7,2021-12-28,11774,NL01AB1652,WETRACK2,0.07,0.07,75.0,1.0,1192
33,2021-12-28,1681792,NL001AB1652,WEYE01,100.0,92.08,77.65,0.0,38
25,2021-12-28,1611839,HR38AC9564,WECX01,94.58,74.17,73.57,0.0,79
34,2021-12-28,1682191,HR038AC9564,WEYE01,99.86,82.43,74.18,0.0,38
16,2021-12-28,861716,NL01AB1894,WETRACK2,93.06,86.39,94.52,0.0,509
35,2021-12-28,1682062,NL011AB1894,WEYE01,99.93,91.53,64.84,0.0,38
22,2021-12-28,1611816,HR38AC7975,WECX01,99.51,83.54,58.99,0.0,79
36,2021-12-28,1682332,HR138AC7975,WEYE01,99.93,90.14,66.99,0.0,38
37,2021-12-28,1681662,HR055X2249,WEYE01,99.58,92.29,67.48,0.0,38
5,2021-12-28,8775,HR55AD5041,WETRACK2,99.51,99.51,99.93,0.0,1236
38,2021-12-28,1682513,HR055AD5041,WEYE01,100.0,91.53,68.52,0.0,38
10,2021-12-28,5738,NL01AA4762,WETRACK2,100.0,100.0,99.12,0.0,1175
39,2021-12-28,1681968,NL011AA4762,WEYE01,100.0,92.71,79.87,0.0,38
20,2021-12-28,1607556,HR38AC5450,WECX01,98.82,90.07,88.51,0.0,81
40,2021-12-28,1682478,HR038AC5450,WEYE01,100.0,91.46,80.01,0.0,38
15,2021-12-28,794015,HR55X2602,WETRACK2,97.85,97.64,99.97,0.0,551
41,2021-12-28,1696471,HR055X2602,TMG,92.36,85.07,85.06,1.0,31
8,2021-12-28,12208,NL01AC2624,GT06N,99.93,99.58,99.69,0.0,1185
42,2021-12-28,1696544,NL010AC2624,TMG,97.15,90.07,87.09,0.0,31
12,2021-12-28,12844,NL01AC4180,C100,100.0,92.43,61.99,0.0,911
43,2021-12-28,1696506,NL001AC4180,TMG,93.75,85.42,73.46,1.0,31
17,2021-12-28,887012,HR55Y1278,WETRACK2,98.19,94.24,82.83,0.0,492
44,2021-12-28,1696574,HR055Y1278,TMG,100.0,90.14,64.24,0.0,31
1,2021-12-28,7242,HR55Y8651,WETRACK2,96.94,86.39,90.63,0.0,1257
45,2021-12-28,1696606,HR055Y8651,TMG,85.62,71.94,65.24,2.0,31
19,2021-12-28,1520558,NL01AF0483,WECX01,98.54,91.81,96.74,0.0,107
46,2021-12-28,1697119,NL001AF0483,TMG,100.0,90.0,77.98,0.0,30
18,2021-12-28,1025419,NL01AC2881,WETRACK2,94.44,93.68,83.47,0.0,399
47,2021-12-28,1697622,NL001AC2881,TMG,99.93,90.14,67.54,0.0,30
13,2021-12-28,136609,NL01AD9861,FMB920,100.0,0.0,76.75,1.0,827
48,2021-12-28,1697276,NL001AD9861,TMG,75.28,64.72,70.64,2.0,30
11,2021-12-28,19748,NL01AC4193,WETRACK2,98.96,98.96,100.0,0.0,1076
49,2021-12-28,1697468,NL001AC4193,TMG,100.0,92.85,84.14,0.0,30
6,2021-12-28,8859,NL01AC0798,WETRACK2,99.44,89.51,89.54,0.0,1233
50,2021-12-28,1697499,NL001AC0798,TMG,100.0,84.38,67.67,0.0,30
2,2021-12-28,7753,NL01AC0284,WETRACK2,98.54,91.74,67.47,0.0,1249
51,2021-12-28,1697575,NL001AC0284,TMG,100.0,85.0,83.98,0.0,30
23,2021-12-28,1611286,HR38AC0788,WECX01,99.65,95.49,82.69,0.0,79
52,2021-12-28,1697533,HR0038AC0788,TMG,100.0,92.22,80.56,0.0,30
26,2021-12-28,1613938,HR38AC9561,WECX01,98.75,77.5,64.15,0.0,78
53,2021-12-28,1697202,HR038AC9561,TMG,82.85,67.29,55.37,1.0,30
14,2021-12-28,456375,HR55W0408,WETRACK2,99.72,99.51,99.64,0.0,715
54,2021-12-28,1697339,HR055W0408,TMG,94.51,87.08,67.96,0.0,27
