,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
4,2022-01-04,8764,HR55AD2198,WETRACK2,93.33,91.6,94.79,0.0,1243
27,2022-01-04,1677917,HR055AD2198,WEYE01,98.33,85.14,49.07,0.0,47
20,2022-01-04,1608069,HR38AC8427,WECX01,89.17,78.47,49.06,0.0,88
28,2022-01-04,1678279,HR038AC8427,WEYE01,55.9,37.57,48.67,3.0,47
24,2022-01-04,1612282,HR38AC4399,WECX01,75.83,61.67,64.53,1.0,86
29,2022-01-04,1678510,HR038AC4399,WEYE01,98.89,83.96,60.96,0.0,47
3,2022-01-04,8259,NL01AA6688,WETRACK2,96.67,90.35,86.2,0.0,1251
30,2022-01-04,1678413,NL001AA6688,WEYE01,89.17,77.71,76.78,1.0,47
0,2022-01-04,6046,NL01AA4912,WETRACK2,97.99,94.1,74.98,0.0,1287
31,2022-01-04,1678163,NL001AA4912,WEYE01,73.19,63.4,54.36,1.0,47
21,2022-01-04,1607556,HR38AC5450,WECX01,94.31,85.21,98.9,0.0,88
32,2022-01-04,1682478,HR038AC5450,WEYE01,100.0,92.01,85.91,0.0,45
9,2022-01-04,12826,NL01AC2882,WETRACK2,99.86,99.38,97.54,0.0,1183
33,2022-01-04,1682411,NL001AC2882,WEYE01,94.24,87.36,72.95,0.0,45
34,2022-01-04,1681662,HR055X2249,WEYE01,92.71,85.07,69.48,1.0,45
22,2022-01-04,1611839,HR38AC9564,WECX01,99.17,82.85,77.58,0.0,86
35,2022-01-04,1682191,HR038AC9564,WEYE01,99.72,89.24,70.31,0.0,45
16,2022-01-04,861716,NL01AB1894,WETRACK2,98.89,91.67,95.92,0.0,516
36,2022-01-04,1682062,NL011AB1894,WEYE01,99.72,84.17,63.81,0.0,45
5,2022-01-04,8775,HR55AD5041,WETRACK2,97.36,97.15,99.07,0.0,1243
37,2022-01-04,1682513,HR055AD5041,WEYE01,100.0,92.36,56.57,0.0,45
10,2022-01-04,5738,NL01AA4762,WETRACK2,98.89,85.83,74.04,0.0,1182
38,2022-01-04,1681968,NL011AA4762,WEYE01,100.0,88.82,69.24,0.0,45
7,2022-01-04,11774,NL01AB1652,WETRACK2,99.58,94.03,96.59,0.0,1199
39,2022-01-04,1681792,NL001AB1652,WEYE01,84.44,74.1,75.29,2.0,45
25,2022-01-04,1611816,HR38AC7975,WECX01,97.29,77.43,59.85,0.0,86
40,2022-01-04,1682332,HR138AC7975,WEYE01,85.28,69.1,67.78,2.0,45
12,2022-01-04,12844,NL01AC4180,C100,100.0,82.99,45.67,0.0,918
41,2022-01-04,1696506,NL001AC4180,TMG,98.4,84.93,69.72,0.0,38
1,2022-01-04,7242,HR55Y8651,WETRACK2,100.0,99.72,99.25,0.0,1264
42,2022-01-04,1696606,HR055Y8651,TMG,94.72,85.56,84.75,0.0,38
17,2022-01-04,887012,HR55Y1278,WETRACK2,99.58,98.12,86.17,0.0,499
43,2022-01-04,1696574,HR055Y1278,TMG,100.0,87.08,67.05,0.0,38
8,2022-01-04,12208,NL01AC2624,GT06N,99.93,99.51,99.64,0.0,1192
44,2022-01-04,1696544,NL010AC2624,TMG,94.24,86.6,81.3,0.0,38
15,2022-01-04,794015,HR55X2602,WETRACK2,99.72,98.54,99.46,0.0,558
45,2022-01-04,1696471,HR055X2602,TMG,91.39,80.9,82.21,1.0,38
19,2022-01-04,1520558,NL01AF0483,WECX01,99.24,89.31,83.11,0.0,114
46,2022-01-04,1697119,NL001AF0483,TMG,99.86,87.92,75.73,0.0,37
18,2022-01-04,1025419,NL01AC2881,WETRACK2,99.79,97.5,87.51,0.0,406
47,2022-01-04,1697622,NL001AC2881,TMG,99.93,87.78,74.54,0.0,37
13,2022-01-04,136609,NL01AD9861,FMB920,99.93,0.0,68.4,0.0,834
48,2022-01-04,1697276,NL001AD9861,TMG,97.15,90.14,79.25,0.0,37
26,2022-01-04,1613938,HR38AC9561,WECX01,0.0,0.0,0.0,0.0,85
49,2022-01-04,1697202,HR038AC9561,TMG,76.04,62.57,66.45,2.0,37
11,2022-01-04,19748,NL01AC4193,WETRACK2,98.89,98.89,100.0,0.0,1083
50,2022-01-04,1697468,NL001AC4193,TMG,100.0,91.94,79.24,0.0,37
6,2022-01-04,8859,NL01AC0798,WETRACK2,99.24,96.11,91.75,0.0,1240
51,2022-01-04,1697499,NL001AC0798,TMG,100.0,89.72,65.0,0.0,37
23,2022-01-04,1611286,HR38AC0788,WECX01,0.0,0.0,0.0,0.0,86
52,2022-01-04,1697533,HR0038AC0788,TMG,100.0,92.15,80.24,0.0,37
2,2022-01-04,7753,NL01AC0284,WETRACK2,99.38,91.11,76.71,0.0,1256
53,2022-01-04,1697575,NL001AC0284,TMG,100.0,85.21,75.8,0.0,37
14,2022-01-04,456375,HR55W0408,WETRACK2,100.0,99.65,99.8,0.0,722
54,2022-01-04,1697339,HR055W0408,TMG,95.35,88.68,66.33,0.0,34
