,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
20,2021-12-04,1608069,HR38AC8427,WECX01,98.54,90.69,80.98,0.0,57
27,2021-12-04,1678279,HR038AC8427,WEYE01,84.65,77.57,69.5,1.0,16
0,2021-12-04,6046,NL01AA4912,WETRACK2,97.99,97.99,99.95,0.0,1256
28,2021-12-04,1678163,NL001AA4912,WEYE01,97.71,88.68,73.24,0.0,16
4,2021-12-04,8764,HR55AD2198,WETRACK2,95.97,95.97,79.55,0.0,1212
29,2021-12-04,1677917,HR055AD2198,WEYE01,100.0,92.71,56.57,0.0,16
22,2021-12-04,1612282,HR38AC4399,WECX01,100.0,94.72,95.85,0.0,55
30,2021-12-04,1678510,HR038AC4399,WEYE01,99.86,90.42,96.5,0.0,16
3,2021-12-04,8259,NL01AA6688,WETRACK2,99.79,98.12,87.44,0.0,1220
31,2021-12-04,1678413,NL001AA6688,WEYE01,71.04,63.54,75.21,1.0,16
16,2021-12-04,861716,NL01AB1894,WETRACK2,99.03,94.24,98.15,0.0,485
32,2021-12-04,1682062,NL011AB1894,WEYE01,98.33,90.76,66.28,0.0,14
21,2021-12-04,1607556,HR38AC5450,WECX01,99.51,87.5,74.75,0.0,57
33,2021-12-04,1682478,HR038AC5450,WEYE01,99.79,90.62,74.01,0.0,14
7,2021-12-04,11774,NL01AB1652,WETRACK2,100.0,100.0,99.93,0.0,1168
34,2021-12-04,1681792,NL001AB1652,WEYE01,81.32,74.65,87.32,2.0,14
23,2021-12-04,1611839,HR38AC9564,WECX01,97.85,82.01,65.53,0.0,55
35,2021-12-04,1682191,HR038AC9564,WEYE01,99.1,84.72,65.35,0.0,14
5,2021-12-04,8775,HR55AD5041,WETRACK2,97.85,97.85,100.0,0.0,1212
36,2021-12-04,1682513,HR055AD5041,WEYE01,100.07,92.78,61.16,0.0,14
25,2021-12-04,1611816,HR38AC7975,WECX01,99.17,85.49,96.84,0.0,55
37,2021-12-04,1682332,HR138AC7975,WEYE01,59.38,48.75,95.68,3.0,14
10,2021-12-04,5738,NL01AA4762,WETRACK2,98.75,92.64,66.29,0.0,1151
38,2021-12-04,1681968,NL011AA4762,WEYE01,100.0,87.29,57.98,0.0,14
39,2021-12-04,1681662,HR055X2249,WEYE01,80.35,75.07,72.87,2.0,14
9,2021-12-04,12826,NL01AC2882,WETRACK2,99.58,95.07,88.67,0.0,1152
40,2021-12-04,1682411,NL001AC2882,WEYE01,94.31,87.08,81.14,0.0,14
15,2021-12-04,794015,HR55X2602,WETRACK2,88.06,86.32,99.37,1.0,527
41,2021-12-04,1696471,HR055X2602,TMG,58.4,49.86,85.47,3.0,7
1,2021-12-04,7242,HR55Y8651,WETRACK2,100.0,97.85,95.94,0.0,1233
42,2021-12-04,1696606,HR055Y8651,TMG,87.43,77.85,74.07,1.0,7
8,2021-12-04,12208,NL01AC2624,GT06N,97.08,85.9,93.08,0.0,1161
43,2021-12-04,1696544,NL010AC2624,TMG,85.14,71.32,64.96,1.0,7
17,2021-12-04,887012,HR55Y1278,WETRACK2,98.47,92.57,85.04,0.0,468
44,2021-12-04,1696574,HR055Y1278,TMG,99.93,92.22,67.99,0.0,7
12,2021-12-04,12844,NL01AC4180,C100,78.26,25.62,41.26,0.0,887
45,2021-12-04,1696506,NL001AC4180,TMG,93.12,78.47,62.17,0.0,7
19,2021-12-04,1520558,NL01AF0483,WECX01,99.65,92.36,97.28,0.0,83
46,2021-12-04,1697119,NL001AF0483,TMG,100.0,91.46,81.78,0.0,6
24,2021-12-04,1611286,HR38AC0788,WECX01,89.58,84.24,44.33,0.0,55
47,2021-12-04,1697533,HR0038AC0788,TMG,100.0,92.92,62.68,0.0,6
18,2021-12-04,1025419,NL01AC2881,WETRACK2,99.58,92.29,87.04,0.0,375
48,2021-12-04,1697622,NL001AC2881,TMG,99.93,87.57,67.63,0.0,6
13,2021-12-04,136609,NL01AD9861,FMB920,99.93,0.0,76.82,0.0,803
49,2021-12-04,1697276,NL001AD9861,TMG,89.44,72.36,78.86,1.0,6
2,2021-12-04,7753,NL01AC0284,WETRACK2,0.0,0.0,0.0,0.0,1225
50,2021-12-04,1697575,NL001AC0284,TMG,0.0,0.0,0.0,0.0,6
11,2021-12-04,19748,NL01AC4193,WETRACK2,91.18,82.29,88.62,1.0,1052
51,2021-12-04,1697468,NL001AC4193,TMG,100.0,84.79,68.02,0.0,6
26,2021-12-04,1613938,HR38AC9561,WECX01,100.0,94.72,88.35,0.0,54
52,2021-12-04,1697202,HR038AC9561,TMG,88.47,85.28,61.77,1.0,6
6,2021-12-04,8859,NL01AC0798,WETRACK2,100.0,99.58,98.47,0.0,1209
53,2021-12-04,1697499,NL001AC0798,TMG,100.0,90.49,80.46,0.0,6
14,2021-12-04,456375,HR55W0408,WETRACK2,99.72,95.76,96.2,0.0,691
54,2021-12-04,1697339,HR055W0408,TMG,68.19,53.4,59.99,2.0,3
