,analysis_for_day,vehicle_id,vehicle_number,model_name,consistency_pct,live_pct,gsm_average,no_info_instances,days_post_installation
20,2022-01-01,1608069,HR38AC8427,WECX01,99.31,87.22,95.09,0.0,85
27,2022-01-01,1678279,HR038AC8427,WEYE01,82.92,69.31,84.28,2.0,44
0,2022-01-01,6046,NL01AA4912,WETRACK2,94.31,79.24,73.94,0.0,1284
28,2022-01-01,1678163,NL001AA4912,WEYE01,99.31,91.46,56.4,0.0,44
3,2022-01-01,8259,NL01AA6688,WETRACK2,99.86,99.51,99.44,0.0,1248
29,2022-01-01,1678413,NL001AA6688,WEYE01,98.26,89.58,81.02,0.0,44
5,2022-01-01,8764,HR55AD2198,WETRACK2,97.78,97.57,95.16,0.0,1240
30,2022-01-01,1677917,HR055AD2198,WEYE01,77.01,69.31,62.46,1.0,44
25,2022-01-01,1612282,HR38AC4399,WECX01,99.79,90.21,74.62,0.0,83
31,2022-01-01,1678510,HR038AC4399,WEYE01,100.0,83.61,71.15,0.0,44
7,2022-01-01,11774,NL01AB1652,WETRACK2,39.72,39.72,99.62,0.0,1196
32,2022-01-01,1681792,NL001AB1652,WEYE01,74.51,73.68,77.49,1.0,42
4,2022-01-01,8775,HR55AD5041,WETRACK2,100.0,100.0,90.48,0.0,1240
33,2022-01-01,1682513,HR055AD5041,WEYE01,100.0,92.64,55.33,0.0,42
23,2022-01-01,1611839,HR38AC9564,WECX01,99.86,91.88,81.01,0.0,83
34,2022-01-01,1682191,HR038AC9564,WEYE01,99.93,91.25,63.87,0.0,42
9,2022-01-01,12826,NL01AC2882,WETRACK2,99.86,94.65,88.18,0.0,1180
35,2022-01-01,1682411,NL001AC2882,WEYE01,98.89,86.11,68.18,0.0,42
21,2022-01-01,1607556,HR38AC5450,WECX01,98.47,78.82,82.31,0.0,85
36,2022-01-01,1682478,HR038AC5450,WEYE01,99.93,89.17,68.53,0.0,42
16,2022-01-01,861716,NL01AB1894,WETRACK2,96.94,93.89,93.74,0.0,513
37,2022-01-01,1682062,NL011AB1894,WEYE01,96.88,84.38,64.86,1.0,42
38,2022-01-01,1681662,HR055X2249,WEYE01,99.31,91.81,64.52,0.0,42
10,2022-01-01,5738,NL01AA4762,WETRACK2,92.08,89.93,84.31,0.0,1179
39,2022-01-01,1681968,NL011AA4762,WEYE01,99.65,70.0,68.26,0.0,42
24,2022-01-01,1611816,HR38AC7975,WECX01,95.76,72.15,53.61,0.0,83
40,2022-01-01,1682332,HR138AC7975,WEYE01,98.06,82.15,70.5,0.0,42
15,2022-01-01,794015,HR55X2602,WETRACK2,99.24,96.25,99.25,0.0,555
41,2022-01-01,1696471,HR055X2602,TMG,95.9,81.04,75.76,0.0,35
12,2022-01-01,12844,NL01AC4180,C100,91.11,67.5,35.17,1.0,915
42,2022-01-01,1696506,NL001AC4180,TMG,80.9,73.19,79.63,1.0,35
1,2022-01-01,7242,HR55Y8651,WETRACK2,99.93,97.57,96.16,0.0,1261
43,2022-01-01,1696606,HR055Y8651,TMG,91.32,88.33,71.42,0.0,35
17,2022-01-01,887012,HR55Y1278,WETRACK2,98.47,96.32,86.75,0.0,496
44,2022-01-01,1696574,HR055Y1278,TMG,100.0,90.07,64.29,0.0,35
8,2022-01-01,12208,NL01AC2624,GT06N,99.38,99.17,99.69,0.0,1189
45,2022-01-01,1696544,NL010AC2624,TMG,94.72,87.08,77.48,0.0,35
26,2022-01-01,1613938,HR38AC9561,WECX01,99.51,93.33,71.94,0.0,82
46,2022-01-01,1697202,HR038AC9561,TMG,90.0,82.5,56.62,1.0,34
13,2022-01-01,136609,NL01AD9861,FMB920,100.0,0.0,68.27,0.0,831
47,2022-01-01,1697276,NL001AD9861,TMG,86.04,77.71,74.64,1.0,34
18,2022-01-01,1025419,NL01AC2881,WETRACK2,97.08,97.08,98.97,0.0,403
48,2022-01-01,1697622,NL001AC2881,TMG,100.0,90.83,74.59,0.0,34
19,2022-01-01,1520558,NL01AF0483,WECX01,100.0,87.36,80.36,0.0,111
49,2022-01-01,1697119,NL001AF0483,TMG,100.0,84.1,68.5,0.0,34
2,2022-01-01,7753,NL01AC0284,WETRACK2,99.51,96.32,89.94,0.0,1253
50,2022-01-01,1697575,NL001AC0284,TMG,100.0,88.12,70.24,0.0,34
6,2022-01-01,8859,NL01AC0798,WETRACK2,96.46,93.26,97.98,0.0,1237
51,2022-01-01,1697499,NL001AC0798,TMG,100.0,91.39,78.43,0.0,34
11,2022-01-01,19748,NL01AC4193,WETRACK2,98.26,98.26,100.0,0.0,1080
52,2022-01-01,1697468,NL001AC4193,TMG,100.0,92.64,80.35,0.0,34
22,2022-01-01,1611286,HR38AC0788,WECX01,0.0,0.0,0.0,0.0,83
53,2022-01-01,1697533,HR0038AC0788,TMG,100.0,91.18,65.42,0.0,34
14,2022-01-01,456375,HR55W0408,WETRACK2,99.03,98.06,97.44,0.0,719
54,2022-01-01,1697339,HR055W0408,TMG,53.82,46.04,58.33,2.0,31
